,Name,Algorithm pscore,Algorithm year,Algorithm year combined
105,Old Dominion University,43510.6,171.525052364,2634082.54342
106,Texas Tech University,5457.70833333,0.0,0.0
107,University of Kansas,90011.2972222,3305.30641796,312632407.543
108,University of Arkansas Main Campus,2832.16666667,0.0,0.0
109,University of Alabama,7852.43333333,68.3881221643,170881.384307
110,Mississippi State University,5465.85,0.0,0.0
111,University of Houston,39083.1166667,49.6777616983,412579.721384
112,University of North Texas,26450.7833333,495.350314057,5552284.16176
113,Clemson University,48962.8666667,794.539735176,7027848.98835
114,State University of New York at Albany,91887.9464286,560.716237741,16642131.3455
115,Brigham Young University,10669.7083333,0.0,0.0
116,Kansas State University,17085.0166667,0.0,0.0
117,University of Alabama In Huntsville,9680.5,0.0,0.0
118,University of Memphis,10847.6944444,12.8096067282,9107.63038377
119,Temple University,39297.8166667,278.56350477,8099043.15364
120,University of Louisiana at Lafayette,22470.6833333,25.6725932053,172287.838317
121,University of Alabama at Birmingham,6255.0,0.0,0.0
122,Oregon Health and Science University,1864.76190476,0.0,0.0
123,Western Michigan University,2115.75,0.0,0.0
124,Southern Methodist University,12544.1666667,54.2736343551,298145.595496
125,University of Southern Mississippi,4720.58333333,43.7305121163,155844.963264
126,Universidade de Brasília,6870.66666667,10.8075419788,34821.9002555
127,Universidade Federal de Uberlândia,1608.16666667,0.0,0.0
128,USP - São Carlos,11911.5166667,0.0,0.0
129,Universidade de São Paulo,44403.8666667,1004.93957276,15770385.6497
130,Universidade do Vale do Rio dos Sinos,448.833333333,0.0,0.0
131,Universidade de Fortaleza,534.958333333,0.0,0.0
132,Universidade Federal de Campina Grande,2139.28333333,0.0,0.0
133,Universidade Federal da Bahia,1136.45833333,0.0,0.0
134,Universidade Federal do Amazonas,2991.08333333,0.0,0.0
135,Universidade Federal de Minas Gerais,19521.8416667,44.6520506569,295284.010994
136,Universidade Federal do Espírito Santo,4604.33333333,0.0,0.0
137,Universidade Federal de Pernambuco,12339.6416667,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,7729.73333333,140.360479999,546515.56886
139,Universidade Federal de São Carlos,2528.875,0.0,0.0
140,Universidade Federal de Santa Catarina,1696.33333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,3886.98333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,74301.7666667,427.124495392,11824410.8455
143,Pontifícia Universidade Católica do Rio Grande do Sul,3108.0,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,34528.7583333,1372.67004598,32175861.001
145,Pontifícia Universidade Católica do Paraná,1219.83333333,0.0,0.0
146,Universidade Estadual de Campinas,42652.7916667,1040.98403101,7208802.58597
147,Universidade Federal do Ceará,9250.66666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,13314.8916667,42.2372938085,57748.8089127
149,Universidade Federal do Paraná,3688.25,0.0,0.0
150,Universidade Federal Fluminense,12868.4,0.0,0.0
151,Imperial College London,99777.2902625,364.282834481,3506496.41673
152,University of Oxford,274398.366667,5094.33186856,207639073.561
153,University of Cambridge,84968.425,3375.15508091,130233733.952
154,ETH Zurich,341262.114998,17566.4495079,1002841914.34
155,École Polytechnique ParisTech,146632.25,6214.89497684,163524417.191
156,University of Texas at Arlington,33714.9309524,235.787719143,4433764.51371
157,Ecole Normale Superieure,110819.855556,6584.3316119,128699778.364
158,IIIT Bangalore,9290.16666667,22.7006210472,27649.3564354
159,Nanyang Technological University,51273.2333333,29.1956700565,312393.669604
160,University of Waterloo,422667.131685,18870.2245157,1181561479.56
161,Western University,47654.1,868.42838063,12863169.1168
162,University of Nebraska,18965.6087662,8.46582361474,66050.3558422
163,Victoria University of Wellington,10439.0,0.0,0.0
164,University of Queensland,24116.0166667,119.427855458,1197266.98771
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1266.5,0.0,0.0
167,University of Pittsburgh,66594.4166667,4139.33092174,274483172.752
168,University of Michigan,160458.917899,6395.86180133,203159167.676
169,IIT Madras,66001.1190476,2321.67364472,21727931.0713
170,City University of New York,,,
171,University of British Columbia,161071.671592,6856.04643695,276768066.868
172,Queen’s University,73353.8547619,1479.43621518,31714512.4479
173,Virginia Commonwealth University,6191.04761905,0.0,0.0
174,Polytechnic University of Catalonia,15206.6166667,0.0,0.0
175,Emory University,78148.3666667,862.100846153,25709229.968
176,Ecole Normale Superieure de Cachan,128043.584649,13.6162300566,328682.177336
177,Georgetown University,33935.1166667,1468.14422138,22888346.0915
178,Binghamton University,7209.31666667,0.0,0.0
179,University of Otago,16805.2666667,71.539566114,365213.830766
180,VU Amsterdam,48677.5,0.0,0.0
181,McMaster University,42388.95,750.283479672,9920968.37128
182,Monash University,35172.7333333,54.1334931413,211854.243026
183,Tel Aviv University,916106.157143,58391.3474944,9077039645.84
184,Boise State University,3000.08333333,0.0,0.0
185,Drexel University,9156.46896159,11.5792509684,42368.4792935
186,Boston College,12075.1666667,0.0,0.0
187,University of Bristol,33278.6333333,1237.38868972,13986398.5444
188,University of Kent,10745.5346154,0.0,0.0
189,Politecnico di Milano,47156.6252169,0.0,0.0
190,Australian National University,66239.1916667,178.131735161,3206549.36463
191,Toyota Technological Institute at Chicago,53467.0333333,4725.64179999,165187239.653
192,Technion-Israel Institute of Technology,647115.564286,20311.2213372,1069596277.71
193,TU Delft,30573.9345238,0.0,0.0
194,University of Minnesota,69137.6869048,947.78837373,23684983.129
195,New Mexico State University,11270.3333333,6.11730046784,36196.0668682
196,Pennsylvania State University,142083.668398,5517.8055813,224447092.945
197,TU Dresden,44727.7166667,30.7353633062,87073.2842465
198,University of Salerno,145592.833333,1618.95461226,26899070.7933
199,Washington University in St. Louis,40146.1,3220.03441576,74177591.9865
200,McGill University,155995.816209,3281.98922087,106332214.595
201,Naval Postgraduate School,9212.58333333,0.0,0.0
202,University of Edinburgh,150351.014286,293.209421768,3392200.70665
203,RWTH Aachen,122214.15,1818.08239091,49667709.2714
204,University of Bath,30059.7833333,0.0,0.0
205,IIT Kharagpur,24739.1166667,225.730193575,1203560.92519
206,University of Melbourne,44988.3833333,157.601920978,1122902.91062
207,IMDEA Software Institute,11658.5512821,0.0,0.0
208,University of Sydney,100300.788095,7571.35552818,274039834.148
209,University of North Carolina,120246.008824,6654.78491997,579774184.392
210,IIIT Delhi,10818.7361111,616.772277764,5290055.82638
211,University of Nevada,2591.98333333,0.0,0.0
212,Concordia University,30710.8166667,533.469792072,8914280.22552
213,IISc Bangalore,82206.925,3676.27980326,75702877.5113
214,Rochester Institute of Technology,25738.0595238,245.581375357,1662348.03738
215,DIKU,146224.383333,12302.8418131,830421340.872
216,Chulalongkorn Uniersity,8.0,0.0,0.0
217,Worcester Polytechnic Institute,34216.5333333,166.54896341,2348340.38408
218,IST Austria,129365.45056,7941.7845013,552337960.202
219,University College London,72417.6666667,20.0719065307,191451.200668
220,Columbia University,236126.605952,8444.46306476,455528571.969
221,Massey University,5601.03291153,108.137296165,597026.012125
222,University of Miami,46400.5833333,1944.12282945,40268500.2374
223,IIT Roorkee,3718.16666667,0.0,0.0
224,University of Tartu,16015.9166667,0.0,0.0
225,University of Victoria,75225.1679487,2751.36623588,79461525.2551
226,Carleton University,274691.516667,21357.0413572,1366239295.07
227,Athens University of Economics and Business,27203.6166667,228.397933998,1363369.51458
228,Texas A&M University,113875.987155,1677.02463674,76859009.0158
229,EPFL,161753.201961,7754.73945361,145362098.976
230,Bar-Ilan University,236785.391667,15013.8414728,757252736.832
231,University of Maryland-College Park,330013.280139,22837.3355605,1536754203.35
232,IIT Kanpur,72724.1166667,1836.9765172,32165983.2595
233,University of Adelaide,32494.4166667,211.406176403,3277165.33109
234,University of Warsaw,280176.05,12426.7333793,306795149.351
235,Stony Brook University,103891.466667,3371.74525545,134345707.453
236,University of Notre Dame,23408.2333333,210.625067416,1199819.67332
237,University of Western Australia,9061.5,29.5408773518,156300.782068
238,IIT Hyderabad,4467.31666667,0.0,0.0
239,IIT Bombay,72120.9948179,1630.98643587,27432268.7935
240,IIIT Hyderabad,20023.1666667,308.572172026,1125793.33502
241,University of Maryland-Baltimore County,27942.5939005,99.3923851464,1010044.6667
242,University of New South Wales,,,
243,University of Alberta,112687.583425,6697.3217719,150362274.095
244,Aarhus University,162777.707143,16664.1712802,658597574.851
245,University of Zurich,8136.48095238,0.0,0.0
246,Max Planck Institute,203531.18661,9745.45980154,1286376241.36
247,TU Darmstadt,44707.1,934.884907177,17303784.7469
248,University of Athens,49508.8532766,574.626327551,8024882.78037
249,Stevens Institute of Technology,16341.0875,14.8882165658,52844.9987525
250,University of Calgary,67486.1416667,1110.78312595,26510059.7539
251,University of Massachusetts Lowell,8531.98333333,0.0,0.0
252,Rutgers University,278653.71739,8524.16167309,506580421.128
253,Ecole Normale Superieure de Lyon,128335.433333,712.930725828,7151170.16835
254,Colorado State University,28473.55,781.719094344,17692648.2623
255,IIT Delhi,95083.2333333,6567.60985924,261522620.655
256,BITS Pilani,1388.33333333,0.0,0.0
257,University of Auckland,50120.6111111,219.751196144,1623670.30627
258,National University of Singapore,181093.368627,1858.19922277,57805046.5588
259,University of Canterbury,18185.4166667,184.33481519,2947513.69488
260,Chennai Mathematical Institute,,,
261,University of Montreal,66620.7,205.77087787,1954693.72214
262,George Mason University,33939.4587302,167.35950404,822524.612264
263,University of Luxembourg,23416.3166667,108.843548101,871510.289641
264,Hebrew University of Jerusalem,351575.013889,9335.46768466,536763312.673
265,Simon Fraser University,166662.257576,4593.46028181,127320806.86
266,Indiana University,82753.3531746,1644.70385007,24814120.5925
267,University of Toronto,256636.069969,5131.86910646,146561780.978
268,University at Buffalo,133364.385256,4391.23290182,129698191.252
269,TU Munich,124713.833333,7184.96704484,329240566.393
270,University of Waikato,7392.66666667,5.11675052879,28602.6354559
