,Name,Computer vision pscore norm,Computer vision year norm,Computer vision year combined norm
107,University of Kansas,15.001451234,0.320442159969,2888.57991073
108,University of Arkansas Main Campus,2.2052176851,0.0949598501908,805.474412517
109,University of Alabama,3.30458538469,0.00691037893471,10.7801911381
110,Mississippi State University,5.01001061879,0.0,0.0
111,University of Houston,47.2087556714,4.15170088001,290246.891065
112,University of North Texas,12.6592769572,0.0899193688521,2613.16434068
113,Clemson University,5.13647070181,0.0298431014329,85.2170671504
114,State University of New York at Albany,8.69971522348,0.777306961839,22095.7276972
115,Brigham Young University,24.0554107539,1.26815362611,41823.1100825
116,Kansas State University,0.910276088426,0.0,0.0
117,University of Alabama In Huntsville,3.93308717058,0.0220342060699,124.541265628
118,University of Memphis,1.61396048525,0.0,0.0
119,Temple University,53.9728496959,7.24118402478,707859.155811
120,University of Louisiana at Lafayette,11.5180036683,0.00896185526626,47.9474768677
121,University of Alabama at Birmingham,6.10674292885,0.0165749746234,116.49850981
122,Oregon Health and Science University,11.8947705929,0.604001886178,13159.9721807
123,Western Michigan University,0.623226180133,0.0180497057501,49.6366908127
124,Southern Methodist University,3.1615986099,0.0,0.0
125,University of Southern Mississippi,3.34274543875,0.0148665633578,100.973698326
126,Universidade de Brasília,0.453132541751,0.0,0.0
127,Universidade Federal de Uberlândia,1.60162660488,0.00812799658912,33.2353780529
128,USP - São Carlos,12.2794212762,0.029843231125,257.665362258
129,Universidade de São Paulo,12.2420407375,0.086088654451,412.093014344
130,Universidade do Vale do Rio dos Sinos,3.651607298,0.0,0.0
131,Universidade de Fortaleza,0.196658702577,0.0,0.0
132,Universidade Federal de Campina Grande,2.37157061492,0.00137039477318,1.04698160671
133,Universidade Federal da Bahia,0.218185877015,0.0,0.0
134,Universidade Federal do Amazonas,1.31982816874,0.0,0.0
135,Universidade Federal de Minas Gerais,7.98713920263,0.0212186940973,154.486324729
136,Universidade Federal do Espírito Santo,0.682570711459,0.0,0.0
137,Universidade Federal de Pernambuco,8.94878487306,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,0.273370981755,0.0,0.0
139,Universidade Federal de São Carlos,5.51172289796,0.0554948996723,753.62073755
140,Universidade Federal de Santa Catarina,1.38126267014,0.0050758714754,11.9376017238
141,Universidade Federal do Rio Grande de Norte,1.6115503427,0.0102758873122,35.0304998472
142,Universidade Federal do Rio de Janeiro,4.95339801139,0.0190722172363,95.4564573771
143,Pontifícia Universidade Católica do Rio Grande do Sul,1.53335264022,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,3.18872598706,0.0126543024222,40.7302123319
145,Pontifícia Universidade Católica do Paraná,4.74420793513,0.0185189923261,134.57865865
146,Universidade Estadual de Campinas,21.7808801525,0.4545580338,7422.02491935
147,Universidade Federal do Ceará,0.250960517424,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,12.547441838,0.0405393426067,291.640030713
149,Universidade Federal do Paraná,13.5370499083,0.358238484005,10191.7283422
150,Universidade Federal Fluminense,3.13037455353,0.0652282780085,305.829310227
151,Imperial College London,113.287832032,8.78357829987,666365.532596
152,University of Oxford,14.3096968819,0.103630710646,1615.70640968
153,University of Cambridge,14.9617144512,0.394417227183,5211.40174321
154,ETH Zurich,116.077334224,14.3388899438,3613340.82728
155,École Polytechnique ParisTech,23.2789554976,2.96307829776,223660.341121
156,University of Texas at Arlington,54.6453484203,3.27414695758,173552.522946
157,Ecole Normale Superieure,89.7712810117,16.9306554078,2381140.21946
158,IIIT Bangalore,3.13804421276,0.0,0.0
159,Nanyang Technological University,108.44911671,4.38418051159,230290.219687
160,University of Waterloo,29.0231055652,0.428477923533,7234.31469633
161,Western University,47.1782363162,10.9263360002,934363.602195
162,University of Nebraska,6.18896737011,0.0207534821181,126.228861614
163,Victoria University of Wellington,15.792740612,0.0169527162488,90.7050288829
164,University of Queensland,39.428361811,1.17980535891,55325.9221457
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1.696785404,0.0,0.0
167,University of Pittsburgh,4.8101312868,0.0059457514054,52.2453175993
168,University of Michigan,70.6044194366,2.45743658419,93974.6784511
169,IIT Madras,15.9325031374,2.69494068746,124624.894453
170,City University of New York,,,
171,University of British Columbia,46.0024248255,2.31636711805,127479.749708
172,Queen’s University,19.3722635941,0.0173694812326,101.687099245
173,Virginia Commonwealth University,2.06125108601,0.0,0.0
174,Polytechnic University of Catalonia,1.41805193552,0.0,0.0
175,Emory University,2.90922869003,0.00601990320872,16.0430420512
176,Ecole Normale Superieure de Cachan,0.552251247871,0.0,0.0
177,Georgetown University,1.82434597934,0.0209015919426,73.7199147815
178,Binghamton University,21.521309972,1.1681034073,38173.9333807
179,University of Otago,4.89902017569,0.173998439531,1540.15110516
180,VU Amsterdam,4.80845158799,0.0,0.0
181,McMaster University,1.13643691476,0.0,0.0
182,Monash University,10.2796650256,0.105845680627,501.481646695
183,Tel Aviv University,65.5254837064,7.57295013147,753055.832329
184,Boise State University,2.6295057438,0.0344247643519,293.505540864
185,Drexel University,29.0799122122,5.80753505317,447162.35048
186,Boston College,13.6914518776,0.556473048936,35920.8917819
187,University of Bristol,33.2333333333,4.24285236796,117375.103796
188,University of Kent,1.97167011963,0.00540069545324,8.73020422572
189,Politecnico di Milano,27.095246854,0.680216411207,17742.4723652
190,Australian National University,143.90114876,20.7927290018,2067691.19539
191,Toyota Technological Institute at Chicago,14.4017231393,1.65033215475,66741.6774616
192,Technion-Israel Institute of Technology,169.763780288,19.0806782683,1482141.26064
193,TU Delft,60.1148818143,1.13582045503,34371.2074673
194,University of Minnesota,44.4747727994,0.917664141637,34184.3835854
195,New Mexico State University,1.94026933102,0.0,0.0
196,Pennsylvania State University,63.8997246889,10.9269888105,1339920.36555
197,TU Dresden,40.8313833382,11.2340747164,1814430.70701
198,University of Salerno,19.8991215368,0.0487710437762,818.865497206
199,Washington University in St. Louis,15.2530311806,1.79470598595,74759.0197268
200,McGill University,44.774796986,3.09904704059,206146.895687
201,Naval Postgraduate School,3.81919104161,0.114586422304,791.741730823
202,University of Edinburgh,78.0061147656,8.66407085545,853028.438776
203,RWTH Aachen,61.1109470026,5.61200735954,530409.638111
204,University of Bath,17.7957428323,1.55088295256,22913.0218047
205,IIT Kharagpur,14.2495897287,0.218344184351,1981.88512957
206,University of Melbourne,11.9525726421,0.0300632179854,246.811368633
207,IMDEA Software Institute,0.299361016433,0.0,0.0
208,University of Sydney,26.4044702329,0.16920310855,3491.25419558
209,University of North Carolina,70.3751878162,7.38233926751,473076.447016
210,IIIT Delhi,15.0455199987,1.51527471094,34099.0893175
211,University of Nevada,10.283511922,0.292447896657,6378.27536827
212,Concordia University,15.8168597355,0.167558878567,1822.05243655
213,IISc Bangalore,11.6315064195,0.0320830282494,167.762154716
214,Rochester Institute of Technology,24.8900714355,0.489691133477,33197.2622417
215,DIKU,40.2416401197,3.01093618032,90068.0232439
216,Chulalongkorn Uniersity,0.00318563567912,0.0,0.0
217,Worcester Polytechnic Institute,9.50737040255,0.441784193742,3238.78958676
218,IST Austria,28.9916161889,4.86331698961,308794.737123
219,University College London,117.748730572,8.86478184225,468394.828582
220,Columbia University,192.140386207,20.3791005548,4642938.2545
221,Massey University,3.80200669427,0.0601379735724,424.934921262
222,University of Miami,1.67216912829,0.0,0.0
223,IIT Roorkee,2.55557968916,0.00375170123345,7.69098752858
224,University of Tartu,0.892919200695,0.0,0.0
225,University of Victoria,5.7523222096,0.0,0.0
226,Carleton University,14.345178106,0.216182371949,4070.27320775
227,Athens University of Economics and Business,5.46175789169,0.0689865853508,428.065507385
228,Texas A&M University,34.3113669999,0.491436422225,11827.3792886
229,EPFL,131.603504334,18.6335243721,5667162.34639
230,Bar-Ilan University,10.9161695144,0.149276452744,2594.27547224
231,University of Maryland-College Park,172.746736862,23.4524346909,5802757.26992
232,IIT Kanpur,12.0008060624,1.1358316899,18211.2207218
233,University of Adelaide,95.6383820832,14.0060376482,1172298.74992
234,University of Warsaw,1.14264407761,0.0,0.0
235,Stony Brook University,93.5828217009,9.22664309555,804702.616609
236,University of Notre Dame,59.1591466358,5.57575582536,495706.155059
237,University of Western Australia,27.0707597258,2.40465263745,126541.177678
238,IIT Hyderabad,2.50153489719,0.0703272705391,515.177431795
239,IIT Bombay,9.06431228153,0.344939126934,4143.80363745
240,IIIT Hyderabad,49.3661067671,3.89218303618,300500.928913
241,University of Maryland-Baltimore County,23.5758410589,0.885005990489,26056.2760607
242,University of New South Wales,,,
243,University of Alberta,85.6893200583,2.54597288524,136082.42796
244,Aarhus University,1.88824279784,0.0,0.0
245,University of Zurich,5.72898583702,0.0965239368605,1509.15175281
246,Max Planck Institute,147.831844582,18.1955256069,3059824.98543
247,TU Darmstadt,36.9902741577,5.92961370902,583632.374279
248,University of Athens,21.3019616649,0.29831157548,7627.08282961
249,Stevens Institute of Technology,12.9171396853,2.35478065212,84112.0566131
250,University of Calgary,10.6835360556,0.20246812502,2670.76553125
251,University of Massachusetts Lowell,6.05383241626,0.0661917296042,1992.43725282
252,Rutgers University,111.151296035,11.7523519762,2026597.26895
253,Ecole Normale Superieure de Lyon,5.46574958973,0.0536161338183,527.904453575
254,Colorado State University,23.8582070341,2.78142840582,157253.304273
255,IIT Delhi,9.9714258133,0.592168615997,13683.9138298
256,BITS Pilani,0.342938507578,0.0,0.0
257,University of Auckland,25.0929562056,0.512570158307,42997.6015611
258,National University of Singapore,80.1153651962,2.36181422537,117782.226924
259,University of Canterbury,3.67028670721,0.0207798176057,63.0158854727
260,Chennai Mathematical Institute,,,
261,University of Montreal,40.8445699392,2.62656376297,82434.7061494
262,George Mason University,41.0708763716,2.14356163418,87803.721403
263,University of Luxembourg,10.4421758857,0.0242791053862,754.546037194
264,Hebrew University of Jerusalem,144.045371979,18.3230672741,1904736.00858
265,Simon Fraser University,103.332143766,12.655457358,1002557.97933
266,Indiana University,22.9674750275,2.33243719573,51315.2875009
267,University of Toronto,137.186614671,26.5316202039,2767518.27278
268,University at Buffalo,72.8469188814,1.3065416155,93138.962038
269,TU Munich,148.49015349,15.5663666413,2929023.71528
270,University of Waikato,2.00868809731,0.0,0.0
