,Name,Machine learning pscore norm,Machine learning year norm,Machine learning year combined norm
106,Texas Tech University,10.8490358127,0.0205426688753,25.6783360941
107,University of Kansas,24.1293342516,0.264813980311,1665.40381203
108,University of Arkansas Main Campus,1.53417814509,0.0,0.0
109,University of Alabama,3.414912764,0.0,0.0
110,Mississippi State University,12.8741781451,0.449494347516,9149.00794933
111,University of Houston,19.1466483012,0.0777427879011,580.844206915
112,University of North Texas,10.558117539,0.0297148948671,164.788481668
113,Clemson University,4.81734618916,0.0,0.0
114,State University of New York at Albany,17.1286940837,0.553200879215,8349.46087
115,Brigham Young University,29.109825528,1.54979136115,26262.4438781
116,Kansas State University,6.24809917355,0.0166822899272,67.3157313978
117,University of Alabama In Huntsville,1.86964187328,0.0,0.0
118,University of Memphis,9.11641567187,0.0296706739852,192.147284728
119,Temple University,33.3884022039,0.481067809009,8076.20119618
120,University of Louisiana at Lafayette,13.1688613407,0.0387398969774,251.631051497
121,University of Alabama at Birmingham,3.61694214876,0.0,0.0
122,Oregon Health and Science University,31.1879443789,2.61704670725,88700.349271
123,Western Michigan University,0.611019283747,0.0,0.0
124,Southern Methodist University,6.65463728191,0.0173977192234,45.6168198038
125,University of Southern Mississippi,6.8116620753,0.0285773065812,278.085770342
126,Universidade de Brasília,0.882231404959,0.0,0.0
127,Universidade Federal de Uberlândia,1.17107438017,0.0,0.0
128,USP - São Carlos,13.617260265,0.0260586537859,61.678952062
129,Universidade de São Paulo,7.38398530762,0.036434394446,105.732612682
130,Universidade do Vale do Rio dos Sinos,1.03801652893,0.0,0.0
131,Universidade de Fortaleza,1.23575528007,0.0150194884588,29.7536066368
132,Universidade Federal de Campina Grande,0.953535353535,0.0,0.0
133,Universidade Federal da Bahia,0.220838580611,0.0,0.0
134,Universidade Federal do Amazonas,1.83237832874,0.0,0.0
135,Universidade Federal de Minas Gerais,11.3860651974,0.00584056023558,7.37831381632
136,Universidade Federal do Espírito Santo,1.20344352617,0.0,0.0
137,Universidade Federal de Pernambuco,14.8237855831,0.00387527095835,25.1660096035
138,Universidade Federal de Mato Grosso do Sul,0.272920110193,0.0,0.0
139,Universidade Federal de São Carlos,3.25963564214,0.0,0.0
140,Universidade Federal de Santa Catarina,0.882323232323,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,3.02235996327,0.0,0.0
142,Universidade Federal do Rio de Janeiro,7.39769119769,0.026277249897,70.9485747219
143,Pontifícia Universidade Católica do Rio Grande do Sul,1.46900826446,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,5.80047979798,0.0141112381543,46.3977510513
145,Pontifícia Universidade Católica do Paraná,2.37419651056,0.0,0.0
146,Universidade Estadual de Campinas,8.65862947658,0.00608948685201,21.1122509159
147,Universidade Federal do Ceará,0.713388429752,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,16.2493755739,0.0517535619328,457.929002185
149,Universidade Federal do Paraná,3.80419651056,0.0,0.0
150,Universidade Federal Fluminense,10.1736363636,0.454998267048,6733.51935404
151,Imperial College London,81.0403958331,1.02026178802,19432.8011181
152,University of Oxford,99.9422681359,6.05444481466,283272.212907
153,University of Cambridge,22.4565886134,0.529264478636,3825.90203049
154,ETH Zurich,121.771996784,7.72248688785,394765.101677
155,École Polytechnique ParisTech,12.6890449954,0.0384050447331,317.512311277
156,University of Texas at Arlington,51.0117539027,1.26760163716,56468.1144013
157,Ecole Normale Superieure,79.2191368228,11.2348814438,1069666.43925
158,IIIT Bangalore,4.69949494949,0.0128522197737,23.7805791615
159,Nanyang Technological University,82.1138383838,0.448639253035,4412.0071325
160,University of Waterloo,95.5046085228,5.66596272147,173420.768923
161,Western University,28.7575206612,0.781632523151,11228.5473963
162,University of Nebraska,12.6586511514,0.0122362454175,44.1876865123
163,Victoria University of Wellington,21.9492194674,0.0481318204722,243.573705
164,University of Queensland,27.9511294766,0.143819999994,1648.12955774
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1.15977961433,0.0,0.0
167,University of Pittsburgh,22.3712396694,0.445702940041,7163.59492435
168,University of Michigan,208.378032468,13.8347774903,1128620.97117
169,IIT Madras,16.2869972452,0.282091039309,1670.03149401
170,City University of New York,,,
171,University of British Columbia,60.7263538234,1.86749405082,33889.8071535
172,Queen’s University,11.6534527089,0.00804924780284,44.9630982267
173,Virginia Commonwealth University,4.12138265775,0.0,0.0
174,Polytechnic University of Catalonia,2.80024793388,0.0,0.0
175,Emory University,9.74224977043,0.0327034803446,210.380065266
176,Ecole Normale Superieure de Cachan,7.33660449333,0.0,0.0
177,Georgetown University,12.2088980716,0.44115339726,3335.47749938
178,Binghamton University,11.2141414141,0.0791889406603,703.646097351
179,University of Otago,3.06904499541,0.0,0.0
180,VU Amsterdam,24.8505509642,0.0129653979095,205.721968629
181,McMaster University,3.71859504132,0.0,0.0
182,Monash University,46.0166850321,1.78472418679,36541.5291672
183,Tel Aviv University,94.8889361144,6.38960171003,314928.896871
184,Boise State University,1.55067033976,0.0050101010101,1.75353535354
185,Drexel University,19.2967383,0.114483439146,873.029854013
186,Boston College,8.12075298439,0.660827867299,5868.81228948
187,University of Bristol,27.3886501377,1.34129869715,40329.8513966
188,University of Kent,5.75505121141,0.0,0.0
189,Politecnico di Milano,31.5019029827,0.386306002806,5419.38025867
190,Australian National University,108.760523416,6.91552768819,254997.588035
191,Toyota Technological Institute at Chicago,47.2900275482,8.74007428057,351595.694198
192,Technion-Israel Institute of Technology,215.118425817,20.2955278544,1413999.75475
193,TU Delft,40.6715328611,0.362519018446,1908.74814007
194,University of Minnesota,79.3354729109,2.21783313604,70875.9522642
195,New Mexico State University,10.1539944904,0.023468849826,144.427301829
196,Pennsylvania State University,59.1437427403,0.484054502141,27500.3626994
197,TU Dresden,20.7323324151,0.155472907443,2949.78747292
198,University of Salerno,15.4630394858,0.00136301932607,5.49433090337
199,Washington University in St. Louis,35.4739302112,1.60990113263,19265.1785231
200,McGill University,63.4738988284,3.96707878158,209372.487083
201,Naval Postgraduate School,7.53659320478,0.340566515158,2579.79135232
202,University of Edinburgh,132.689831431,7.28031198402,177161.281767
203,RWTH Aachen,44.8495775941,0.0443167879698,1539.28453766
204,University of Bath,15.1777134986,1.00250375366,13848.0052501
205,IIT Kharagpur,10.8521579431,0.0,0.0
206,University of Melbourne,43.4881267218,0.320046614233,4116.11129223
207,IMDEA Software Institute,1.24991806174,0.0,0.0
208,University of Sydney,24.6821579431,0.268165662608,2071.14643071
209,University of North Carolina,24.2476427375,0.225054994251,1382.64251546
210,IIIT Delhi,3.51833486379,0.0,0.0
211,University of Nevada,4.31022038567,0.0,0.0
212,Concordia University,12.3856198347,0.0182035327175,148.194959853
213,IISc Bangalore,38.1856795225,2.01342125108,53121.2129174
214,Rochester Institute of Technology,12.4842056933,0.0168713571553,36.8008280934
215,DIKU,21.8953076217,1.99697003917,32812.0285843
216,Chulalongkorn Uniersity,0.00798898071625,0.0,0.0
217,Worcester Polytechnic Institute,17.7503581267,0.0384913913973,81.3280878557
218,IST Austria,19.521751742,0.898946099628,13694.9678554
219,University College London,185.463544536,20.0533829083,1376872.87978
220,Columbia University,193.023803621,20.7090520708,1377626.33494
221,Massey University,5.23712057762,0.020019516808,96.2313468507
222,University of Miami,11.0694674013,0.64642210715,7303.93853749
223,IIT Roorkee,1.88686868687,0.0153169929844,19.1768752165
224,University of Tartu,3.03232323232,0.0,0.0
225,University of Victoria,7.28194285512,0.0181600630391,53.9898674153
226,Carleton University,25.1413774105,1.41747656648,37129.3811823
227,Athens University of Economics and Business,22.2870431589,2.14895380723,45293.4772265
228,Texas A&M University,40.1245416572,0.0436509511613,292.914768995
229,EPFL,90.6618184905,1.64652979993,33830.7059927
230,Bar-Ilan University,66.0970431589,0.898748147255,13753.3990791
231,University of Maryland-College Park,116.836373686,3.24494712331,147767.893258
232,IIT Kanpur,21.6440312213,1.1649939233,21052.6417608
233,University of Adelaide,31.2115243343,0.344402373517,4690.11914771
234,University of Warsaw,13.2254912764,0.0,0.0
235,Stony Brook University,44.8046280992,3.06700709274,77212.2578881
236,University of Notre Dame,28.2350229568,0.0828526520566,927.727950079
237,University of Western Australia,7.53241505969,0.0,0.0
238,IIT Hyderabad,2.59475665748,0.0370942847144,100.970642993
239,IIT Bombay,26.9821031553,0.853767143,7096.23823001
240,IIIT Hyderabad,22.6567033976,0.0412613601698,228.574903223
241,University of Maryland-Baltimore County,47.2301780252,0.485668149569,9180.60134215
242,University of New South Wales,,,
243,University of Alberta,217.270560853,21.5171699779,1570861.95176
244,Aarhus University,9.14611832612,0.0288425978339,126.215208121
245,University of Zurich,6.99393939394,0.0212400296527,102.73802343
246,Max Planck Institute,136.549966995,15.3446111758,2635449.4887
247,TU Darmstadt,39.5607621671,1.47219411629,36824.9827154
248,University of Athens,24.1039995285,0.0687519472695,1124.35219696
249,Stevens Institute of Technology,11.9464623508,0.286941531641,3632.53054159
250,University of Calgary,13.5790266299,0.00901106302901,27.0695464318
251,University of Massachusetts Lowell,5.43100091827,0.0,0.0
252,Rutgers University,74.5517115386,4.92470065938,153139.744945
253,Ecole Normale Superieure de Lyon,11.0057300275,0.0109921492732,45.9691682604
254,Colorado State University,15.0625068871,0.21060592399,1562.27364657
255,IIT Delhi,15.216584022,0.358223591061,3654.01680594
256,BITS Pilani,0.744628099174,0.0,0.0
257,University of Auckland,12.5997643098,0.0580912991707,166.033772632
258,National University of Singapore,110.891460364,2.97295974407,81825.5255532
259,University of Canterbury,2.60771349862,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,110.042493113,16.5601002745,1888810.89795
262,George Mason University,40.1106465084,0.440149357938,6761.42998503
263,University of Luxembourg,17.3505050505,0.00407394915658,34.6896770682
264,Hebrew University of Jerusalem,184.615116315,22.4615384896,1506331.91439
265,Simon Fraser University,68.8474213206,0.788715454425,12258.8531125
266,Indiana University,38.0423792033,1.61993686654,15790.2272309
267,University of Toronto,139.316332342,11.4478489473,682961.022075
268,University at Buffalo,42.5289637635,0.142215063685,1323.26066554
269,TU Munich,50.869513315,0.0194835564259,190.953763883
270,University of Waikato,23.4588613407,0.865406394615,16033.1755074
