,Name,Speech recognition pscore 5 years,Speech recognition year 5 years,Speech recognition year combined 5 years
86,Auburn University,1061.08333333,0.0,0.0
87,Wayne State University,7335.82142857,0.0,0.0
88,University of Oregon,7644.70238095,3.41974053444,48666.3275457
89,Wright State University Main Campus,11883.0666667,102.527570179,2792645.95653
90,University of Illinois at Chicago,12016.0833333,35.7185186544,252391.850386
91,Brandeis University,10676.7833333,0.0,0.0
92,North Dakota State University Main Campus,3210.86666667,0.0,0.0
93,City University of New York Grad. Center,187.5,0.0,0.0
94,State University of New York at Binghamton,2923.5,0.0,0.0
95,University of North Carolina at Charlotte,7855.875,0.0,0.0
96,Case Western Reserve University,21175.0833333,84.2113822823,3169196.55967
97,University of New Mexico Main Campus,2979.08333333,0.0,0.0
98,Syracuse University Main Campus,115795.533333,6069.609649,815166784.689
99,New Mexico State University Main Campus,214.5,8.23529411765,6160.0
100,New Jersey Institute of Technology,4.0,0.0,0.0
101,University of South Carolina Columbia,8495.34285714,8.54342102411,98044.2996727
102,College of William and Mary,8345.7,23.506312169,458772.694603
103,Florida International University,13997.625,9.03397209618,257666.952127
104,George Washington University,8700.41666667,41.4799379625,313920.170501
105,Old Dominion University,4145.33333333,0.0,0.0
106,Texas Tech University,1508.5,0.0,0.0
107,University of Kansas,18873.5333333,4.26283033966,31638.726781
108,University of Arkansas Main Campus,1363.1,0.0,0.0
109,University of Alabama,3654.86666667,0.0,0.0
110,Mississippi State University,15550.0595238,39.839501091,587074.888077
111,University of Houston,10404.6666667,20.2680083283,307384.614307
112,University of North Texas,21491.5,311.442030713,20542404.9038
113,Clemson University,2792.25,0.0,0.0
114,State University of New York at Albany,7862.06666667,21.0156074109,260551.50068
115,Brigham Young University,9562.125,92.6325275883,2561752.55045
116,Kansas State University,484.266666667,0.0,0.0
117,University of Alabama In Huntsville,1086.08333333,0.0,0.0
118,University of Memphis,30463.9214286,2213.18405228,233794012.498
119,Temple University,9566.33333333,0.0,0.0
120,University of Louisiana at Lafayette,14671.5,0.0,0.0
121,University of Alabama at Birmingham,5135.08333333,106.068204464,1662937.30959
122,Oregon Health and Science University,107790.733333,14111.4087476,1678135989.31
123,Western Michigan University,450.5,0.0,0.0
124,Southern Methodist University,25704.6666667,0.0,0.0
125,University of Southern Mississippi,1186.83333333,0.0,0.0
126,Universidade de Brasília,2015.66666667,0.0,0.0
127,Universidade Federal de Uberlândia,755.916666667,0.0,0.0
128,USP - São Carlos,9064.9,49.9537256429,412384.460155
129,Universidade de São Paulo,5807.16666667,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,1969.66666667,0.0,0.0
131,Universidade de Fortaleza,440.666666667,0.0,0.0
132,Universidade Federal de Campina Grande,858.333333333,0.0,0.0
133,Universidade Federal da Bahia,167.0,0.0,0.0
134,Universidade Federal do Amazonas,2248.56666667,0.0,0.0
135,Universidade Federal de Minas Gerais,3056.38333333,0.0,0.0
136,Universidade Federal do Espírito Santo,487.5,0.0,0.0
137,Universidade Federal de Pernambuco,12217.5333333,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,146.833333333,0.0,0.0
139,Universidade Federal de São Carlos,3274.8,0.0,0.0
140,Universidade Federal de Santa Catarina,788.25,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,950.116666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,5707.16666667,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,1889.33333333,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,1886.45,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,5609.0,0.0,0.0
146,Universidade Estadual de Campinas,8719.91666667,9.76836958085,99490.844181
147,Universidade Federal do Ceará,272.25,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,13478.3333333,81.3505881485,810367.889829
149,Universidade Federal do Paraná,4620.16666667,0.0,0.0
150,Universidade Federal Fluminense,848.0,0.0,0.0
151,Imperial College London,27972.6988095,17.3394997848,111266.623071
152,University of Oxford,22062.75,493.443056815,14969558.4911
153,University of Cambridge,17611.3666667,19.3133205846,192145.262332
154,ETH Zurich,64479.9333333,526.744168799,21815057.2083
155,École Polytechnique ParisTech,5848.0,0.0,0.0
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
