,Name,Natural language processing pscore norm,Natural language processing year norm,Natural language processing year combined norm
110,Mississippi State University,8.39421151439,0.00899763241032,7.00915564764
111,University of Houston,9.43784418023,0.0,0.0
112,University of North Texas,8.53731748018,0.00804450788287,14.5103578777
113,Clemson University,2.91220970658,0.0,0.0
114,State University of New York at Albany,22.6100862685,1.57280399799,35429.1322929
115,Brigham Young University,16.64630267,0.475383973719,6593.47327663
116,Kansas State University,3.18612849395,0.0,0.0
117,University of Alabama In Huntsville,1.23376095119,0.00123547667061,0.239595858134
118,University of Memphis,11.406549854,0.0775002874185,838.863111018
119,Temple University,20.469190655,1.99261471027,31885.0775515
120,University of Louisiana at Lafayette,6.46357947434,0.0,0.0
121,University of Alabama at Birmingham,7.94002920317,0.45961352507,4939.0069404
122,Oregon Health and Science University,53.9500566184,6.75132775951,286927.955116
123,Western Michigan University,0.604818523154,0.0,0.0
124,Southern Methodist University,4.73508552357,0.0,0.0
125,University of Southern Mississippi,3.57530246141,0.0,0.0
126,Universidade de Brasília,0.941958698373,0.0,0.0
127,Universidade Federal de Uberlândia,0.66802252816,0.0,0.0
128,USP - São Carlos,11.3866239049,0.0729505128611,247.637481941
129,Universidade de São Paulo,4.10047976637,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,0.582811848144,0.0,0.0
131,Universidade de Fortaleza,1.91952179808,0.140893732047,512.853184652
132,Universidade Federal de Campina Grande,1.12312265332,0.0,0.0
133,Universidade Federal da Bahia,0.119042031706,0.0,0.0
134,Universidade Federal do Amazonas,2.94645390071,0.00405151044526,19.83619514
135,Universidade Federal de Minas Gerais,10.0295994994,0.00556891154454,26.7840805744
136,Universidade Federal do Espírito Santo,0.950146015853,0.0,0.0
137,Universidade Federal de Pernambuco,8.30690707134,0.0434611800853,190.577274674
138,Universidade Federal de Mato Grosso do Sul,0.119847726325,0.0,0.0
139,Universidade Federal de São Carlos,2.5926548811,0.00402341242923,8.28018277935
140,Universidade Federal de Santa Catarina,0.903108051731,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,0.989820609095,0.0,0.0
142,Universidade Federal do Rio de Janeiro,2.91842928661,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,6.84026908636,0.0729826611646,398.416972228
144,Pontifícia Universidade Católica do Rio de Janeiro,5.05399718398,0.0276815047608,77.1583923849
145,Pontifícia Universidade Católica do Paraná,2.43246766792,0.0,0.0
146,Universidade Estadual de Campinas,6.17322434293,0.0,0.0
147,Universidade Federal do Ceará,0.700375469337,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,13.3637411348,0.622715399696,5951.91379029
149,Universidade Federal do Paraná,2.35229453484,0.0,0.0
150,Universidade Federal Fluminense,2.89376303713,0.0,0.0
151,Imperial College London,31.0280742221,0.0,0.0
152,University of Oxford,63.1676470588,4.41530685536,114815.358857
153,University of Cambridge,57.1538954944,10.2096058852,302658.358336
154,ETH Zurich,35.7028526107,0.0504070424445,378.355260588
155,École Polytechnique ParisTech,3.44722569879,0.0,0.0
156,University of Texas at Arlington,22.4071503069,0.0,0.0
157,Ecole Normale Superieure,14.0980218328,0.0604088816182,751.124034041
158,IIIT Bangalore,6.42907801418,0.0,0.0
159,Nanyang Technological University,57.8361076345,0.211295404773,1557.07247803
160,University of Waterloo,78.5243998909,0.895593958387,21114.5522911
161,Western University,9.31861702128,0.0516256077418,137.642588857
162,University of Nebraska,7.68038816107,0.0,0.0
163,Victoria University of Wellington,28.6678139341,0.0,0.0
164,University of Queensland,16.1889966625,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,0.793491864831,0.0,0.0
167,University of Pittsburgh,58.213791545,6.84116792159,221282.640797
168,University of Michigan,106.225178462,3.20057472977,154567.393916
169,IIT Madras,21.1692010847,1.88558917602,21615.9812395
170,City University of New York,,,
171,University of British Columbia,36.2500683335,0.640428785055,10916.3038419
172,Queen’s University,7.53752160439,0.00725658484172,5.97216932474
173,Virginia Commonwealth University,3.25490196078,0.122357267437,319.719539812
174,Polytechnic University of Catalonia,4.22635586149,0.0,0.0
175,Emory University,15.5176679182,0.758284829761,5407.41526108
176,Ecole Normale Superieure de Cachan,4.69261643627,0.0141146569199,23.260954604
177,Georgetown University,11.0470171047,0.909556979815,8692.6183695
178,Binghamton University,6.52037964122,0.00582546635135,38.6461437748
179,University of Otago,3.56920108469,0.0302230919116,79.3356162681
180,VU Amsterdam,33.9435231539,0.185026986499,5157.1661944
181,McMaster University,3.83702544848,0.0,0.0
182,Monash University,28.3419899875,1.20886014764,15360.3677218
183,Tel Aviv University,25.3222391084,2.32492259648,35355.7816819
184,Boise State University,2.1346057572,0.0,0.0
185,Drexel University,9.58936145033,0.012610872286,25.6000707406
186,Boston College,2.75448477263,0.0,0.0
187,University of Bristol,7.6824050897,0.0250550038418,166.540610537
188,University of Kent,4.06082041655,0.0,0.0
189,Politecnico di Milano,18.3350276806,0.0,0.0
190,Australian National University,50.6825876095,0.355578479372,3551.51785196
191,Toyota Technological Institute at Chicago,14.5904151022,1.24680778395,13820.7539573
192,Technion-Israel Institute of Technology,56.4922820192,0.588049340302,11167.0362924
193,TU Delft,28.8239994934,0.00478301833567,2.02799977433
194,University of Minnesota,31.5528547589,0.00496490136172,9.58722452949
195,New Mexico State University,6.18408427201,0.0,0.0
196,Pennsylvania State University,29.2122162985,0.0632946143128,1582.87171473
197,TU Dresden,14.3781080517,0.0531691297682,227.021616433
198,University of Salerno,8.26981643721,0.0,0.0
199,Washington University in St. Louis,16.6969962453,0.323955377145,2732.56360622
200,McGill University,21.0359835669,0.998524812906,9010.97549318
201,Naval Postgraduate School,3.51569670421,0.0,0.0
202,University of Edinburgh,220.685009287,27.4222616057,1050505.77873
203,RWTH Aachen,104.891030455,3.87734000861,580077.206668
204,University of Bath,4.19595327493,0.0,0.0
205,IIT Kharagpur,17.9952544848,0.517185921434,3908.5063118
206,University of Melbourne,80.6840216938,13.0006537206,531887.152866
207,IMDEA Software Institute,0.804301851674,0.0,0.0
208,University of Sydney,33.0477084451,5.96247297867,279876.617999
209,University of North Carolina,14.5152058946,1.78307631439,23956.4998847
210,IIIT Delhi,2.05381727159,0.0,0.0
211,University of Nevada,2.26178556529,0.0,0.0
212,Concordia University,12.1274614101,0.162678505999,744.486369593
213,IISc Bangalore,14.2017000417,0.659596248235,9426.94957978
214,Rochester Institute of Technology,10.2449266941,0.0830377086269,224.632676434
215,DIKU,8.50587192324,0.0577119078022,207.944764782
216,Chulalongkorn Uniersity,0.00938673341677,0.0,0.0
217,Worcester Polytechnic Institute,16.7030072313,0.0675616780462,489.702314415
218,IST Austria,3.56585840844,0.0,0.0
219,University College London,47.7599499374,1.156442805,16126.7235702
220,Columbia University,124.184963347,9.54386622708,556131.313444
221,Massey University,3.64684930908,0.0,0.0
222,University of Miami,3.39048811014,0.0,0.0
223,IIT Roorkee,1.45869837297,0.00174058307682,1.08786442301
224,University of Tartu,4.62103671256,0.0320729205143,78.1617072933
225,University of Victoria,5.51563372485,0.0475584977722,128.740853469
226,Carleton University,10.8371610346,0.299699067812,2824.9634132
227,Athens University of Economics and Business,13.85457864,0.631229768277,5362.92811128
228,Texas A&M University,26.7982120508,0.435050105029,2819.46127847
229,EPFL,40.1072631931,0.0,0.0
230,Bar-Ilan University,78.1928712975,12.2600549158,611610.33708
231,University of Maryland-College Park,91.9733638411,10.0192730982,411941.658962
232,IIT Kanpur,5.86378806842,0.0133457228513,42.1191013188
233,University of Adelaide,10.9872027534,0.0059230249369,9.2280728517
234,University of Warsaw,5.40347309136,0.0168444262264,16.6974824028
235,Stony Brook University,19.2447225699,0.0482839219902,140.99755787
236,University of Notre Dame,35.7552774301,4.80062436862,172988.093951
237,University of Western Australia,5.18596161869,0.00512069824425,21.1433630505
238,IIT Hyderabad,0.864601585315,0.0,0.0
239,IIT Bombay,17.7751262958,0.481599410217,2229.5128494
240,IIIT Hyderabad,31.2359720484,0.804313681938,5650.96919617
241,University of Maryland-Baltimore County,31.7218650109,0.0654252944571,510.29127082
242,University of New South Wales,,,
243,University of Alberta,91.1010380994,4.89884893103,144780.40255
244,Aarhus University,4.27207968294,0.0,0.0
245,University of Zurich,5.31350199654,0.0,0.0
246,Max Planck Institute,37.1438400859,0.267054757193,8156.59006045
247,TU Darmstadt,47.4238110138,6.62758468714,285889.16104
248,University of Athens,17.7785620598,0.0,0.0
249,Stevens Institute of Technology,3.62166249479,0.0,0.0
250,University of Calgary,9.47936483104,0.0135255435431,61.8459812405
251,University of Massachusetts Lowell,5.67494785148,0.0426575919085,101.758248941
252,Rutgers University,31.1732699984,0.769093430764,7676.81744514
253,Ecole Normale Superieure de Lyon,5.88444931164,0.0,0.0
254,Colorado State University,4.97413433458,0.0,0.0
255,IIT Delhi,13.2558406341,0.692146363237,11757.4413972
256,BITS Pilani,2.25990821861,0.0713437189391,190.059667254
257,University of Auckland,6.95199902656,0.0,0.0
258,National University of Singapore,105.584349134,10.1463997494,607025.811087
259,University of Canterbury,2.52737797247,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,42.9337244472,1.19212395259,19212.1116192
262,George Mason University,16.5589087053,0.0,0.0
263,University of Luxembourg,13.3509073842,0.0,0.0
264,Hebrew University of Jerusalem,58.0823146989,3.05981202763,112020.363682
265,Simon Fraser University,48.480178822,4.20452602977,138522.705764
266,Indiana University,17.4984832231,0.00233338692455,0.777017845874
267,University of Toronto,91.0301071512,8.15824542655,262253.627827
268,University at Buffalo,30.2687574211,0.40387304099,5929.77271197
269,TU Munich,19.1460680017,0.00258959076789,9.12571786604
270,University of Waikato,7.4925949103,0.0164541729414,85.0993370942
