,Name,Data mining pscore 5 years,Data mining year 5 years,Data mining year combined 5 years
88,University of Oregon,25450.0214286,402.508591232,3981855.12105
89,Wright State University Main Campus,30240.6833333,831.099258079,12879563.5185
90,University of Illinois at Chicago,180908.519048,19466.7392475,5133706043.5
91,Brandeis University,8910.63333333,0.0,0.0
92,North Dakota State University Main Campus,18515.1833333,804.197323878,5707765.42147
93,City University of New York Grad. Center,1319.0,3.77559782578,4610.00494527
94,State University of New York at Binghamton,7578.41666667,200.263231703,2772043.65324
95,University of North Carolina at Charlotte,28386.4333333,1283.42406905,25788693.0364
96,Case Western Reserve University,37902.65,303.326295343,6024660.83321
97,University of New Mexico Main Campus,7097.83333333,440.306468108,6598870.7297
98,Syracuse University Main Campus,24383.7666667,154.929257582,1542296.69825
99,New Mexico State University Main Campus,221.0,0.0,0.0
100,New Jersey Institute of Technology,71.0,0.0,0.0
101,University of South Carolina Columbia,15989.5285714,25.4377405167,155757.219895
102,College of William and Mary,10445.8666667,69.0293654849,200201.242758
103,Florida International University,56854.5,1762.35083445,156255216.934
104,George Washington University,18945.35,523.927280696,7516132.0702
105,Old Dominion University,16001.0277778,124.409890631,1619787.18966
106,Texas Tech University,10173.8333333,11.455657805,42280.0152862
107,University of Kansas,32902.65,996.595950121,23340529.0118
108,University of Arkansas Main Campus,3872.56666667,0.0,0.0
109,University of Alabama,9363.8,1.82795630494,4299.35322922
110,Mississippi State University,8759.36904762,1.35041506222,1029.01627741
111,University of Houston,34062.025,1575.79637637,41895424.7359
112,University of North Texas,15144.5,91.7107084655,845230.740283
113,Clemson University,8039.03333333,6.25345568411,10032.8598024
114,State University of New York at Albany,8778.08095238,40.2512529615,267015.249204
115,Brigham Young University,19367.0833333,147.719774768,838066.706748
116,Kansas State University,6389.9,98.7605625313,793685.010925
117,University of Alabama In Huntsville,3817.35,39.6799435255,128720.878046
118,University of Memphis,7520.25952381,59.6504689582,356449.92329
119,Temple University,32564.25,1548.29178027,31483462.6722
120,University of Louisiana at Lafayette,12530.1666667,43.6544592209,347489.062188
121,University of Alabama at Birmingham,5510.16666667,51.2439153378,604885.834095
122,Oregon Health and Science University,7322.5,9.66311556453,30921.9698065
123,Western Michigan University,2823.0,13.8547629732,17221.4703757
124,Southern Methodist University,8909.66666667,429.073347979,4164729.18106
125,University of Southern Mississippi,7350.16666667,16.6046511628,105422.930233
126,Universidade de Brasília,1941.66666667,0.0,0.0
127,Universidade Federal de Uberlândia,2436.25,0.0,0.0
128,USP - São Carlos,27805.977381,541.655012243,4213163.36987
129,Universidade de São Paulo,5987.16666667,3.40579710145,1277.17391304
130,Universidade do Vale do Rio dos Sinos,1447.5,0.0,0.0
131,Universidade de Fortaleza,2417.14583333,0.0,0.0
132,Universidade Federal de Campina Grande,2845.16666667,0.0,0.0
133,Universidade Federal da Bahia,540.405357143,0.0,0.0
134,Universidade Federal do Amazonas,6123.76666667,30.2844695059,281042.398882
135,Universidade Federal de Minas Gerais,29126.4333333,445.507290843,5465652.73493
136,Universidade Federal do Espírito Santo,2996.66666667,0.0,0.0
137,Universidade Federal de Pernambuco,19576.1541667,23.4923286001,33389.6419929
138,Universidade Federal de Mato Grosso do Sul,411.5,0.0,0.0
139,Universidade Federal de São Carlos,6173.77202381,14.0413666634,44525.1736895
140,Universidade Federal de Santa Catarina,2757.08333333,2.45502743053,1448.46618401
141,Universidade Federal do Rio Grande de Norte,3961.81666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,7583.05952381,3.01942565355,6232.09454893
143,Pontifícia Universidade Católica do Rio Grande do Sul,3471.66666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,10024.9208333,28.2425555541,137837.480425
145,Pontifícia Universidade Católica do Paraná,3997.66666667,3.25718390805,2703.46264368
146,Universidade Estadual de Campinas,15737.6458333,20.2088664862,107564.919541
147,Universidade Federal do Ceará,2595.53333333,7.47314814815,17143.4018519
148,Universidade Federal do Rio Grande do Sul,14431.8166667,17.827014371,42234.7552894
149,Universidade Federal do Paraná,4819.16666667,0.0,0.0
150,Universidade Federal Fluminense,10162.4666667,813.086979406,15171784.4247
151,Imperial College London,56594.5738095,193.070167076,1962235.83284
152,University of Oxford,63940.7166667,231.94783011,1997157.72969
153,University of Cambridge,23918.3428571,90.4940175691,539869.031446
154,ETH Zurich,70261.05,574.30746655,10789972.8865
155,École Polytechnique ParisTech,6982.08333333,0.0,0.0
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
