,Name,Computer network pscore 5 years,Computer network year 5 years,Computer network year combined 5 years
88,University of Oregon,45302.2619048,2734.74507859,110899711.637
89,Wright State University Main Campus,13418.1666667,344.192473539,4003473.93864
90,University of Illinois at Chicago,47414.6333333,188.936830962,4389027.79549
91,Brandeis University,2168.53333333,1.3358574412,2323.05609025
92,North Dakota State University Main Campus,19911.5833333,983.752901279,62510882.7674
93,City University of New York Grad. Center,1552.0,0.0,0.0
94,State University of New York at Binghamton,18753.4166667,789.848522857,19558520.4621
95,University of North Carolina at Charlotte,32785.1166667,1324.7651959,81972428.5204
96,Case Western Reserve University,45888.075,518.523456141,13213894.4905
97,University of New Mexico Main Campus,2094.51666667,10.4430343216,37720.2399696
98,Syracuse University Main Campus,89948.75,1210.21510494,77888580.9413
99,New Mexico State University Main Campus,146.5,0.0,0.0
100,New Jersey Institute of Technology,42.0,0.0,0.0
101,University of South Carolina Columbia,26343.1595238,2042.04681681,61911876.8933
102,College of William and Mary,73574.7833333,6330.47611817,460837030.196
103,Florida International University,55921.0833333,735.004736959,26450602.1979
104,George Washington University,71184.8833333,4650.61364005,444991417.3
105,Old Dominion University,43119.9722222,946.839930652,20269690.9572
106,Texas Tech University,5925.5,24.5866666667,111967.68
107,University of Kansas,63514.0916667,1094.61824277,19357564.1114
108,University of Arkansas Main Campus,2425.46666667,0.0,0.0
109,University of Alabama,65015.6833333,591.712437197,60331971.6005
110,Mississippi State University,8342.63095238,6.38474397498,13957.0503293
111,University of Houston,15991.7666667,72.4406892781,469043.710142
112,University of North Texas,13557.5,50.3189691048,576433.735857
113,Clemson University,16556.6666667,162.469697854,1091212.85775
114,State University of New York at Albany,3581.19285714,0.0,0.0
115,Brigham Young University,13173.6666667,126.492122101,1855006.97062
116,Kansas State University,5316.63333333,23.9160331208,69890.3471274
117,University of Alabama In Huntsville,1679.1,0.0,0.0
118,University of Memphis,22343.4190476,662.943192165,12854947.8187
119,Temple University,37665.8333333,1181.141952,73049835.736
120,University of Louisiana at Lafayette,38688.6666667,1477.93117107,40405630.9549
121,University of Alabama at Birmingham,4384.08333333,35.1334462284,253909.415892
122,Oregon Health and Science University,2738.16666667,0.0,0.0
123,Western Michigan University,13952.0,8.23136806505,17705.6727079
124,Southern Methodist University,18753.8333333,507.61969143,4196683.07493
125,University of Southern Mississippi,6654.0,0.0,0.0
126,Universidade de Brasília,2597.16666667,0.0,0.0
127,Universidade Federal de Uberlândia,2905.58333333,0.0,0.0
128,USP - São Carlos,14570.2583333,16.1375355925,76176.0171544
129,Universidade de São Paulo,3820.41666667,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,1037.83333333,0.0,0.0
131,Universidade de Fortaleza,1697.47916667,0.0,0.0
132,Universidade Federal de Campina Grande,3452.45,0.0,0.0
133,Universidade Federal da Bahia,2344.14583333,19.135506244,117224.111251
134,Universidade Federal do Amazonas,5542.18333333,0.0,0.0
135,Universidade Federal de Minas Gerais,25956.4166667,184.991795675,2261422.30402
136,Universidade Federal do Espírito Santo,3052.0,0.0,0.0
137,Universidade Federal de Pernambuco,15831.8041667,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,1160.05,0.0,0.0
139,Universidade Federal de São Carlos,8736.94583333,22.0651966679,36667.7782441
140,Universidade Federal de Santa Catarina,6336.0,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4438.15,9.80336642521,35792.0908185
142,Universidade Federal do Rio de Janeiro,21631.25,689.996672399,11146166.3625
143,Pontifícia Universidade Católica do Rio Grande do Sul,2405.83333333,3.56498866196,3019.21574245
144,Pontifícia Universidade Católica do Rio de Janeiro,5698.8375,3.5398170384,17695.545375
145,Pontifícia Universidade Católica do Paraná,5678.75,0.0,0.0
146,Universidade Estadual de Campinas,48585.1291667,130.350087088,933306.623549
147,Universidade Federal do Ceará,3496.46666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,15403.8833333,0.0,0.0
149,Universidade Federal do Paraná,5532.65,0.0,0.0
150,Universidade Federal Fluminense,7617.55,35.5245196536,177527.46683
151,Imperial College London,71688.8166667,1572.08761411,122032019.432
152,University of Oxford,23665.6166667,230.132739232,1202238.31366
153,University of Cambridge,68420.497619,3213.97838614,95036728.0025
154,ETH Zurich,52042.5166667,1137.54013086,22794712.9976
155,École Polytechnique ParisTech,21434.4166667,556.25522197,19705876.0372
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
