,Name,Programming language pscore,Programming language year,Programming language year combined
105,Old Dominion University,25392.6166667,0.0,0.0
106,Texas Tech University,10584.4583333,37.5887588349,38791.5991177
107,University of Kansas,20354.95,43.2088474752,105909.030339
108,University of Arkansas Main Campus,5339.36666667,0.0,0.0
109,University of Alabama,14694.9166667,0.0,0.0
110,Mississippi State University,9786.68333333,5.25965377285,9698.80155714
111,University of Houston,26887.7,178.461398956,573462.788397
112,University of North Texas,18804.5166667,80.248351689,301742.708607
113,Clemson University,22433.2166667,0.0,0.0
114,State University of New York at Albany,17079.8047619,85.3188706883,590719.240557
115,Brigham Young University,11099.4166667,0.0,0.0
116,Kansas State University,17903.9333333,74.9311830466,316091.137196
117,University of Alabama In Huntsville,2166.4,0.0,0.0
118,University of Memphis,4485.65555556,0.0,0.0
119,Temple University,7106.88333333,0.0,0.0
120,University of Louisiana at Lafayette,20603.35,120.708317659,410046.155088
121,University of Alabama at Birmingham,3579.25,0.0,0.0
122,Oregon Health and Science University,415.023809524,0.0,0.0
123,Western Michigan University,2970.5,0.0,0.0
124,Southern Methodist University,7809.83333333,0.0,0.0
125,University of Southern Mississippi,1424.66666667,0.0,0.0
126,Universidade de Brasília,8019.91666667,0.0,0.0
127,Universidade Federal de Uberlândia,1249.75,0.0,0.0
128,USP - São Carlos,10294.2535714,0.0,0.0
129,Universidade de São Paulo,8991.8,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,908.666666667,0.0,0.0
131,Universidade de Fortaleza,1176.9375,0.0,0.0
132,Universidade Federal de Campina Grande,7731.01666667,0.0,0.0
133,Universidade Federal da Bahia,2962.16845238,0.0,0.0
134,Universidade Federal do Amazonas,1473.38333333,0.0,0.0
135,Universidade Federal de Minas Gerais,9877.325,6.12040477307,18587.6692958
136,Universidade Federal do Espírito Santo,11656.0833333,66.7567000517,718969.659556
137,Universidade Federal de Pernambuco,21132.7458333,52.9274448782,218857.158759
138,Universidade Federal de Mato Grosso do Sul,1335.93333333,0.0,0.0
139,Universidade Federal de São Carlos,2583.56845238,0.0,0.0
140,Universidade Federal de Santa Catarina,3608.5,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,6374.98333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,16288.497619,4.93511881472,9653.09240159
143,Pontifícia Universidade Católica do Rio Grande do Sul,8904.75,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,25998.4458333,59.2048115415,132784.630407
145,Pontifícia Universidade Católica do Paraná,753.0,0.0,0.0
146,Universidade Estadual de Campinas,12690.0208333,65.7006285326,108622.705087
147,Universidade Federal do Ceará,3296.51666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,20631.0166667,0.0,0.0
149,Universidade Federal do Paraná,2262.26666667,0.0,0.0
150,Universidade Federal Fluminense,7223.11666667,0.0,0.0
151,Imperial College London,125378.124298,2361.64259169,16701567.7024
152,University of Oxford,133965.666667,1580.37353,15721641.545
153,University of Cambridge,58021.5833333,1084.12989799,11380183.0861
154,ETH Zurich,120217.944512,2342.97142946,37490283.4471
155,École Polytechnique ParisTech,47822.2166667,911.976457711,7518122.09833
156,University of Texas at Arlington,31984.1071429,21.3093397046,197873.939865
157,Ecole Normale Superieure,31406.5777778,571.57807667,2924125.60044
158,IIIT Bangalore,3234.33333333,0.0,0.0
159,Nanyang Technological University,32480.4166667,16.1134510593,19996.7927647
160,University of Waterloo,97007.4672161,762.921883346,5678871.76272
161,Western University,14000.4833333,0.0,0.0
162,University of Nebraska,27046.3683983,89.0885691042,558654.968869
163,Victoria University of Wellington,20750.8333333,33.7031666224,277854.152506
164,University of Queensland,13142.15,2.98737527812,7223.47342249
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,944.0,0.0,0.0
167,University of Pittsburgh,37127.1833333,180.392523856,1509365.89035
168,University of Michigan,122955.270723,1260.65058005,16746011.8237
169,IIT Madras,21318.2,292.541158214,735073.400704
170,City University of New York,,,
171,University of British Columbia,59584.7176004,344.596317003,1517114.44693
172,Queen’s University,40783.3571429,86.1213807353,299142.379881
173,Virginia Commonwealth University,3094.30952381,0.0,0.0
174,Polytechnic University of Catalonia,62945.8166667,472.059644802,7096071.23979
175,Emory University,13551.9666667,0.0,0.0
176,Ecole Normale Superieure de Cachan,52335.754386,0.0,0.0
177,Georgetown University,7911.03333333,18.0916666667,62542.8916667
178,Binghamton University,15738.8333333,0.0,0.0
179,University of Otago,5736.31666667,0.0,0.0
180,VU Amsterdam,47048.25,116.238999634,945593.645922
181,McMaster University,16203.3333333,5.5047398267,7981.87274872
182,Monash University,19890.7,91.0088158982,634377.572076
183,Tel Aviv University,115723.004762,1980.02827501,32017460.4934
184,Boise State University,5075.98333333,0.0,0.0
185,Drexel University,8582.71284271,0.0,0.0
186,Boston College,4513.25,54.0321474892,107956.230683
187,University of Bristol,10315.5666667,63.2211338042,62385.308885
188,University of Kent,39523.275641,1118.75889736,4273917.04331
189,Politecnico di Milano,48450.6455032,19.6306858069,86983.5688105
190,Australian National University,40118.0666667,1184.22179744,10381070.8544
191,Toyota Technological Institute at Chicago,5672.86666667,13.4329893258,55612.5758087
192,Technion-Israel Institute of Technology,125120.52619,2475.14202584,37954223.3144
193,TU Delft,51779.9464286,197.663158614,1355544.7681
194,University of Minnesota,66663.3678571,735.832939908,11320287.4263
195,New Mexico State University,12136.4166667,34.5402878513,290127.951377
196,Pennsylvania State University,94382.3051948,917.070623121,23143091.9575
197,TU Dresden,32810.4,14.5176545164,51957.1448134
198,University of Salerno,37232.2666667,15.0410798122,79131.120892
199,Washington University in St. Louis,27208.0333333,628.844155235,5662970.56904
200,McGill University,54847.8695971,1395.8770344,26422653.6848
201,Naval Postgraduate School,23441.9166667,81.072079809,256551.775286
202,University of Edinburgh,111894.895238,2371.98093198,25119138.2
203,RWTH Aachen,48355.0833333,14.4245949512,62891.2339874
204,University of Bath,17148.35,6.39708851998,14028.8151243
205,IIT Kharagpur,14708.0333333,0.0,0.0
206,University of Melbourne,37267.6333333,243.93587777,2333243.38675
207,IMDEA Software Institute,38438.7089744,1182.25142958,10564988.3848
208,University of Sydney,31019.747619,75.1339291732,305644.823877
209,University of North Carolina,38864.1480392,160.897033576,639436.991065
210,IIIT Delhi,4728.84722222,0.0,0.0
211,University of Nevada,1770.9,0.0,0.0
212,Concordia University,14460.7833333,0.0,0.0
213,IISc Bangalore,34203.6916667,915.513469372,4678771.36005
214,Rochester Institute of Technology,20087.0714286,174.813225391,668407.961684
215,DIKU,29771.9,845.621434683,2867284.96424
216,Chulalongkorn Uniersity,53.0,0.0,0.0
217,Worcester Polytechnic Institute,14117.5833333,12.8340689063,39310.75306
218,IST Austria,39129.5168067,457.356976433,13190085.534
219,University College London,69154.0666667,1529.77539727,10936511.4782
220,Columbia University,58680.9059524,144.807395988,1040833.42069
221,Massey University,2199.88164613,0.0,0.0
222,University of Miami,7684.4,8.79122339107,29116.5318712
223,IIT Roorkee,1850.08333333,0.0,0.0
224,University of Tartu,8019.66666667,0.0,0.0
225,University of Victoria,27595.3839744,0.0,0.0
226,Carleton University,43339.3,69.4604221546,315020.64351
227,Athens University of Economics and Business,8688.9,0.0,0.0
228,Texas A&M University,52201.4548246,926.677261675,10929540.0572
229,EPFL,102005.80957,1885.853501,33552611.3366
230,Bar-Ilan University,28478.3333333,0.0,0.0
231,University of Maryland-College Park,105474.354902,2449.99401557,27366550.2414
232,IIT Kanpur,16148.4,108.060606061,97750.5454545
233,University of Adelaide,14646.3333333,32.2076296152,62192.9327869
234,University of Warsaw,48197.55,220.519930077,1293570.67539
235,Stony Brook University,57169.45,568.054323242,4680268.12183
236,University of Notre Dame,24820.3,0.0,0.0
237,University of Western Australia,7859.5,13.2554472743,16402.3499647
238,IIT Hyderabad,3352.5,0.0,0.0
239,IIT Bombay,26970.7722689,390.544660618,1343625.52019
240,IIIT Hyderabad,8066.83333333,5.12166593323,5608.22419688
241,University of Maryland-Baltimore County,9367.78628594,0.0,0.0
242,University of New South Wales,,,
243,University of Alberta,38431.675641,441.663301427,3493389.04976
244,Aarhus University,51615.1452381,1121.06848884,10924213.8152
245,University of Zurich,10939.7238095,0.0,0.0
246,Max Planck Institute,54984.5087977,2130.14121601,23562691.4993
247,TU Darmstadt,44822.7,177.069581684,1207236.7767
248,University of Athens,28542.494512,424.950850795,5945912.30432
249,Stevens Institute of Technology,17257.6125,319.527916547,1701092.02921
250,University of Calgary,29022.55,0.0,0.0
251,University of Massachusetts Lowell,8258.75,31.6429955925,40612.1177728
252,Rutgers University,52345.8875817,818.835395699,4144741.75157
253,Ecole Normale Superieure de Lyon,84255.8666667,369.482722407,1108864.61322
254,Colorado State University,19256.0055556,383.471057508,3326145.63211
255,IIT Delhi,19239.3833333,38.905158996,137451.926733
256,BITS Pilani,4876.66666667,67.3783243765,184987.260235
257,University of Auckland,18910.5777778,33.4003109093,91349.8503369
258,National University of Singapore,94426.4984594,701.299344513,4933694.56543
259,University of Canterbury,5954.91666667,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,15975.2333333,28.9090811604,49428.8932104
262,George Mason University,31258.0789683,7.40336159372,21928.7570406
263,University of Luxembourg,34117.1666667,30.864239022,119616.08816
264,Hebrew University of Jerusalem,42337.4361111,27.1852210978,187039.072102
265,Simon Fraser University,29910.1969697,52.7793471371,111737.853814
266,Indiana University,60568.7043651,1013.92639581,7778140.85464
267,University of Toronto,59544.1170552,537.622147971,2547244.42611
268,University at Buffalo,39663.849359,261.088016524,898804.399811
269,TU Munich,55843.0833333,200.694265452,2010938.61724
270,University of Waikato,5779.0,0.0,0.0
