,Name,Artificial intelligence pscore,Artificial intelligence year,Artificial intelligence year combined
180,VU Amsterdam,151165.766667,1072.67393552,19467655.879
181,McMaster University,9780.73333333,32.338264037,33114.3823739
182,Monash University,123736.25,2171.5712302,47703266.1449
183,Tel Aviv University,107362.314286,789.235745393,10931755.597
184,Boise State University,4150.58333333,3.32452749141,9082.60910653
185,Drexel University,95749.0526252,4818.83049478,129175252.168
186,Boston College,16115.5,837.98654354,4411329.0493
187,University of Bristol,43965.75,218.100050621,2486460.08276
188,University of Kent,19017.7717949,156.06702197,1303471.76749
189,Politecnico di Milano,99064.0289377,1292.75011504,21451133.7985
190,Australian National University,216910.75,19630.4415512,575908521.881
191,Toyota Technological Institute at Chicago,42501.3333333,1307.75458222,48871995.2756
192,Technion-Israel Institute of Technology,226960.628571,9570.42075428,453550845.937
193,TU Delft,156730.228571,6135.5199519,157442649.781
194,University of Minnesota,214157.411905,2756.41477416,127439642.173
195,New Mexico State University,77510.8333333,7748.13045081,348454994.16
196,Pennsylvania State University,83876.8064935,912.355637525,42501524.0862
197,TU Dresden,101384.916667,3235.00399804,113921132.471
198,University of Salerno,31694.0666667,13.1875039834,57973.8976074
199,Washington University in St. Louis,104920.2,9012.55304547,490922279.883
200,McGill University,144113.397802,6264.68292753,267788189.676
201,Naval Postgraduate School,19768.5833333,14.7479413204,47612.3977956
202,University of Edinburgh,269615.851984,5389.47861513,148035651.972
203,RWTH Aachen,127551.85,7664.26657776,565411833.897
204,University of Bath,53920.9666667,934.113950995,13678805.783
205,IIT Kharagpur,28179.05,314.371152305,3274654.5717
206,University of Melbourne,151407.8,4521.82102682,109098197.388
207,IMDEA Software Institute,11369.8717949,0.0,0.0
208,University of Sydney,42740.9690476,510.150115437,2333427.46525
209,University of North Carolina,69430.7088235,710.337121957,12088041.5516
210,IIIT Delhi,4491.66666667,0.0,0.0
211,University of Nevada,15288.3,59.3961360688,185661.317742
212,Concordia University,41992.1333333,247.942647281,2836889.12954
213,IISc Bangalore,53267.1833333,1219.1217123,14278257.1504
214,Rochester Institute of Technology,39398.1428571,1560.00633304,43365518.4997
215,DIKU,23853.5166667,17.3228723404,60387.5329787
216,Chulalongkorn Uniersity,34.0,0.0,0.0
217,Worcester Polytechnic Institute,64340.9555556,1231.8450606,18567355.0966
218,IST Austria,23015.3910364,169.729600816,1407015.50613
219,University College London,165519.683333,2254.89334852,80467231.2368
220,Columbia University,201921.288095,2490.85505912,82744245.4632
221,Massey University,30727.0589133,834.905271234,19292965.1785
222,University of Miami,24619.75,133.498057022,1152869.08357
223,IIT Roorkee,2275.75,0.0,0.0
224,University of Tartu,6115.33333333,0.0,0.0
225,University of Victoria,11965.9217949,44.4647528493,198890.839495
226,Carleton University,71688.65,2161.80571533,54500908.787
227,Athens University of Economics and Business,35492.85,1406.94763557,27390161.254
228,Texas A&M University,149466.878571,3630.96790003,54048304.1838
229,EPFL,159678.644071,7442.51964064,801542525.594
230,Bar-Ilan University,347968.383333,29972.6881025,4977613110.99
231,University of Maryland-College Park,289543.82034,15347.7551988,1201737988.49
232,IIT Kanpur,35164.8833333,1594.35248834,18513903.8827
233,University of Adelaide,53632.85,1941.86873047,36686016.3315
234,University of Warsaw,67578.7833333,1767.2849952,43455896.2843
235,Stony Brook University,53812.9333333,189.350535896,2222878.10788
236,University of Notre Dame,34082.8833333,79.6351173798,772540.979313
237,University of Western Australia,20134.6666667,101.469181427,537255.087364
238,IIT Hyderabad,4404.46666667,126.126467022,309087.910596
239,IIT Bombay,30749.3789916,60.5707437148,248757.061098
240,IIIT Hyderabad,66186.5,623.295192952,6756184.26583
241,University of Maryland-Baltimore County,145336.736752,5685.19013007,201523942.122
242,University of New South Wales,,,
243,University of Alberta,520180.678938,43845.2752462,2047746015.55
244,Aarhus University,18619.2357143,40.5217727024,92916.4248066
245,University of Zurich,39210.7904762,1739.29921754,31524943.0101
246,Max Planck Institute,94108.2266106,326.621811774,8574978.07018
247,TU Darmstadt,71692.5166667,777.755662951,17565012.4944
248,University of Athens,43919.7456583,610.232990156,11229964.1777
249,Stevens Institute of Technology,14853.775,426.74097823,1948420.55484
250,University of Calgary,47045.7333333,211.919884915,2673882.90763
251,University of Massachusetts Lowell,22674.8333333,313.275211581,3029645.73887
252,Rutgers University,139526.978105,5394.28774505,82967451.9059
253,Ecole Normale Superieure de Lyon,23600.15,7.98886429818,28104.824601
254,Colorado State University,34823.2111111,654.881414847,8878136.22679
255,IIT Delhi,44092.1333333,5779.08346001,209570980.614
256,BITS Pilani,2277.33333333,0.0,0.0
257,University of Auckland,39225.7222222,478.591568807,2620292.63704
258,National University of Singapore,209636.055182,7196.45164179,139038273.31
259,University of Canterbury,8991.66666667,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,64817.6583333,559.182171967,10737708.5151
262,George Mason University,105993.938889,2092.15024078,54211023.2694
263,University of Luxembourg,74248.5,863.63943984,50075699.4996
264,Hebrew University of Jerusalem,247528.536111,15118.5467546,1573948971.97
265,Simon Fraser University,189583.533333,12961.455068,884572139.218
266,Indiana University,98797.5896825,5769.25173976,205285938.799
267,University of Toronto,338107.460684,32425.0803078,2947723650.93
268,University at Buffalo,87367.7692308,753.884821872,12739387.5317
269,TU Munich,228242.75,2778.43135698,96097353.5943
270,University of Waikato,29695.75,163.804910529,1906074.29895
