,Name,Natural language processing pscore 5 years,Natural language processing year 5 years,Natural language processing year combined 5 years
91,Brandeis University,25301.95,3442.22395361,84067039.1709
92,North Dakota State University Main Campus,4464.25,14.6721637686,26113.4094814
93,City University of New York Grad. Center,411.0,0.0,0.0
94,State University of New York at Binghamton,1765.25,0.0,0.0
95,University of North Carolina at Charlotte,7255.65833333,4.74074146767,16290.8994313
96,Case Western Reserve University,12109.575,24.3550568763,120581.886595
97,University of New Mexico Main Campus,2258.7,0.0,0.0
98,Syracuse University Main Campus,14709.0833333,19.4673650253,28169.2771917
99,New Mexico State University Main Campus,140.0,0.0,0.0
100,New Jersey Institute of Technology,24.0,0.0,0.0
101,University of South Carolina Columbia,5024.6047619,0.0,0.0
102,College of William and Mary,3124.83333333,0.0,0.0
103,Florida International University,14299.3583333,28.7982038084,672322.86611
104,George Washington University,21510.6,4040.55049054,164490188.937
105,Old Dominion University,5679.91666667,21.4191104019,142694.113497
106,Texas Tech University,4740.66666667,1.8292058434,1651.21684337
107,University of Kansas,10333.7361111,15.3643402252,40976.6953807
108,University of Arkansas Main Campus,1954.53333333,3.27602720388,6031.16608234
109,University of Alabama,4326.73333333,4.53384582063,16253.837267
110,Mississippi State University,5016.98809524,4.5777200202,3566.04389574
111,University of Houston,7251.88333333,0.0,0.0
112,University of North Texas,6396.91666667,8.43939452381,15647.5787616
113,Clemson University,2152.83333333,0.0,0.0
114,State University of New York at Albany,14399.4595238,1043.5497188,23630757.0295
115,Brigham Young University,11784.625,330.708241045,4583455.40336
116,Kansas State University,2108.03333333,0.0,0.0
117,University of Alabama In Huntsville,937.183333333,0.50776730935,100.755620029
118,University of Memphis,6883.93333333,47.0224791724,508971.314562
119,Temple University,15675.5,1592.81379782,25502398.3738
120,University of Louisiana at Lafayette,4362.66666667,0.0,0.0
121,University of Alabama at Birmingham,5330.5,314.043261751,3374708.89078
122,Oregon Health and Science University,35845.4,4711.09499427,203491901.559
123,Western Michigan University,836.5,0.0,0.0
124,Southern Methodist University,3138.66666667,0.0,0.0
125,University of Southern Mississippi,2947.33333333,0.0,0.0
126,Universidade de Brasília,723.333333333,0.0,0.0
127,Universidade Federal de Uberlândia,520.833333333,0.0,0.0
128,USP - São Carlos,7926.45,44.6297599595,154504.480819
129,Universidade de São Paulo,2459.16666667,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,406.166666667,0.0,0.0
131,Universidade de Fortaleza,1359.33333333,96.7520914692,352177.612948
132,Universidade Federal de Campina Grande,903.75,0.0,0.0
133,Universidade Federal da Bahia,154.833333333,0.0,0.0
134,Universidade Federal do Amazonas,2316.75,3.21476547604,15739.4917707
135,Universidade Federal de Minas Gerais,8015.88333333,4.28795736822,20634.1006443
136,Universidade Federal do Espírito Santo,606.75,0.0,0.0
137,Universidade Federal de Pernambuco,6378.38333333,43.4778768157,190650.489837
138,Universidade Federal de Mato Grosso do Sul,94.25,0.0,0.0
139,Universidade Federal de São Carlos,2065.96666667,3.44923604534,7098.5277813
140,Universidade Federal de Santa Catarina,738.083333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,854.1,0.0,0.0
142,Universidade Federal do Rio de Janeiro,2052.58333333,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,4660.08333333,48.066189075,261633.111704
144,Pontifícia Universidade Católica do Rio de Janeiro,3284.23333333,17.0650174466,47466.9851368
145,Pontifícia Universidade Católica do Paraná,1659.16666667,0.0,0.0
146,Universidade Estadual de Campinas,5311.25,0.0,0.0
147,Universidade Federal do Ceará,671.466666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,9448.75,484.657193334,4632353.45389
149,Universidade Federal do Paraná,1666.83333333,0.0,0.0
150,Universidade Federal Fluminense,1968.28333333,0.0,0.0
151,Imperial College London,19951.5416667,0.0,0.0
152,University of Oxford,44477.4166667,4285.36783631,116117304.56
153,University of Cambridge,46713.6166667,8641.41108546,266597332.781
154,ETH Zurich,22446.5833333,44.7814514443,336129.574541
155,École Polytechnique ParisTech,2336.11666667,0.0,0.0
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
