,Name,Distributed computing pscore 5 years,Distributed computing year 5 years,Distributed computing year combined 5 years
109,University of Alabama,53919.15,201.43107825,15822178.557
110,Mississippi State University,10563.1666667,6.9514372272,13798.602896
111,University of Houston,24648.6666667,48.6167161214,592415.363499
112,University of North Texas,17251.0,24.3922432472,383817.171053
113,Clemson University,20421.4666667,84.685707633,2542503.86197
114,State University of New York at Albany,5902.71190476,7.20806436299,96191.6189241
115,Brigham Young University,12918.625,0.0,0.0
116,Kansas State University,7669.73333333,124.886958069,1138194.91195
117,University of Alabama In Huntsville,2654.65,0.0,0.0
118,University of Memphis,18139.2214286,72.8296937108,1293970.28822
119,Temple University,29580.0833333,0.0,0.0
120,University of Louisiana at Lafayette,40808.3333333,950.470172364,44175518.2078
121,University of Alabama at Birmingham,5707.33333333,8.4481981982,48551.795045
122,Oregon Health and Science University,1802.6,0.0,0.0
123,Western Michigan University,12304.0,16.5378493543,131187.870286
124,Southern Methodist University,14139.0,3.53299637275,4236.06265093
125,University of Southern Mississippi,7084.5,0.0,0.0
126,Universidade de Brasília,5700.16666667,17.2858796296,313358.425926
127,Universidade Federal de Uberlândia,3034.58333333,0.0,0.0
128,USP - São Carlos,18280.0833333,9.27432411577,46343.7976065
129,Universidade de São Paulo,6501.91666667,18.8977368611,64879.860324
130,Universidade do Vale do Rio dos Sinos,1314.16666667,0.0,0.0
131,Universidade de Fortaleza,2121.70833333,0.0,0.0
132,Universidade Federal de Campina Grande,5758.16666667,30.1934336534,140754.34732
133,Universidade Federal da Bahia,2486.20833333,0.0,0.0
134,Universidade Federal do Amazonas,5216.83333333,0.0,0.0
135,Universidade Federal de Minas Gerais,22296.0666667,1.9674233725,20502.5189648
136,Universidade Federal do Espírito Santo,7662.41666667,0.0,0.0
137,Universidade Federal de Pernambuco,18241.425,1.97872987608,3019.54179091
138,Universidade Federal de Mato Grosso do Sul,1777.41666667,22.46818152,68478.7760175
139,Universidade Federal de São Carlos,9335.125,36.1858018638,524042.782591
140,Universidade Federal de Santa Catarina,8092.75,21.5249455534,126345.04452
141,Universidade Federal do Rio Grande de Norte,4912.13333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,18761.25,11.0018789198,63556.9478478
143,Pontifícia Universidade Católica do Rio Grande do Sul,4969.25,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,8009.45833333,5.47640856184,11680.0668309
145,Pontifícia Universidade Católica do Paraná,5622.75,0.0,0.0
146,Universidade Estadual de Campinas,42012.7083333,43.2837924216,158831.42228
147,Universidade Federal do Ceará,4225.81666667,7.38513391363,17768.6321962
148,Universidade Federal do Rio Grande do Sul,19091.3666667,7.48731884058,19669.1865942
149,Universidade Federal do Paraná,6499.23333333,11.6676937384,72923.085865
150,Universidade Federal Fluminense,8247.78333333,0.0,0.0
151,Imperial College London,58569.1916667,117.321118,4386461.79471
152,University of Oxford,27046.5833333,1.39065217155,7547.06933502
153,University of Cambridge,45440.4214286,33.1731107254,702375.368282
154,ETH Zurich,50121.8083333,106.270238511,1966071.56635
155,École Polytechnique ParisTech,16694.7,0.0,0.0
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
