,Name,Bioinformatics pscore norm,Bioinformatics year norm,Bioinformatics year combined norm
85,Illinois Institute of Technology,8.13807727481,0.00309857426588,2.96223699818
86,Auburn University,2.84579332419,0.0,0.0
87,Wayne State University,33.3870154448,2.59543777367,61873.2081334
88,University of Oregon,11.1498606484,0.0324511057951,78.8142090818
89,Wright State University Main Campus,10.4733158055,0.0405422489072,153.112854806
90,University of Illinois at Chicago,24.4452960924,0.164408072598,1406.89990183
91,Brandeis University,5.6114845298,0.106339524623,600.07393745
92,North Dakota State University Main Campus,8.81237616217,0.0680118208471,310.031163823
93,City University of New York Grad. Center,0.453894223442,0.0,0.0
94,State University of New York at Binghamton,2.4177335772,0.00280528812745,8.88434749962
95,University of North Carolina at Charlotte,18.3986589085,0.461855095364,3118.50961302
96,Case Western Reserve University,40.3379711281,0.724410816661,19579.1506947
97,University of New Mexico Main Campus,2.80810089925,0.0195206696226,123.663442059
98,Syracuse University Main Campus,14.9977366255,0.0233266709464,53.2277712741
99,New Mexico State University Main Campus,0.159350708733,0.0,0.0
100,New Jersey Institute of Technology,0.0713305898491,0.0,0.0
101,University of South Carolina Columbia,23.4161408322,1.26020231399,10906.846485
102,College of William and Mary,4.03166873517,0.00316010795786,3.81425030514
103,Florida International University,17.7127076665,0.060037783149,627.013616085
104,George Washington University,6.70847431794,0.0,0.0
105,Old Dominion University,10.7004191434,0.0682255764813,404.143647407
106,Texas Tech University,5.01545877153,0.012324496545,112.300812518
107,University of Kansas,27.3586953208,1.00609850278,17992.8413414
108,University of Arkansas Main Campus,1.51719250114,0.0,0.0
109,University of Alabama,5.12770156988,0.0,0.0
110,Mississippi State University,11.6837600975,0.0422704361525,377.644076587
111,University of Houston,13.1218945283,0.213053035005,1515.71836644
112,University of North Texas,8.11332876086,0.0355047799436,137.159319
113,Clemson University,20.1496951684,0.79694134643,12908.8421135
114,State University of New York at Albany,4.86945587563,0.0,0.0
115,Brigham Young University,13.2218983387,0.184020677829,1980.8126962
116,Kansas State University,3.66653711324,0.0491824802368,227.764065977
117,University of Alabama In Huntsville,1.40889346136,0.0,0.0
118,University of Memphis,9.28082355332,0.219822554228,2227.17405833
119,Temple University,18.8488187776,0.429394008721,8972.97636741
120,University of Louisiana at Lafayette,7.61130163085,0.032091558611,91.8116041869
121,University of Alabama at Birmingham,4.58417162018,0.0,0.0
122,Oregon Health and Science University,4.05249635291,0.0,0.0
123,Western Michigan University,1.4662780064,0.0,0.0
124,Southern Methodist University,4.61301630849,0.0436950699219,177.930179828
125,University of Southern Mississippi,7.12597165066,0.180364865557,1951.23497904
126,Universidade de Brasília,2.91586648377,0.0889752732826,198.733587302
127,Universidade Federal de Uberlândia,1.31649138851,0.0,0.0
128,USP - São Carlos,11.3017244758,0.0222641069038,50.7844278476
129,Universidade de São Paulo,13.4856576741,0.244521489351,1232.55103939
130,Universidade do Vale do Rio dos Sinos,0.770080780369,0.0,0.0
131,Universidade de Fortaleza,0.794333942996,0.0,0.0
132,Universidade Federal de Campina Grande,1.43392013413,0.0,0.0
133,Universidade Federal da Bahia,0.230289916607,0.0,0.0
134,Universidade Federal do Amazonas,1.13147386069,0.0,0.0
135,Universidade Federal de Minas Gerais,8.27860082305,0.0434293879291,155.238986244
136,Universidade Federal do Espírito Santo,2.0257963725,0.0,0.0
137,Universidade Federal de Pernambuco,18.0597431794,0.986457557678,25209.2059213
138,Universidade Federal de Mato Grosso do Sul,0.787593354672,0.0,0.0
139,Universidade Federal de São Carlos,3.00206251225,0.0,0.0
140,Universidade Federal de Santa Catarina,3.1088629782,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4.319768328,0.0169654052698,41.0699257884
142,Universidade Federal do Rio de Janeiro,14.6806061794,0.165028838437,2011.72437049
143,Pontifícia Universidade Católica do Rio Grande do Sul,2.32712238988,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,5.07904663923,0.107699320187,593.423254231
145,Pontifícia Universidade Católica do Paraná,2.18049839963,0.0,0.0
146,Universidade Estadual de Campinas,9.96266194178,0.0853205781939,424.981799984
147,Universidade Federal do Ceará,1.09637250419,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,6.15510211858,0.00155309152533,0.946163310934
149,Universidade Federal do Paraná,2.08520042676,0.0,0.0
150,Universidade Federal Fluminense,2.62793019357,0.0,0.0
151,Imperial College London,24.9727949957,0.0391020870211,266.402648694
152,University of Oxford,29.936747447,0.0864821824958,518.248380126
153,University of Cambridge,24.0837753391,0.631318234012,20148.8469753
154,ETH Zurich,50.4335503316,2.22900015442,52804.1380566
155,École Polytechnique ParisTech,9.24058070416,0.0550405738625,295.965941518
156,University of Texas at Arlington,31.7986576524,0.899936362285,12145.2989717
157,Ecole Normale Superieure,21.5562287253,0.20401594063,3074.01693547
158,IIIT Bangalore,5.08257125438,0.0519041794594,356.426000348
159,Nanyang Technological University,61.6724813291,1.12800995563,25054.6839421
160,University of Waterloo,48.6477455025,1.09261714091,28767.4878098
161,Western University,20.5367931718,0.518941637519,8472.89522832
162,University of Nebraska,9.2808884455,0.0,0.0
163,Victoria University of Wellington,10.4303459838,0.0252226922259,186.244359396
164,University of Queensland,14.7961591221,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1.68884316415,0.00390469298361,10.5700039066
167,University of Pittsburgh,8.87760249962,0.0336399043266,165.306489861
168,University of Michigan,33.1024569953,0.155609664761,3131.75527072
169,IIT Madras,8.40466827792,0.00964929641996,24.9637228606
170,City University of New York,,,
171,University of British Columbia,27.4478708005,0.238962489832,1871.24396478
172,Queen’s University,13.1676551919,0.0521463729525,206.134612281
173,Virginia Commonwealth University,9.03473991334,0.053804637274,300.803447412
174,Polytechnic University of Catalonia,7.15200426764,0.0210030661908,48.6431012979
175,Emory University,15.2038866027,1.46601689069,30820.1339202
176,Ecole Normale Superieure de Cachan,6.33792609095,0.0,0.0
177,Georgetown University,4.14473403445,0.0,0.0
178,Binghamton University,4.09546563024,0.0,0.0
179,University of Otago,2.78964334705,0.00886049867555,26.3511230611
180,VU Amsterdam,30.901592745,2.16495338739,64280.4920381
181,McMaster University,3.49112178022,0.0,0.0
182,Monash University,32.3713229691,1.70935134922,37313.0107317
183,Tel Aviv University,74.4324612973,4.58224111403,160082.169444
184,Boise State University,1.71248285322,0.0,0.0
185,Drexel University,3.63972983147,0.0600883580756,147.490365828
186,Boston College,1.9780521262,0.00307957929148,10.6522647692
187,University of Bristol,15.2094573998,0.935844321325,21961.3266494
188,University of Kent,6.92633451749,0.0395415404479,341.426380873
189,Politecnico di Milano,20.7035163839,0.062905576023,1016.55410853
190,Australian National University,30.8921162932,0.016122981096,68.3648686714
191,Toyota Technological Institute at Chicago,9.54964944368,0.771979587635,19628.6829222
192,Technion-Israel Institute of Technology,49.7047836784,1.2634031678,22017.6162746
193,TU Delft,38.7904435299,1.32623922671,36959.7856378
194,University of Minnesota,30.8281604503,0.802876632131,14630.9306509
195,New Mexico State University,4.11530254534,0.101587128054,279.567776404
196,Pennsylvania State University,44.8342707894,2.11538232142,73503.4012209
197,TU Dresden,7.51601127877,0.0,0.0
198,University of Salerno,17.3484224966,0.0376963822164,210.908865206
199,Washington University in St. Louis,26.0275262917,0.871816688432,9933.82450978
200,McGill University,28.9694446119,2.27755344493,46183.9960113
201,Naval Postgraduate School,1.84236396891,0.0,0.0
202,University of Edinburgh,45.3322130773,2.33571915044,63907.2430837
203,RWTH Aachen,14.2637631459,0.0,0.0
204,University of Bath,2.73916323731,0.0,0.0
205,IIT Kharagpur,7.93800487731,0.00330621682161,5.68008049952
206,University of Melbourne,39.0775186709,0.981468181521,11213.7678444
207,IMDEA Software Institute,2.24719261839,0.0234330112695,54.1536890439
208,University of Sydney,22.732610447,0.304953574599,1965.45112867
209,University of North Carolina,13.0851331845,0.28372874901,1596.8179376
210,IIIT Delhi,1.88907305797,0.0,0.0
211,University of Nevada,2.20984606005,0.0,0.0
212,Concordia University,11.4785779607,0.0542303720192,123.375791555
213,IISc Bangalore,9.24460448102,0.00789513755492,46.6997386374
214,Rochester Institute of Technology,6.96125372874,0.00464324578125,23.9405752481
215,DIKU,6.83420972413,0.0112297645152,23.7065400178
216,Chulalongkorn Uniersity,0.0166895290352,0.0,0.0
217,Worcester Polytechnic Institute,11.1161332114,0.596451349342,6574.8518387
218,IST Austria,5.65345375462,0.00406252113311,17.1235265761
219,University College London,59.3196387746,3.27869402597,80310.7686484
220,Columbia University,38.04362902,0.887569227601,14358.576861
221,Massey University,1.31587275449,0.0,0.0
222,University of Miami,7.91624752324,0.335363427613,2474.50604201
223,IIT Roorkee,3.05018289895,0.0238994971071,112.996822323
224,University of Tartu,8.16369455876,0.418848165855,5499.51602016
225,University of Victoria,6.55252717105,0.0117153378549,49.5441637883
226,Carleton University,15.1052659656,0.00746597905931,22.8544231873
227,Athens University of Economics and Business,6.45301783265,0.0019502833108,1.09410893736
228,Texas A&M University,24.8289607478,0.423853475,3730.63253796
229,EPFL,36.6502941796,0.97773782241,25400.6930753
230,Bar-Ilan University,14.357548392,0.0379467970012,221.925146199
231,University of Maryland-College Park,42.3290245601,1.1185758814,27546.5900074
232,IIT Kanpur,5.33408017071,0.0,0.0
233,University of Adelaide,10.7258649596,0.0270886465154,112.580414918
234,University of Warsaw,18.6116979119,0.416495989351,3052.49262743
235,Stony Brook University,25.3047858558,0.322314744724,3232.52647707
236,University of Notre Dame,27.7338363054,0.516556754671,5131.11125429
237,University of Western Australia,6.89940557842,0.0214008192148,119.836175656
238,IIT Hyderabad,1.10874866636,0.0,0.0
239,IIT Bombay,6.82303316388,0.0123256056799,29.1977840291
240,IIIT Hyderabad,8.36107300716,0.00892343591817,23.7184926705
241,University of Maryland-Baltimore County,13.2224346451,0.00174135621126,3.08742456256
242,University of New South Wales,,,
243,University of Alberta,65.289452618,1.24353451348,56947.9550413
244,Aarhus University,19.0324906917,1.40897354552,39232.0908747
245,University of Zurich,2.74408517865,0.0,0.0
246,Max Planck Institute,114.045900575,11.2456616779,1007958.48049
247,TU Darmstadt,8.23751714678,0.0,0.0
248,University of Athens,13.2643124022,0.0,0.0
249,Stevens Institute of Technology,3.34912170401,0.00936409691258,23.3903804312
250,University of Calgary,12.5882754153,0.0785403897602,1024.52293014
251,University of Massachusetts Lowell,2.94587715287,0.00268469527729,3.58943758573
252,Rutgers University,32.9907948014,1.22381588227,33255.2968137
253,Ecole Normale Superieure de Lyon,13.6582456943,0.00123426904674,0.998523658816
254,Colorado State University,7.96338718691,0.190549171132,2346.99414084
255,IIT Delhi,4.78446121018,0.0,0.0
256,BITS Pilani,1.70614235635,0.0,0.0
257,University of Auckland,13.8553396332,0.357764924662,2771.6035169
258,National University of Singapore,95.4723766873,4.40802780575,244946.68895
259,University of Canterbury,2.2853223594,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,24.7425316263,1.41282366847,17016.1609894
262,George Mason University,25.7954483927,1.04920631037,11163.6446622
263,University of Luxembourg,10.2852232891,0.0,0.0
264,Hebrew University of Jerusalem,39.1743103185,0.993193548442,19723.9218135
265,Simon Fraser University,29.6238773191,0.134150417246,1677.08823692
266,Indiana University,54.7243923328,5.00801974108,146524.873353
267,University of Toronto,36.4918797734,2.89790873383,107340.411348
268,University at Buffalo,40.6316324317,0.775794098156,16939.9833026
269,TU Munich,53.4526367932,4.05190354364,312349.088468
270,University of Waikato,4.20816186557,0.00534725243346,20.2564665706
