,Name,Theoretical computer science pscore 5 years,Theoretical computer science year 5 years,Theoretical computer science year combined 5 years
111,University of Houston,5668.43333333,34.4669791958,327934.344243
112,University of North Texas,5138.75,16.2357066662,140275.214307
113,Clemson University,6683.83333333,34.4800624841,376329.318995
114,State University of New York at Albany,21760.3333333,856.100514367,35670022.3484
115,Brigham Young University,3080.16666667,0.0,0.0
116,Kansas State University,2786.53333333,2.26083965909,8245.28223672
117,University of Alabama In Huntsville,1118.75,2.95819587119,25981.8343367
118,University of Memphis,1696.61904762,2.21300782746,13999.4875165
119,Temple University,15537.1666667,1471.26610535,89898772.8354
120,University of Louisiana at Lafayette,4599.83333333,4.42341882727,31994.6255477
121,University of Alabama at Birmingham,1739.0,1.09049587037,1598.66694596
122,Oregon Health and Science University,926.466666667,0.0,0.0
123,Western Michigan University,215.75,0.0,0.0
124,Southern Methodist University,3095.66666667,2.22702698682,15604.7780966
125,University of Southern Mississippi,2058.0,2.41517157705,10310.3674624
126,Universidade de Brasília,589.333333333,0.0,0.0
127,Universidade Federal de Uberlândia,209.083333333,0.0,0.0
128,USP - São Carlos,1689.65238095,0.0,0.0
129,Universidade de São Paulo,8575.91666667,48.4092809306,600004.019228
130,Universidade do Vale do Rio dos Sinos,64.0,0.0,0.0
131,Universidade de Fortaleza,128.166666667,0.0,0.0
132,Universidade Federal de Campina Grande,190.75,0.0,0.0
133,Universidade Federal da Bahia,182.842857143,0.0,0.0
134,Universidade Federal do Amazonas,380.183333333,0.0,0.0
135,Universidade Federal de Minas Gerais,2451.73333333,0.0,0.0
136,Universidade Federal do Espírito Santo,521.75,0.0,0.0
137,Universidade Federal de Pernambuco,2137.48333333,1.88164639063,2641.83153244
138,Universidade Federal de Mato Grosso do Sul,1341.5,0.0,0.0
139,Universidade Federal de São Carlos,376.992857143,0.0,0.0
140,Universidade Federal de Santa Catarina,1004.08333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,492.15,0.0,0.0
142,Universidade Federal do Rio de Janeiro,7498.14285714,6.89981671173,91984.049293
143,Pontifícia Universidade Católica do Rio Grande do Sul,718.916666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,5441.58333333,56.0490873059,966069.015778
145,Pontifícia Universidade Católica do Paraná,221.166666667,0.0,0.0
146,Universidade Estadual de Campinas,8718.91666667,35.8718997335,217463.50463
147,Universidade Federal do Ceará,847.733333333,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,2460.53333333,0.0,0.0
149,Universidade Federal do Paraná,475.75,0.0,0.0
150,Universidade Federal Fluminense,1581.58333333,0.0,0.0
151,Imperial College London,22303.2380952,868.477365582,14927388.9596
152,University of Oxford,85316.0,4719.77370059,225173802.013
153,University of Cambridge,20922.4166667,162.653440299,4295782.85432
154,ETH Zurich,91368.3833333,2003.94496804,82378327.797
155,École Polytechnique ParisTech,39408.3666667,1691.03023788,65754055.7236
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
