,Name,Programming language pscore 5 years,Programming language year 5 years,Programming language year combined 5 years
103,Florida International University,6221.25833333,48.6276276763,231879.163633
104,George Washington University,3185.38333333,0.0,0.0
105,Old Dominion University,4285.75,0.0,0.0
106,Texas Tech University,2301.66666667,7.68691362012,7932.89485596
107,University of Kansas,4534.24166667,13.8648881368,33607.913885
108,University of Arkansas Main Campus,974.2,0.0,0.0
109,University of Alabama,5375.58333333,0.0,0.0
110,Mississippi State University,2245.71428571,1.35704658894,2502.39391
111,University of Houston,5575.56666667,45.9936189431,146426.872539
112,University of North Texas,3784.16666667,14.94351308,54432.5128327
113,Clemson University,5164.61666667,0.0,0.0
114,State University of New York at Albany,2196.22619048,10.8836483064,75621.0469975
115,Brigham Young University,3286.45833333,0.0,0.0
116,Kansas State University,4944.28333333,22.1166656123,98695.3730316
117,University of Alabama In Huntsville,554.083333333,0.0,0.0
118,University of Memphis,1043.68571429,0.0,0.0
119,Temple University,1792.75,0.0,0.0
120,University of Louisiana at Lafayette,3740.83333333,29.1849684448,99141.337807
121,University of Alabama at Birmingham,1176.66666667,0.0,0.0
122,Oregon Health and Science University,300.366666667,0.0,0.0
123,Western Michigan University,622.75,0.0,0.0
124,Southern Methodist University,1872.66666667,0.0,0.0
125,University of Southern Mississippi,634.166666667,0.0,0.0
126,Universidade de Brasília,1390.66666667,0.0,0.0
127,Universidade Federal de Uberlândia,338.5,0.0,0.0
128,USP - São Carlos,2887.97738095,0.0,0.0
129,Universidade de São Paulo,1918.5,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,325.5,0.0,0.0
131,Universidade de Fortaleza,374.229166667,0.0,0.0
132,Universidade Federal de Campina Grande,1996.33333333,0.0,0.0
133,Universidade Federal da Bahia,690.738690476,0.0,0.0
134,Universidade Federal do Amazonas,528.3,0.0,0.0
135,Universidade Federal de Minas Gerais,2875.68333333,1.45993936787,4433.83586024
136,Universidade Federal do Espírito Santo,2050.5,11.2509011742,121172.205646
137,Universidade Federal de Pernambuco,6216.50416667,18.1510771758,79619.1933046
138,Universidade Federal de Mato Grosso do Sul,261.833333333,0.0,0.0
139,Universidade Federal de São Carlos,928.455357143,0.0,0.0
140,Universidade Federal de Santa Catarina,748.75,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1444.45,0.0,0.0
142,Universidade Federal do Rio de Janeiro,3103.47619048,0.583321358564,1140.97657735
143,Pontifícia Universidade Católica do Rio Grande do Sul,1618.41666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,6398.6875,14.1605199489,31688.2721129
145,Pontifícia Universidade Católica do Paraná,355.0,0.0,0.0
146,Universidade Estadual de Campinas,3557.0625,18.0284035066,29226.7686456
147,Universidade Federal do Ceará,596.583333333,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,4311.96666667,0.0,0.0
149,Universidade Federal do Paraná,735.5,0.0,0.0
150,Universidade Federal Fluminense,1772.58333333,0.0,0.0
151,Imperial College London,32427.3869048,712.776121887,4868872.69061
152,University of Oxford,30086.7333333,475.570579509,5050671.2224
153,University of Cambridge,15046.5785714,386.108563037,4282510.40142
154,ETH Zurich,34749.8083333,1104.70685206,17496188.6774
155,École Polytechnique ParisTech,11128.55,287.007060142,2302322.89907
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
