,Name,Natural language processing pscore,Natural language processing year,Natural language processing year combined
114,State University of New York at Albany,36130.9178571,2513.3407888,56615753.404
115,Brigham Young University,26600.7916667,759.663590003,10536370.2961
116,Kansas State University,5091.43333333,0.0,0.0
117,University of Alabama In Huntsville,1971.55,1.97429171963,382.874181299
118,University of Memphis,18227.6666667,123.845459295,1340503.25141
119,Temple University,32709.7666667,3184.19830701,50952353.9273
120,University of Louisiana at Lafayette,10328.8,0.0,0.0
121,University of Alabama at Birmingham,12688.1666667,734.462413062,7892533.09076
122,Oregon Health and Science University,86212.1904762,10788.6217597,458510872.276
123,Western Michigan University,966.5,0.0,0.0
124,Southern Methodist University,7566.66666667,0.0,0.0
125,University of Southern Mississippi,5713.33333333,0.0,0.0
126,Universidade de Brasília,1505.25,0.0,0.0
127,Universidade Federal de Uberlândia,1067.5,0.0,0.0
128,USP - São Carlos,18195.825,116.574919552,395724.696141
129,Universidade de São Paulo,6552.56666667,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,931.333333333,0.0,0.0
131,Universidade de Fortaleza,3067.39583333,225.148183812,819539.389074
132,Universidade Federal de Campina Grande,1794.75,0.0,0.0
133,Universidade Federal da Bahia,190.229166667,0.0,0.0
134,Universidade Federal do Amazonas,4708.43333333,6.47431369152,31698.2398337
135,Universidade Federal de Minas Gerais,16027.3,8.89912064817,42800.9607579
136,Universidade Federal do Espírito Santo,1518.33333333,0.0,0.0
137,Universidade Federal de Pernambuco,13274.4375,69.4509657763,304542.484929
138,Universidade Federal de Mato Grosso do Sul,191.516666667,0.0,0.0
139,Universidade Federal de São Carlos,4143.0625,6.4294130619,13231.7320814
140,Universidade Federal de Santa Catarina,1443.16666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1581.73333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,4663.65,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,10930.75,116.626292541,636670.321621
144,Pontifícia Universidade Católica do Rio de Janeiro,8076.2875,44.2350446078,123299.111031
145,Pontifícia Universidade Católica do Paraná,3887.08333333,0.0,0.0
146,Universidade Estadual de Campinas,9864.8125,0.0,0.0
147,Universidade Federal do Ceará,1119.2,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,21355.2583333,995.099208714,9511158.23689
149,Universidade Federal do Paraná,3758.96666667,0.0,0.0
150,Universidade Federal Fluminense,4624.23333333,0.0,0.0
151,Imperial College London,49582.8626068,0.0,0.0
152,University of Oxford,100941.9,7055.66035486,183474943.453
153,University of Cambridge,91331.925,16314.9502046,483648056.622
154,ETH Zurich,57053.158472,80.5504538263,604611.70642
155,École Polytechnique ParisTech,5508.66666667,0.0,0.0
156,University of Texas at Arlington,35806.6261905,0.0,0.0
157,Ecole Normale Superieure,22528.6388889,96.5333928259,1200296.2064
158,IIIT Bangalore,10273.6666667,0.0,0.0
159,Nanyang Technological University,92422.1,337.650056827,2488201.81989
160,University of Waterloo,125481.991026,1431.1591455,33741054.5611
161,Western University,14891.15,82.4977211713,219952.856993
162,University of Nebraska,12273.2602814,0.0,0.0
163,Victoria University of Wellington,45811.1666667,0.0,0.0
164,University of Queensland,25870.0166667,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1268.0,0.0,0.0
167,University of Pittsburgh,93025.6388889,10932.1863387,353609659.994
168,University of Michigan,169747.835181,5114.51841817,246998695.478
169,IIT Madras,33828.3833333,3013.17150329,34542338.0207
170,City University of New York,,,
171,University of British Columbia,57927.609197,1023.40519852,17444253.5394
172,Queen’s University,12044.9595238,11.5960225771,9543.52658093
173,Virginia Commonwealth University,5201.33333333,195.526913364,510911.82462
174,Polytechnic University of Catalonia,6753.71666667,0.0,0.0
175,Emory University,24797.2333333,1211.73915796,8641049.5872
176,Ecole Normale Superieure de Cachan,7498.80106516,22.555221758,37171.0054572
177,Georgetown University,17653.1333333,1453.47205374,13890804.1545
178,Binghamton University,10419.5666667,9.30909522945,61756.5377522
179,University of Otago,5703.58333333,48.2965008748,126778.314796
180,VU Amsterdam,54241.75,295.673124426,8241151.57865
181,McMaster University,6131.56666667,0.0,0.0
182,Monash University,45290.5,1931.75851593,24545867.6195
183,Tel Aviv University,40464.9380952,3715.22630917,56498539.1277
184,Boise State University,3411.1,0.0,0.0
185,Drexel University,15323.7995976,20.152173913,40908.9130435
186,Boston College,4401.66666667,0.0,0.0
187,University of Bristol,12276.4833333,40.0378961392,266131.895638
188,University of Kent,6489.19102564,0.0,0.0
189,Politecnico di Milano,29299.3742337,0.0,0.0
190,Australian National University,80990.775,568.214410036,5675325.52744
191,Toyota Technological Institute at Chicago,23315.4833333,1992.39883875,22085564.8237
192,Technion-Israel Institute of Technology,90274.6666667,939.702845803,17844923.9953
193,TU Delft,46060.7511905,7.64326330041,3240.74363937
194,University of Minnesota,50421.4619048,7.93391237604,15320.3847981
195,New Mexico State University,9882.16666667,0.0,0.0
196,Pennsylvania State University,46681.121645,101.144793672,2529429.00014
197,TU Dresden,22976.2166667,84.9642693696,362780.54306
198,University of Salerno,13215.1666667,0.0,0.0
199,Washington University in St. Louis,26681.8,517.680692678,4366636.64274
200,McGill University,33615.5017399,1595.64265102,14399538.8381
201,Naval Postgraduate School,5618.08333333,0.0,0.0
202,University of Edinburgh,352654.644841,43820.774046,1678708234.42
203,RWTH Aachen,167615.866667,6195.98933376,926963376.256
204,University of Bath,6705.13333333,0.0,0.0
205,IIT Kharagpur,28756.4166667,826.463102451,6245793.08626
206,University of Melbourne,128933.066667,20775.0446455,849955670.279
207,IMDEA Software Institute,1285.27435897,0.0,0.0
208,University of Sydney,52810.2380952,9528.03181991,447242835.562
209,University of North Carolina,23195.2990196,2849.35595039,38282486.8158
210,IIIT Delhi,3282.0,0.0,0.0
211,University of Nevada,3614.33333333,0.0,0.0
212,Concordia University,19379.6833333,259.960252586,1189689.21861
213,IISc Bangalore,22694.3166667,1054.03480468,15064265.4285
214,Rochester Institute of Technology,16371.3928571,132.694258386,358963.016941
215,DIKU,13592.3833333,92.223628668,332295.734121
216,Chulalongkorn Uniersity,15.0,0.0,0.0
217,Worcester Polytechnic Institute,26691.4055556,107.963561518,782544.298434
218,IST Austria,5698.24173669,0.0,0.0
219,University College London,76320.4,1847.99560239,25770504.2652
220,Columbia University,198447.571429,15251.0982309,888697838.884
221,Massey University,5827.66519592,0.0,0.0
222,University of Miami,5418.0,0.0,0.0
223,IIT Roorkee,2331.0,2.78145175676,1738.40734797
224,University of Tartu,7384.41666667,51.2525269818,124902.408255
225,University of Victoria,8813.98269231,75.99847944,205727.883844
226,Carleton University,17317.7833333,478.919110364,4514291.53429
227,Athens University of Economics and Business,22139.6166667,1008.70516971,8569959.12183
228,Texas A&M University,42823.5428571,695.210067837,4505499.12299
229,EPFL,64091.4065826,0.0,0.0
230,Bar-Ilan University,124952.208333,19591.5677555,977353318.655
231,University of Maryland-College Park,146973.435418,16010.7984109,658282771.021
232,IIT Kanpur,9370.33333333,21.3264651164,67306.3239075
233,University of Adelaide,17557.55,9.46499384917,14746.460417
234,University of Warsaw,8634.75,26.9173931099,26682.5768797
235,Stony Brook University,30753.0666667,77.1577073404,225314.097476
236,University of Notre Dame,57136.9333333,7671.39774105,276434974.134
237,University of Western Australia,8287.16666667,8.18287579432,33787.0941547
238,IIT Hyderabad,1381.63333333,0.0,0.0
239,IIT Bombay,28404.6518207,769.595857527,3562761.53334
240,IIIT Hyderabad,49915.0833333,1285.29326374,9030248.77548
241,University of Maryland-Baltimore County,50691.5402875,104.549620542,815445.450771
242,University of New South Wales,,,
243,University of Alberta,145579.458883,7828.36059178,231359083.275
244,Aarhus University,6826.78333333,0.0,0.0
245,University of Zurich,8490.97619048,0.0,0.0
246,Max Planck Institute,59355.8564573,426.753501995,13034230.9166
247,TU Darmstadt,75783.25,10590.88033,456850879.342
248,University of Athens,28410.1421716,0.0,0.0
249,Stevens Institute of Technology,5787.41666667,0.0,0.0
250,University of Calgary,15148.025,21.6138185818,98829.8780223
251,University of Massachusetts Lowell,9068.56666667,68.1668318698,162609.681808
252,Rutgers University,49814.8854575,1229.01130236,12267554.2773
253,Ecole Normale Superieure de Lyon,9403.35,0.0,0.0
254,Colorado State University,7948.66666667,0.0,0.0
255,IIT Delhi,21182.8333333,1106.04988845,18788391.3527
256,BITS Pilani,3611.33333333,114.007262865,303715.348271
257,University of Auckland,11109.2944444,0.0,0.0
258,National University of Singapore,168723.789916,16213.9467996,970027246.118
259,University of Canterbury,4038.75,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,68608.0916667,1905.01407624,30700954.3675
262,George Mason University,26461.1361111,0.0,0.0
263,University of Luxembourg,21334.75,0.0,0.0
264,Hebrew University of Jerusalem,92815.5388889,4889.57962015,179008541.164
265,Simon Fraser University,77471.3257576,6718.83259558,221359283.811
266,Indiana University,27962.5761905,3.72875230542,1241.67451771
267,University of Toronto,145466.111228,13036.8761916,419081297.267
268,University at Buffalo,48369.474359,645.389119502,9475776.79374
269,TU Munich,30595.4166667,4.13816604709,14582.8971499
270,University of Waikato,11973.1666667,26.2937683603,135988.740677
