,Name,Data mining pscore,Data mining year,Data mining year combined
0,Stanford University,357856.738724,6894.77804781,319780407.461
1,University of California-Berkeley,332808.174905,1134.0917459,43833853.2715
2,Massachusetts Institute of Technology,273870.925007,497.30111693,7401538.4611
3,Carnegie Mellon University,716384.056097,27671.8835269,3814422496.06
4,University of Illinois at Urbana-Champaign,503235.749522,26219.6773192,5957432053.25
5,Princeton University,63006.5630952,2.38158623246,3943.90680096
6,Cornell University,317508.160371,7498.65976719,255579497.455
7,University of California-Santa Barbara,188205.657726,5283.61145511,265019424.35
8,University of North Carolina at Chapel Hill,13006.3666667,28.8689495866,42697.1764386
9,University of California-Los Angeles,280439.732937,7192.69318595,242340023.142
10,University of Texas at Austin,222961.701984,5331.85484214,231658369.995
11,Georgia Institute of Technology,392019.132659,14036.9661664,488858370.697
12,Michigan State University,168889.319444,8426.79115554,330012931.012
13,University of Maryland College Park,39057.0607143,263.698126319,2132550.59348
14,University of California-San Diego,181218.639787,3273.14258548,72908516.2102
15,University of Michigan-Ann Arbor,26734.1730769,272.810778777,1368691.92457
16,University of Southern California,402846.112393,7935.06642611,196765525.241
17,University of Pennsylvania,165821.607957,1333.21968774,25317498.0428
18,University of Massachusetts Amherst,346472.749756,6000.12904548,197469282.502
19,University of Wisconsin-Madison,186860.729536,2122.46019807,47743724.3504
20,Harvard University,72493.6880952,307.999211431,1423866.18428
21,University of Rochester,100413.992002,1344.52349196,20749147.7275
22,University of Washington,278605.017168,2983.20616043,121596951.346
23,Purdue University Main Campus,270313.176055,8883.70404115,239567047.441
24,Duke University,123676.108917,841.196848075,10518459.095
25,New York University,149107.917857,928.029592018,18375678.6372
26,Tufts University,27815.65,285.010189596,2915302.58312
27,State University of New York at Stony Brook,29512.6333333,36.2787097202,153442.27457
28,Louisiana State University and Agricultural and Mechanical College,28021.3547619,67.6586745232,353994.294494
29,University of California-Riverside,207590.58962,15736.1868183,1014575524.58
30,Penn State University,598.0,0.0,0.0
31,University of Minnesota-Twin Cities,11925.7833333,122.827279293,1315101.98303
32,Brown University,107049.927318,382.71019259,3714732.81918
33,Rice University,59356.5688375,2309.35466596,30717445.3015
34,University of California-Irvine,276594.147698,6285.95631439,301222625.791
35,Ohio State University Main Campus,17496.8666667,125.006454367,1351194.76525
36,Yale University,64620.697648,260.611125159,4029088.91927
37,Arizona State University,297973.633092,16046.327884,910318401.899
38,University of Nebraska - Lincoln,8419.91666667,232.809304369,1646893.01911
39,Columbia University In The City of New York,7292.16666667,25.2497147245,168213.599495
40,University of Connecticut,62357.2166667,1651.06182491,27711401.766
41,University of California-Davis,109990.926449,8405.57684518,306855583.348
42,State University of New York at Buffalo,7356.5,81.8970325259,503247.612716
