,Name,Bioinformatics pscore 5 years,Bioinformatics year 5 years,Bioinformatics year combined 5 years
89,Wright State University Main Campus,12517.6,46.43920954,180035.060402
90,University of Illinois at Chicago,32843.7857143,158.669959486,1423243.20505
91,Brandeis University,6266.78333333,134.23089439,757464.937045
92,North Dakota State University Main Campus,12218.8833333,84.0726201409,319929.219605
93,City University of New York Grad. Center,1112.0,0.0,0.0
94,State University of New York at Binghamton,5401.75,5.47424232272,17336.9254361
95,University of North Carolina at Charlotte,21310.9083333,357.920876323,2335140.52408
96,Case Western Reserve University,51739.4,790.821314745,23000270.7296
97,University of New Mexico Main Campus,3005.31666667,21.4022679152,135583.367243
98,Syracuse University Main Campus,25835.8,27.1481495355,63243.1085783
99,New Mexico State University Main Campus,175.0,0.0,0.0
100,New Jersey Institute of Technology,51.0,0.0,0.0
101,University of South Carolina Columbia,27936.3190476,1293.50468661,11465388.0057
102,College of William and Mary,8644.63333333,7.57126208445,9138.51333593
103,Florida International University,27127.325,75.0063774059,879996.50682
104,George Washington University,10840.2666667,0.0,0.0
105,Old Dominion University,14854.6666667,103.143164009,592703.554369
106,Texas Tech University,7779.0,16.695890949,152132.958327
107,University of Kansas,40035.7777778,1315.20695912,22228365.2728
108,University of Arkansas Main Campus,2082.66666667,0.0,0.0
109,University of Alabama,12010.4833333,0.0,0.0
110,Mississippi State University,12369.047619,40.1657353157,358840.679311
111,University of Houston,16096.3166667,175.688376681,1236893.14665
112,University of North Texas,12372.5,47.1377365271,190108.056079
113,Clemson University,19821.9166667,793.678740079,12525479.115
114,State University of New York at Albany,4037.35238095,0.0,0.0
115,Brigham Young University,15968.625,169.590961319,1819547.79579
116,Kansas State University,5196.33333333,84.6700667762,392107.079241
117,University of Alabama In Huntsville,2397.11666667,0.0,0.0
118,University of Memphis,12152.1857143,215.040718906,2144266.54288
119,Temple University,26976.6666667,559.822241316,11622196.7484
120,University of Louisiana at Lafayette,12297.6666667,44.0556070549,137642.232631
121,University of Alabama at Birmingham,4723.66666667,0.0,0.0
122,Oregon Health and Science University,4592.43333333,0.0,0.0
123,Western Michigan University,2926.25,0.0,0.0
124,Southern Methodist University,6433.33333333,52.9472496113,216393.771457
125,University of Southern Mississippi,10589.5,226.296625818,2399916.16232
126,Universidade de Brasília,5155.58333333,177.639235141,396535.727124
127,Universidade Federal de Uberlândia,2535.58333333,0.0,0.0
128,USP - São Carlos,17838.8857143,18.7068640163,42670.3568211
129,Universidade de São Paulo,12816.75,227.238615305,1136147.24715
130,Universidade do Vale do Rio dos Sinos,1264.33333333,0.0,0.0
131,Universidade de Fortaleza,1500.79166667,0.0,0.0
132,Universidade Federal de Campina Grande,2108.68333333,0.0,0.0
133,Universidade Federal da Bahia,366.301190476,0.0,0.0
134,Universidade Federal do Amazonas,1935.3,0.0,0.0
135,Universidade Federal de Minas Gerais,11378.9833333,38.5868613662,139609.541155
136,Universidade Federal do Espírito Santo,2807.16666667,0.0,0.0
137,Universidade Federal de Pernambuco,24601.475,1038.1052092,26625075.763
138,Universidade Federal de Mato Grosso do Sul,891.833333333,0.0,0.0
139,Universidade Federal de São Carlos,5747.85119048,0.0,0.0
140,Universidade Federal de Santa Catarina,3353.91666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,5139.2,14.096082891,34124.2531359
142,Universidade Federal do Rio de Janeiro,14800.5595238,134.515914637,1636557.32378
143,Pontifícia Universidade Católica do Rio Grande do Sul,3517.91666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,6842.04166667,147.94061057,815152.764241
145,Pontifícia Universidade Católica do Paraná,3731.41666667,0.0,0.0
146,Universidade Estadual de Campinas,16500.075,93.2196120794,464326.887767
147,Universidade Federal do Ceará,1382.15,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,11030.6666667,2.5940887359,1606.95410173
149,Universidade Federal do Paraná,3741.91666667,0.0,0.0
150,Universidade Federal Fluminense,3932.35,0.0,0.0
151,Imperial College London,40054.4964286,41.1057664998,277547.406785
152,University of Oxford,32433.8166667,88.3276080396,530367.923083
153,University of Cambridge,25370.7619048,530.716416578,16936996.369
154,ETH Zurich,54356.9,1948.6063372,45900369.2814
155,École Polytechnique ParisTech,10181.8333333,51.4775264092,269722.856836
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
