,Name,Algorithm pscore norm,Algorithm year norm,Algorithm year combined norm
101,University of South Carolina Columbia,11.2252652838,0.0248099223394,107.85958853
102,College of William and Mary,10.1958718423,0.0697714079356,311.59910784
103,Florida International University,17.7025005135,0.513146643879,10571.2558213
104,George Washington University,13.107958513,0.0172206620755,95.4569685895
105,Old Dominion University,26.8087492298,0.105683950933,1622.97137611
106,Texas Tech University,3.36272848634,0.0,0.0
107,University of Kansas,55.4598257685,2.03654123103,192626.252337
108,University of Arkansas Main Campus,1.74501951119,0.0,0.0
109,University of Alabama,4.8382214007,0.0421368590045,105.287359401
110,Mississippi State University,3.36774491682,0.0,0.0
111,University of Houston,24.0807866092,0.0306086024019,254.208084648
112,University of North Texas,16.2974635449,0.305206601391,3421.00071581
113,Clemson University,30.1681248716,0.489550052481,4330.15957384
114,State University of New York at Albany,56.6161099375,0.345481354123,10253.931821
115,Brigham Young University,6.57406551653,0.0,0.0
116,Kansas State University,10.5268124872,0.0,0.0
117,University of Alabama In Huntsville,5.96457178065,0.0,0.0
118,University of Memphis,6.68373040323,0.00789254881591,5.61160220811
119,Temple University,24.2130724995,0.171634938244,4990.16830169
120,University of Louisiana at Lafayette,13.8451530088,0.0158179871875,106.153936116
121,University of Alabama at Birmingham,3.853974122,0.0,0.0
122,Oregon Health and Science University,1.14895989203,0.0,0.0
123,Western Michigan University,1.30360443623,0.0,0.0
124,Southern Methodist University,7.72899979462,0.0334403169163,183.700305296
125,University of Southern Mississippi,2.90855411789,0.0269442465288,96.0227746542
126,Universidade de Brasília,4.23331279524,0.00665899074476,21.4552681796
127,Universidade Federal de Uberlândia,0.990860546313,0.0,0.0
128,USP - São Carlos,7.33919696036,0.0,0.0
129,Universidade de São Paulo,27.3591291846,0.619186428069,9716.81186055
130,Universidade do Vale do Rio dos Sinos,0.276545491887,0.0,0.0
131,Universidade de Fortaleza,0.32961080304,0.0,0.0
132,Universidade Federal de Campina Grande,1.31810433354,0.0,0.0
133,Universidade Federal da Bahia,0.700220784555,0.0,0.0
134,Universidade Federal do Amazonas,1.84293489423,0.0,0.0
135,Universidade Federal de Minas Gerais,12.0282450195,0.0275120459993,181.937160194
136,Universidade Federal do Espírito Santo,2.83692750051,0.0,0.0
137,Universidade Federal de Pernambuco,7.60298315876,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,4.76262066133,0.0864821195311,336.731712175
139,Universidade Federal de São Carlos,1.55814849045,0.0,0.0
140,Universidade Federal de Santa Catarina,1.04518381598,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,2.3949373588,0.0,0.0
142,Universidade Federal do Rio de Janeiro,45.7805093448,0.263169744542,7285.52732314
143,Pontifícia Universidade Católica do Rio Grande do Sul,1.91497227357,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,21.2746508523,0.845760964866,19824.9297603
145,Pontifícia Universidade Católica do Paraná,0.751591702608,0.0,0.0
146,Universidade Estadual de Campinas,26.2802166769,0.641394966737,4441.65285642
147,Universidade Federal do Ceará,5.69973300472,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,8.20387656603,0.0260242106029,35.5815212031
149,Universidade Federal do Paraná,2.2724892175,0.0,0.0
150,Universidade Federal Fluminense,7.92877387554,0.0,0.0
151,Imperial College London,61.4770734828,0.224450298509,2160.50302941
152,University of Oxford,169.068617786,3.13883664113,127935.350315
153,University of Cambridge,52.3526956254,2.07957799194,80242.5963968
154,ETH Zurich,210.266244608,10.8234439359,617893.970637
155,École Polytechnique ParisTech,90.3464263709,3.82926369491,100754.416014
156,University of Texas at Arlington,20.773216853,0.145278939706,2731.83272564
157,Ecole Normale Superieure,68.2808721846,4.05688947129,79297.4604831
158,IIIT Bangalore,5.72407065106,0.013986827509,17.035955906
159,Nanyang Technological University,31.591640994,0.0179887061346,192.47915564
160,University of Waterloo,260.42337134,11.626755709,728010.769908
161,Western University,29.3617375231,0.535076020104,7925.55090376
162,University of Nebraska,11.685526042,0.00521615749522,40.6964607777
163,Victoria University of Wellington,6.43191620456,0.0,0.0
164,University of Queensland,14.8589135346,0.0735846305962,737.687607954
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,0.780345040049,0.0,0.0
167,University of Pittsburgh,41.0316800164,2.55041954513,169120.870457
168,University of Michigan,98.8656302518,3.94076512713,125175.087909
169,IIT Madras,40.6661238741,1.43048283716,13387.5114426
170,City University of New York,,,
171,University of British Columbia,99.243174117,4.22430464384,170528.691847
172,Queen’s University,45.1964601121,0.9115441868,19540.6731041
173,Virginia Commonwealth University,3.81457031365,0.0,0.0
174,Polytechnic University of Catalonia,9.36944957897,0.0,0.0
175,Emory University,48.1505647977,0.531177354377,15840.5606704
176,Ecole Normale Superieure de Cachan,78.893151355,0.00838954408908,202.515204766
177,Georgetown University,20.9088827275,0.904586704484,14102.4929707
178,Binghamton University,4.44196960361,0.0,0.0
179,University of Otago,10.3544464983,0.0440785989612,225.023925303
180,VU Amsterdam,29.9922982132,0.0,0.0
181,McMaster University,26.1176524954,0.462281872873,6112.73467115
182,Monash University,21.6714315054,0.0333539698961,130.532497243
183,Tel Aviv University,564.452345744,35.9774168173,5592753.94075
184,Boise State University,1.84848018074,0.0,0.0
185,Drexel University,5.64169375329,0.00713447379448,26.105039614
186,Boston College,7.44002875334,0.0,0.0
187,University of Bristol,20.504395153,0.762408311597,8617.6207914
188,University of Kent,6.62078534528,0.0,0.0
189,Politecnico di Milano,29.0552219451,0.0,0.0
190,Australian National University,40.8128106387,0.109754611929,1975.69276933
191,Toyota Technological Institute at Chicago,32.9433353871,2.91167085643,101778.952343
192,Technion-Israel Institute of Technology,398.71568964,12.5146157346,659024.200681
193,TU Delft,18.8379140627,0.0,0.0
194,University of Minnesota,42.5986980313,0.583973119982,14593.3352612
195,New Mexico State University,6.94413637297,0.00376913152671,22.3019512435
196,Pennsylvania State University,87.5438499065,3.3997569817,138291.492881
197,TU Dresden,27.5586670774,0.0189373772682,53.6495898007
198,University of Salerno,89.7059971247,0.997507462884,16573.6727007
199,Washington University in St. Louis,24.7357362908,1.98400148846,45703.9999917
200,McGill University,96.115721632,2.02217450454,65515.8438664
201,Naval Postgraduate School,5.67626822756,0.0,0.0
202,University of Edinburgh,92.6377167503,0.180658916677,2090.08053398
203,RWTH Aachen,75.3013863216,1.12019863889,30602.40867
204,University of Bath,18.521123434,0.0,0.0
205,IIT Kharagpur,15.2428322037,0.139082066282,741.565573132
206,University of Melbourne,27.7192750051,0.0971053117545,691.86870648
207,IMDEA Software Institute,7.18333412326,0.0,0.0
208,University of Sydney,61.7996229792,4.66503729401,168847.710504
209,University of North Carolina,74.0887300207,4.10029878002,357223.773501
210,IIIT Delhi,6.66588793044,0.380019887717,3259.43057695
211,University of Nevada,1.59703224481,0.0,0.0
212,Concordia University,18.9222530294,0.328693648843,5492.47087216
213,IISc Bangalore,50.6512168823,2.26511386523,46643.7939072
214,Rochester Institute of Technology,15.8583237978,0.15131323189,1024.24401564
215,DIKU,90.0951222017,7.58030918862,511658.250692
216,Chulalongkorn Uniersity,0.00492914356131,0.0,0.0
217,Worcester Polytechnic Institute,21.0822756213,0.102617968829,1446.9133605
218,IST Austria,79.7076097106,4.89327449248,340319.137524
219,University College London,44.6196344219,0.0123671636049,117.961306635
220,Columbia University,145.487742423,5.20299634304,280670.715939
221,Massey University,3.45103691407,0.0666280321408,367.85336545
222,University of Miami,28.5893920723,1.19785756589,24811.1523336
223,IIT Roorkee,2.29092216061,0.0,0.0
224,University of Tartu,9.86809406449,0.0,0.0
225,University of Victoria,46.3494565303,1.6952348958,48959.6581979
226,Carleton University,169.24924009,13.1589903618,841798.703061
227,Athens University of Economics and Business,16.7613164921,0.140725775723,840.030508059
228,Texas A&M University,70.1638861093,1.03328689879,47356.1361773
229,EPFL,99.6630942457,4.77802800592,89563.8317779
230,Bar-Ilan University,145.893648593,9.25067250327,466575.931504
231,University of Maryland-College Park,203.335354368,14.0710631919,946860.260842
232,IIT Kanpur,44.8084514274,1.1318401215,19818.8436596
233,University of Adelaide,20.0212055864,0.130256424155,2019.20229889
234,University of Warsaw,172.628496611,7.65664410307,189029.666883
235,Stony Brook University,64.0119942493,2.07747705203,82776.1598603
236,University of Notre Dame,14.4228178271,0.129775149363,739.260427183
237,University of Western Australia,5.5831792976,0.0182014031743,96.303624195
238,IIT Hyderabad,2.75250564798,0.0,0.0
239,IIT Bombay,44.4368421552,1.00492078612,16902.198887
240,IIIT Hyderabad,12.3371328815,0.190124566868,693.649621085
241,University of Maryland-Baltimore County,17.2166321014,0.0612399169109,622.331895684
242,University of New South Wales,,,
243,University of Alberta,69.4316595348,4.12650756124,92644.6544023
244,Aarhus University,100.294335886,10.2675115713,405790.249446
245,University of Zurich,5.01323533726,0.0,0.0
246,Max Planck Institute,125.40430475,6.00459630409,792591.645941
247,TU Darmstadt,27.5459642637,0.576022740097,10661.6048965
248,University of Athens,30.5045306695,0.354051957826,4944.47491089
249,Stevens Institute of Technology,10.0684457794,0.0091732696031,32.5600731685
250,University of Calgary,41.5811100842,0.684401186658,16333.9862932
251,University of Massachusetts Lowell,5.25692133908,0.0,0.0
252,Rutgers University,171.690522114,5.25210207831,312125.952636
253,Ecole Normale Superieure de Lyon,79.0729718628,0.439267237109,4406.14304889
254,Colorado State University,17.5437769563,0.481650705079,10901.2004081
255,IIT Delhi,58.5848634216,4.04658648135,161135.317717
256,BITS Pilani,0.855411788868,0.0,0.0
257,University of Auckland,30.8814609434,0.135398149195,1000.41300448
258,National University of Singapore,111.579401496,1.14491634181,35616.1716321
259,University of Canterbury,11.204816184,0.113576595927,1816.08976887
260,Chennai Mathematical Institute,,,
261,University of Montreal,41.0478743068,0.12678427472,1204.37074685
262,George Mason University,20.9115580592,0.10311737772,506.792737069
263,University of Luxembourg,14.4277983159,0.0670631842887,536.9749166
264,Hebrew University of Jerusalem,216.620464503,5.7519825537,330722.928326
265,Simon Fraser University,102.68777423,2.83022814653,78447.8169192
266,Indiana University,50.9878947471,1.0133726741,15289.0453435
267,University of Toronto,158.124503986,3.16196494544,90303.0073801
268,University at Buffalo,82.1715251118,2.70562717303,79912.6255401
269,TU Munich,76.8415485726,4.42696675591,202859.252245
270,University of Waikato,4.55493941261,0.00315264974048,17.6233120493
