,Name,Computer security pscore norm,Computer security year norm,Computer security year combined norm
0,Stanford University,162.461040522,5.34883796083,447562.248413
1,University of California-Berkeley,207.283483211,10.7559192505,360583.90528
2,Massachusetts Institute of Technology,202.989562361,1.58542059752,47282.1625273
3,Carnegie Mellon University,170.665595869,3.38214125731,59599.092007
4,University of Illinois at Urbana-Champaign,205.039659018,6.49871342133,155276.615077
5,Princeton University,74.9509513412,1.77437343034,23270.1417658
6,Cornell University,201.307906743,14.3702066345,783468.875008
7,University of California-Santa Barbara,99.9720739606,5.45804033126,165238.164
8,University of North Carolina at Chapel Hill,6.86316108685,0.385055208843,2624.53630347
9,University of California-Los Angeles,180.412501155,1.58320105287,183460.264936
10,University of Texas at Austin,114.485950244,3.08624483145,411888.454632
11,Georgia Institute of Technology,151.000967004,5.38231389378,169795.847602
12,Michigan State University,37.8813622028,0.1199607755,852.108279418
13,University of Maryland College Park,14.1342196922,0.0519921205045,188.991358034
14,University of California-San Diego,185.473252956,5.23929569876,334605.074584
15,University of Michigan-Ann Arbor,7.11108965028,0.0814638817796,252.70017055
16,University of Southern California,89.8647047781,1.51453568157,9636.70636488
17,University of Pennsylvania,69.1173498703,1.91458825683,26662.8993296
18,University of Massachusetts Amherst,73.423354675,1.37170038755,10062.8098651
19,University of Wisconsin-Madison,56.675837533,1.15332449168,25646.8278331
20,Harvard University,67.5627244056,0.404437281266,5328.82059859
21,University of Rochester,19.8400132942,0.0643524733056,505.424325342
22,University of Washington,74.9012123954,3.09920521661,116247.456549
23,Purdue University Main Campus,176.543495964,10.2871632227,388045.884241
24,Duke University,46.579827074,0.143131160117,443.375637699
25,New York University,148.091203126,3.24815844689,134934.866701
26,Tufts University,7.71052367089,0.0,0.0
27,State University of New York at Stony Brook,20.7529112082,0.981411954932,7400.25500415
28,Louisiana State University and Agricultural and Mechanical College,21.2768143065,0.0,0.0
29,University of California-Riverside,61.1698083455,2.67163505019,20033.2489358
30,Penn State University,0.48326055313,0.0,0.0
31,University of Minnesota-Twin Cities,15.0063197477,1.90105395347,64268.931005
32,Brown University,87.4046752617,4.8010369391,172387.626653
33,Rice University,26.8274648943,1.15438922835,14827.067031
34,University of California-Irvine,124.517216167,5.84069846329,400552.16626
35,Ohio State University Main Campus,6.6295366327,0.0,0.0
36,Yale University,38.9409752547,0.593651822643,7774.34634014
37,Arizona State University,67.9993285826,1.69261486207,43469.3992053
38,University of Nebraska - Lincoln,1.89950266861,0.0,0.0
39,Columbia University In The City of New York,1.62190684134,0.0,0.0
40,University of Connecticut,31.029281902,0.259921839318,2203.96702263
41,University of California-Davis,112.241531559,2.56143833373,69633.6420011
42,State University of New York at Buffalo,5.37111838913,0.0217753139529,81.2984046274
43,Texas A & M University,2.72092430859,0.0,0.0
44,University of Oklahoma Norman Campus,17.9693852213,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,1.71773410966,0.0,0.0
46,University of Utah,15.7724163028,0.170290468345,477.277583512
47,University of California-Santa Cruz,33.0218132668,0.420398004413,9306.03159168
48,Indiana University at Bloomington,7.86778262979,0.00326909435293,1.778387328
49,University of Virginia,38.2680720177,0.425276012215,4179.28548964
50,University of South Florida,19.5446125321,0.698853018533,4877.71845033
51,University of Arizona,24.9244662785,0.118299094989,452.537484163
52,Virginia Polytechnic Institute and State University,3.80885492479,0.0,0.0
53,University of Chicago,20.7150989872,0.224299659318,681.683255187
54,Washington University In St. Louis,6.1712154294,0.0,0.0
55,Georgia State University,12.9715429403,0.0,0.0
56,North Carolina State University,105.842018438,8.49800282233,226761.39232
57,University of Tennessee,27.1170886186,0.0,0.0
58,Johns Hopkins University,62.3952727525,4.72630800563,161245.906965
59,Vanderbilt University,15.8558737357,0.166544853475,749.849475088
60,Florida Institute of Technology,14.2697113052,0.011563378774,25.016228202
61,University of Colorado at Boulder,10.7107714702,0.0,0.0
62,Lehigh University,5.66308830665,0.00309574083214,4.40523920414
63,University of Central Florida,22.54939552,0.135012820117,832.489048838
64,University of Kentucky,22.8693170791,0.0298773796004,234.55644194
65,Florida State University,39.8786754003,0.745970904542,16559.376258
