,Name,Human-computer interaction pscore 5 years,Human-computer interaction year 5 years,Human-computer interaction year combined 5 years
91,Brandeis University,5039.28333333,77.4767129317,682647.317642
92,North Dakota State University Main Campus,1438.66666667,0.699651930366,1452.47740744
93,City University of New York Grad. Center,144.0,0.0,0.0
94,State University of New York at Binghamton,477.916666667,0.0,0.0
95,University of North Carolina at Charlotte,15593.8583333,147.270587299,836600.217904
96,Case Western Reserve University,7088.74166667,7.41705251632,77804.8808962
97,University of New Mexico Main Campus,831.583333333,0.0,0.0
98,Syracuse University Main Campus,8591.83333333,136.590386346,1083083.86703
99,New Mexico State University Main Campus,113.5,0.0,0.0
100,New Jersey Institute of Technology,26.0,0.0,0.0
101,University of South Carolina Columbia,2014.0,0.0,0.0
102,College of William and Mary,2998.18333333,0.0,0.0
103,Florida International University,3383.40833333,0.0,0.0
104,George Washington University,14227.6666667,804.217859651,18951651.99
105,Old Dominion University,2092.16666667,0.0,0.0
106,Texas Tech University,1234.66666667,0.0,0.0
107,University of Kansas,9224.44166667,98.3153033101,1217438.40089
108,University of Arkansas Main Campus,692.433333333,0.0,0.0
109,University of Alabama,4137.98333333,6.42131614728,39914.9011715
110,Mississippi State University,3097.4047619,0.0,0.0
111,University of Houston,25904.675,2017.22446165,62395009.3145
112,University of North Texas,4054.58333333,5.15524824933,21914.9603079
113,Clemson University,29366.25,943.874321351,15182802.6522
114,State University of New York at Albany,679.792857143,0.0,0.0
115,Brigham Young University,44498.875,5129.76341972,304905178.046
116,Kansas State University,1076.6,0.0,0.0
117,University of Alabama In Huntsville,364.0,0.0,0.0
118,University of Memphis,6844.49285714,260.333803745,3425922.55991
119,Temple University,4382.58333333,7.37470270193,28765.4207387
120,University of Louisiana at Lafayette,2408.0,0.0,0.0
121,University of Alabama at Birmingham,3038.91666667,13.0641238551,65007.0803031
122,Oregon Health and Science University,1565.7,6.09831087733,28241.2776729
123,Western Michigan University,318.25,0.0,0.0
124,Southern Methodist University,837.0,0.0,0.0
125,University of Southern Mississippi,2919.5,15.5471491228,69013.7949561
126,Universidade de Brasília,262.666666667,0.0,0.0
127,Universidade Federal de Uberlândia,258.833333333,0.0,0.0
128,USP - São Carlos,5122.00714286,22.512345679,123772.876543
129,Universidade de São Paulo,7611.41666667,21.6973648723,92213.8007074
130,Universidade do Vale do Rio dos Sinos,231.166666667,0.0,0.0
131,Universidade de Fortaleza,282.625,0.0,0.0
132,Universidade Federal de Campina Grande,856.0,0.0,0.0
133,Universidade Federal da Bahia,165.486904762,0.0,0.0
134,Universidade Federal do Amazonas,846.516666667,0.0,0.0
135,Universidade Federal de Minas Gerais,15367.4666667,350.95410439,4159537.39597
136,Universidade Federal do Espírito Santo,378.0,0.0,0.0
137,Universidade Federal de Pernambuco,2415.325,2.62887397321,954.281252277
138,Universidade Federal de Mato Grosso do Sul,95.5,0.0,0.0
139,Universidade Federal de São Carlos,19044.9702381,826.074485437,13568821.0312
140,Universidade Federal de Santa Catarina,478.666666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,456.366666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,1133.76190476,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,1305.08333333,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,15626.4416667,64.9181558341,823461.487797
145,Pontifícia Universidade Católica do Paraná,382.333333333,0.0,0.0
146,Universidade Estadual de Campinas,4092.04166667,3.41182874142,23316.4376189
147,Universidade Federal do Ceará,270.916666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,6406.73333333,14.8233321213,75655.089876
149,Universidade Federal do Paraná,631.583333333,0.0,0.0
150,Universidade Federal Fluminense,3692.88333333,19.5765960127,108767.567447
151,Imperial College London,20553.1035714,150.450670711,756959.684714
152,University of Oxford,27999.0,681.447332459,9802668.78066
153,University of Cambridge,53709.1690476,2259.15209891,86810840.2692
154,ETH Zurich,49024.05,3809.78558594,131401907.132
155,École Polytechnique ParisTech,1070.06666667,0.0,0.0
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
