,Name,Parallel computing pscore,Parallel computing year,Parallel computing year combined
101,University of South Carolina Columbia,37550.5027778,224.667899831,1240971.76299
102,College of William and Mary,89223.6595238,1849.01405761,34824445.1991
103,Florida International University,119173.858333,1881.18756631,37729273.0529
104,George Washington University,95139.5,2475.03587099,56616163.6872
105,Old Dominion University,209414.766667,9988.75027094,1381173739.11
106,Texas Tech University,42116.1333333,698.122148554,27111670.8654
107,University of Kansas,85855.8944444,685.090171634,6147600.93089
108,University of Arkansas Main Campus,44784.4666667,1377.07641389,22487682.252
109,University of Alabama,67806.5833333,412.426743488,14707744.9014
110,Mississippi State University,62966.5833333,4534.49197754,183326750.208
111,University of Houston,152999.2,5980.08451774,114940996.939
112,University of North Texas,67781.4666667,1155.3190653,20446734.5415
113,Clemson University,108979.572222,3028.31062637,140110852.279
114,State University of New York at Albany,24893.3190476,138.182311027,1689939.01126
115,Brigham Young University,52335.9583333,1018.15727442,23027536.3622
116,Kansas State University,34902.4166667,660.76119317,8139525.82353
117,University of Alabama In Huntsville,7648.2,0.0,0.0
118,University of Memphis,39098.35,661.968525561,14407862.1967
119,Temple University,41264.6,108.229792005,1560194.20314
120,University of Louisiana at Lafayette,143197.0,7325.23802108,441431063.688
121,University of Alabama at Birmingham,18426.0,53.5593892196,222788.041086
122,Oregon Health and Science University,2092.14285714,0.0,0.0
123,Western Michigan University,28556.0,350.971246816,5438147.3112
124,Southern Methodist University,35265.6666667,23.5214313891,267932.624954
125,University of Southern Mississippi,10793.75,8.07004645174,36928.5325632
126,Universidade de Brasília,58294.0833333,3089.88949188,95161724.3009
127,Universidade Federal de Uberlândia,6011.33333333,0.0,0.0
128,USP - São Carlos,53325.1404762,163.838358969,1118962.63513
129,Universidade de São Paulo,24884.5,307.608360736,2772676.91178
130,Universidade do Vale do Rio dos Sinos,4922.16666667,43.5070214067,173984.578605
131,Universidade de Fortaleza,5724.875,0.0,0.0
132,Universidade Federal de Campina Grande,27595.0333333,567.547722006,4380884.95752
133,Universidade Federal da Bahia,9376.0702381,85.6191798157,225964.958498
134,Universidade Federal do Amazonas,10813.5833333,93.1724982747,494533.987957
135,Universidade Federal de Minas Gerais,63730.7333333,659.122099687,9992278.36806
136,Universidade Federal do Espírito Santo,82782.0833333,4354.13304947,320026276.32
137,Universidade Federal de Pernambuco,46270.5583333,168.67508461,1171765.99358
138,Universidade Federal de Mato Grosso do Sul,8317.98333333,181.880150071,653217.115894
139,Universidade Federal de São Carlos,24999.7702381,255.581748121,3425458.50061
140,Universidade Federal de Santa Catarina,29431.0833333,564.534822519,4709423.81502
141,Universidade Federal do Rio Grande de Norte,13224.4833333,69.5760291335,251619.062727
142,Universidade Federal do Rio de Janeiro,62684.7952381,364.55507348,3137011.11076
143,Pontifícia Universidade Católica do Rio Grande do Sul,48183.5833333,1151.54182455,17693923.8175
144,Pontifícia Universidade Católica do Rio de Janeiro,33633.6083333,152.170525876,885851.211456
145,Pontifícia Universidade Católica do Paraná,9212.91666667,0.0,0.0
146,Universidade Estadual de Campinas,63505.3916667,260.5139,1321081.40938
147,Universidade Federal do Ceará,13898.4833333,146.435301841,621168.958326
148,Universidade Federal do Rio Grande do Sul,103779.958333,1095.28772651,25433674.2903
149,Universidade Federal do Paraná,13815.9833333,41.2364193967,209198.262288
150,Universidade Federal Fluminense,40244.15,473.408642451,4820001.50253
151,Imperial College London,188279.09014,1760.09405004,39867901.0474
152,University of Oxford,73053.1333333,38.3043744545,123903.101245
153,University of Cambridge,80128.4416667,173.990722185,738346.674466
154,ETH Zurich,179933.488036,3115.98700148,148126235.987
155,École Polytechnique ParisTech,60164.3666667,616.922261969,6840971.25323
156,University of Texas at Arlington,228119.116667,9168.64469962,553744822.127
157,Ecole Normale Superieure,49306.9166667,0.0,0.0
158,IIIT Bangalore,21201.0,230.745257061,1117021.24263
159,Nanyang Technological University,329462.783333,6177.71331789,194786698.6
160,University of Waterloo,140127.031685,603.018073515,4498103.29857
161,Western University,28520.2333333,71.8036971948,237787.114591
162,University of Nebraska,70164.2420996,374.446421129,4519273.86521
163,Victoria University of Wellington,51288.6666667,349.715850249,1435398.00651
164,University of Queensland,64694.6666667,104.636067447,618521.36645
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,5736.0,10.46623857,48500.5495332
167,University of Pittsburgh,186435.0,6710.28712738,507278767.645
168,University of Michigan,408932.399066,4802.48341952,514789681.967
169,IIT Madras,117346.097619,2085.6604047,79047266.6723
170,City University of New York,,,
171,University of British Columbia,77864.0948413,2247.24246844,44089690.4003
172,Queen’s University,148031.030952,1536.98514286,69916571.3285
173,Virginia Commonwealth University,32254.3333333,662.304208118,5446966.85487
174,Polytechnic University of Catalonia,346335.166667,15523.8321098,1270653087.32
175,Emory University,95019.1666667,3239.5494674,216803169.251
176,Ecole Normale Superieure de Cachan,25766.7838346,12.1356862663,34004.1929182
177,Georgetown University,33514.15,242.519922187,6127808.22892
178,Binghamton University,94900.9666667,2033.36458268,50983861.6155
179,University of Otago,26581.2,1067.79416015,14149221.4967
180,VU Amsterdam,129656.066667,2431.54356905,107504887.49
181,McMaster University,43640.6333333,487.072243866,4251820.02699
182,Monash University,47362.0666667,30.0181839521,426204.753344
183,Tel Aviv University,110076.830952,415.486713269,4619909.16078
184,Boise State University,12579.5833333,69.3279743823,417839.701602
185,Drexel University,12792.5306832,80.9844402272,260244.990517
186,Boston College,6067.41666667,12.7748830736,69801.961114
187,University of Bristol,22782.3833333,124.106878284,371574.619346
188,University of Kent,31578.9115385,59.25,169869.75
189,Politecnico di Milano,229059.850135,3015.04475878,130600606.401
190,Australian National University,169376.791667,6088.41401754,145279945.216
191,Toyota Technological Institute at Chicago,4215.26666667,0.0,0.0
192,Technion-Israel Institute of Technology,328204.57619,4719.89998961,162745737.859
193,TU Delft,151561.709524,3544.13095883,128212410.553
194,University of Minnesota,357856.921429,14498.3895372,938734958.179
195,New Mexico State University,26162.5,336.389298499,4044994.18041
196,Pennsylvania State University,438529.022078,13735.6252475,1177871375.05
197,TU Dresden,98974.4166667,1222.56262582,32835262.409
198,University of Salerno,88959.0833333,1033.38190761,15557556.6429
199,Washington University in St. Louis,114815.933333,2301.70228721,52018807.7718
200,McGill University,109807.442399,4187.69334975,176116050.114
201,Naval Postgraduate School,19494.5,44.7068625318,148704.315243
202,University of Edinburgh,119059.733333,951.317668261,14058437.0607
203,RWTH Aachen,54954.3333333,42.2943262411,254315.783688
204,University of Bath,8430.55,0.0,0.0
205,IIT Kharagpur,68137.1166667,301.828840296,2249143.67242
206,University of Melbourne,115317.2,1386.00829385,81480057.1044
207,IMDEA Software Institute,14673.5448718,111.429030164,941562.668087
208,University of Sydney,213091.497619,15342.2549797,2609083201.09
209,University of North Carolina,105122.833333,2129.15911372,34590431.6078
210,IIIT Delhi,10546.0,13.4131028189,90659.1619532
211,University of Nevada,18639.4,152.226986258,867932.174005
212,Concordia University,59049.6666667,396.997581362,2250321.07401
213,IISc Bangalore,95263.7666667,2503.89488119,38507498.2923
214,Rochester Institute of Technology,59806.9047619,1303.64297534,52178018.2777
215,DIKU,16507.4166667,23.3793753481,23706.6866029
216,Chulalongkorn Uniersity,209.0,0.0,0.0
217,Worcester Polytechnic Institute,39570.4833333,140.334006288,717901.952039
218,IST Austria,11652.6452381,0.0,0.0
219,University College London,84820.1666667,145.885293563,2654882.94037
220,Columbia University,153919.141667,549.412716228,6848102.43468
221,Massey University,6806.03291153,9.83016095965,17816.0215335
222,University of Miami,17577.0,173.197882264,2037478.77255
223,IIT Roorkee,11058.6666667,172.323963684,719445.905539
224,University of Tartu,10185.5833333,0.0,0.0
225,University of Victoria,58397.7282051,291.801167498,4841369.25524
226,Carleton University,130314.3,1630.51479026,56997044.3582
227,Athens University of Economics and Business,80522.3666667,741.082021459,20092026.3888
228,Texas A&M University,260152.489223,8049.97752169,180260722.852
229,EPFL,219644.583567,823.938616184,13462681.3098
230,Bar-Ilan University,28731.5583333,8.83063957561,18774.3863654
231,University of Maryland-College Park,254382.577381,7602.85857738,350492600.349
232,IIT Kanpur,39342.9,476.635961513,4294020.49455
233,University of Adelaide,79712.7,1071.38606549,55452115.9034
234,University of Warsaw,44080.6666667,239.532896491,1497582.65156
235,Stony Brook University,149010.716667,6091.0886701,302951531.349
236,University of Notre Dame,120477.833333,1919.28794243,47019536.3051
237,University of Western Australia,49558.75,840.980590009,23531506.1623
238,IIT Hyderabad,13011.5333333,151.432726736,383057.915522
239,IIT Bombay,71670.4661064,731.761138351,9510109.73206
240,IIIT Hyderabad,40483.3333333,854.155111403,11934287.374
241,University of Maryland-Baltimore County,67770.3276612,294.374065514,3559184.17492
242,University of New South Wales,,,
243,University of Alberta,129758.660348,1987.81582547,35667478.5497
244,Aarhus University,23863.347619,27.390811769,139905.504127
245,University of Zurich,17929.8166667,12.3031301946,116129.245907
246,Max Planck Institute,50480.6808934,43.0754987256,291966.155814
247,TU Darmstadt,94160.7,3282.222247,161602960.071
248,University of Athens,132644.82256,1273.55770816,15825062.4745
249,Stevens Institute of Technology,22987.025,520.686308901,4881969.05103
250,University of Calgary,78144.3916667,485.299131771,9272574.03275
251,University of Massachusetts Lowell,46717.4833333,700.575249898,17124654.5473
252,Rutgers University,169068.432143,3433.98495247,198192698.607
253,Ecole Normale Superieure de Lyon,449081.483333,29807.9595421,2433105806.58
254,Colorado State University,77092.1277778,2868.72901211,93823134.5899
255,IIT Delhi,76121.45,1408.94361549,17172271.943
256,BITS Pilani,14910.5,473.869970204,4772734.76017
257,University of Auckland,31690.7777778,0.0,0.0
258,National University of Singapore,228351.778011,3864.79509573,88147441.5776
259,University of Canterbury,14428.0,13.977814181,72055.6321032
260,Chennai Mathematical Institute,,,
261,University of Montreal,35905.6166667,0.0,0.0
262,George Mason University,118509.894444,1672.15215869,21052329.5681
263,University of Luxembourg,106424.983333,2250.84990268,138639462.944
264,Hebrew University of Jerusalem,103377.519444,3193.0360061,159207188.846
265,Simon Fraser University,157174.240909,3115.71246915,82005129.2961
266,Indiana University,155177.73373,4033.71062958,150324298.547
267,University of Toronto,79822.6135587,1472.00834337,20829438.3172
268,University at Buffalo,273397.576923,7977.45840975,262233766.322
269,TU Munich,121947.5,759.481497625,22023513.8964
270,University of Waikato,11151.5833333,0.0,0.0
