,Name,Data mining pscore norm,Data mining year norm,Data mining year combined norm
0,Stanford University,251.480491022,4.84524107366,224722.703768
1,University of California-Berkeley,233.877846033,0.796972414548,30803.8322358
2,Massachusetts Institute of Technology,192.460242451,0.349473729396,5201.36223549
3,Carnegie Mellon University,503.432224945,19.4461584869,2680549.89182
4,University of Illinois at Urbana-Champaign,353.644237191,18.4256340964,4186529.9039
5,Princeton University,44.2772755413,0.00167363754917,2.77154378142
6,Cornell University,223.125903282,5.26961332901,179606.112055
7,University of California-Santa Barbara,132.259773525,3.71300875271,186239.932783
8,University of North Carolina at Chapel Hill,9.14010306863,0.0202873855141,30.0050431754
9,University of California-Los Angeles,197.076411059,5.054598163,170302.194759
10,University of Texas at Austin,156.684260003,3.74691134374,162795.76247
11,Georgia Institute of Technology,275.487795263,9.86434727082,343540.668093
12,Michigan State University,118.685396658,5.92184902005,231913.514415
13,University of Maryland College Park,27.4469857444,0.185311402894,1498.63007272
14,University of California-San Diego,127.349711727,2.30017047469,51235.7808926
15,University of Michigan-Ann Arbor,18.7871911995,0.191715234558,961.835505674
16,University of Southern California,283.096354458,5.57629404505,138275.140717
17,University of Pennsylvania,116.529590975,0.936907721531,17791.6360104
18,University of Massachusetts Amherst,243.480498774,4.21653481763,138769.69958
19,University of Wisconsin-Madison,131.314637762,1.4915391413,33551.4577304
20,Harvard University,50.9442642974,0.216443577955,1000.60870294
21,University of Rochester,70.5649978935,0.944851364696,14581.2703637
22,University of Washington,195.787081636,2.09642035167,85451.1253313
23,Purdue University Main Campus,189.960067502,6.24294029596,168353.511905
24,Duke University,86.9122339543,0.591143252337,7391.74918836
25,New York University,104.784200883,0.652164154616,12913.3370605
26,Tufts University,19.5471890372,0.200288256919,2048.70174499
27,State University of New York at Stony Brook,20.7397282736,0.0254945254534,107.830129705
28,Louisiana State University and Agricultural and Mechanical College,19.6917461433,0.04754650353,248.766194304
29,University of California-Riverside,145.882353914,11.058458762,712983.502866
30,Penn State University,0.420238931834,0.0,0.0
31,University of Minnesota-Twin Cities,8.38073319279,0.0863157268394,924.175673244
32,Brown University,75.2283396474,0.268946024308,2610.49389963
33,Rice University,41.7122760629,1.62287748838,21586.3986658
34,University of California-Irvine,194.37396184,4.41739726943,211681.395496
35,Ohio State University Main Campus,12.2957601312,0.0878471218321,949.539539884
36,Yale University,45.4115935685,0.183142041574,2831.4047219
37,Arizona State University,209.398196129,11.276407508,639717.780674
38,University of Nebraska - Lincoln,5.91701803701,0.163604570885,1157.33873444
39,Columbia University In The City of New York,5.12450222535,0.0177440019146,118.210540755
40,University of Connecticut,43.8209533849,1.1602683239,19473.9295615
41,University of California-Davis,77.2950994022,5.90694086098,215639.903969
42,State University of New York at Buffalo,5.16971187632,0.0575523770386,353.65257394
43,Texas A & M University,4.06137268681,0.0193126742798,30.8931068052
44,University of Oklahoma Norman Campus,24.5340775101,0.77975845034,7120.42390693
45,University of Pittsburgh Pittsburgh Campus,9.86273131881,0.123626452737,1602.62210093
46,University of Utah,34.1592410401,0.275108167184,2470.40274802
47,University of California-Santa Cruz,105.357893284,3.16344602141,138600.91104
48,Indiana University at Bloomington,21.1798274381,0.228396843019,2389.05189718
49,University of Virginia,47.4263879129,2.82564864029,34470.005458
50,University of South Florida,33.8604206405,0.428885252283,3857.90800742
51,University of Arizona,43.9372025461,0.716036940063,13034.8831047
52,Virginia Polytechnic Institute and State University,6.39892246428,0.0,0.0
53,University of Chicago,43.6593959947,0.196859866455,5932.90881374
54,Washington University In St. Louis,4.03487616857,0.0,0.0
55,Georgia State University,23.1175099555,0.0768270735703,485.545952805
56,North Carolina State University,69.6708740603,0.688218019091,8701.74679107
57,University of Tennessee,41.9688727705,0.116546407452,511.953095988
58,Johns Hopkins University,29.8981946257,0.0113231296931,46.0048409276
59,Vanderbilt University,35.1787529056,0.314587189936,2738.57606567
60,Florida Institute of Technology,18.4834153197,0.829130284182,15406.8989407
61,University of Colorado at Boulder,14.8423401265,0.0147927027747,33.1503849411
62,Lehigh University,25.7959709534,0.577617634805,11434.2324253
63,University of Central Florida,58.1458811587,0.675741898446,6448.81286817
64,University of Kentucky,42.5186050597,0.475881833156,5199.55493854
65,Florida State University,31.8577125791,0.982003579577,14335.2693714
66,Oklahoma State University Main Campus,5.78624970719,0.0166900913563,27.5219606465
67,Washington State University,62.3834576644,2.55575910086,62257.0117267
68,Iowa State University,37.4265886959,0.406321572353,6290.10049285
69,Northwestern University,131.871257906,1.05836557788,35411.6177066
70,Dartmouth College,24.4316818927,0.0783937703775,331.728204017
71,Boston University,48.7160230454,4.88694658685,133119.410131
72,University of Georgia,22.4942550949,0.122737736239,997.095252456
73,Rutgers The State University of New Jersey New Brunswick Campus,1.86535488405,0.0,0.0
74,University of Maryland Baltimore County,28.5202082995,2.6289292722,77407.5215775
75,California Institute of Technology,33.9725516356,0.654244496512,6145.14709541
76,University of Delaware,33.7294760678,0.158630021301,1515.20609019
77,University of Texas at Dallas,116.263658396,2.27903525064,50508.2760053
78,University of Cincinnati Main Campus,12.7958538299,0.0141104182233,51.7005723702
79,Kent State University Main Campus,32.3352463497,2.63417560117,102498.014751
80,Oregon State University,77.435673468,2.32715350327,32542.0961825
81,University of Iowa,18.1360213165,0.245866876014,2448.43992651
82,Rensselaer Polytechnic Institute,99.1581597933,6.75016923177,361689.560283
83,University of Florida,73.5583274772,0.496245109411,6418.76688255
84,Northeastern University,92.8427425175,3.97091509615,81220.9874116
85,Illinois Institute of Technology,27.0034258609,0.341428169314,2020.28950872
86,Auburn University,11.8218552354,0.164727852942,1480.12677932
87,Wayne State University,48.3496818146,1.85986408195,24202.1241912
88,University of Oregon,37.8778034334,0.663260769234,6529.45558823
89,Wright State University Main Campus,49.3136624502,1.17306863388,17683.6787505
90,University of Illinois at Chicago,278.82262171,30.3646958712,8136310.28448
91,Brandeis University,16.0536274805,0.0,0.0
92,North Dakota State University Main Campus,28.4293862731,1.33485870309,9543.91592437
93,City University of New York Grad. Center,1.39400327946,0.00594210570872,7.25531107035
94,State University of New York at Binghamton,9.02149215273,0.268311270301,3713.96460351
95,University of North Carolina at Charlotte,41.3416691765,2.10404904117,42708.0743809
96,Case Western Reserve University,50.7886783455,0.425664164093,8016.99849517
97,University of New Mexico Main Campus,12.4987233544,0.775503614897,11621.592265
98,Syracuse University Main Campus,33.3631412509,0.259674022383,2538.83355494
99,New Mexico State University Main Campus,0.373623799485,0.0,0.0
100,New Jersey Institute of Technology,0.116303583978,0.0,0.0
101,University of South Carolina Columbia,22.6845026158,0.037352142676,205.745204863
102,College of William and Mary,13.6578891008,0.113296751748,320.274850289
103,Florida International University,80.2776645584,2.3780859553,206962.503366
104,George Washington University,22.1950691028,0.558931889601,7667.35710152
105,Old Dominion University,26.6700281096,0.182252481887,2257.42983277
106,Texas Tech University,14.0688334505,0.0187372813466,65.4282900686
107,University of Kansas,47.8783184977,1.56174717405,36868.2382191
108,University of Arkansas Main Campus,6.98415319747,0.0,0.0
109,University of Alabama,8.62863668306,0.00295046213684,6.93948694584
110,Mississippi State University,12.7445420473,0.00202770776297,1.54511331538
111,University of Houston,55.0531271961,2.6831839224,71141.1127205
112,University of North Texas,23.2494612321,0.13515957461,1156.52880987
113,Clemson University,13.0293120949,0.00907949905565,14.8774137641
114,State University of New York at Albany,17.241347087,0.0866659356355,583.949443694
115,Brigham Young University,28.8445479035,0.23043561628,1303.41631134
116,Kansas State University,10.7442492387,0.158999823008,1290.14241692
117,University of Alabama In Huntsville,5.94820801124,0.0612987274309,207.141943988
118,University of Memphis,11.0483524635,0.100477622248,602.756851835
119,Temple University,47.5546146639,2.44847302413,50402.5860866
120,University of Louisiana at Lafayette,19.7862379948,0.0685260309875,563.733934782
121,University of Alabama at Birmingham,9.83877957367,0.100698105106,1187.39197119
122,Oregon Health and Science University,10.0176856407,0.0123288751381,39.452400442
123,Western Michigan University,3.78777231202,0.0100477751677,12.4893845334
124,Southern Methodist University,14.5756031858,0.758612190666,7378.33899104
125,University of Southern Mississippi,8.32167955025,0.0242779203234,154.140516133
126,Universidade de Brasília,3.29339423753,0.0,0.0
127,Universidade Federal de Uberlândia,4.35371281331,0.0,0.0
128,USP - São Carlos,39.5059866814,0.833521341866,6643.09533677
129,Universidade de São Paulo,9.7804755212,0.00568812571929,2.13304714473
130,Universidade do Vale do Rio dos Sinos,1.85746076364,0.0,0.0
131,Universidade de Fortaleza,3.53250175685,0.0,0.0
132,Universidade Federal de Campina Grande,5.55539939096,0.0,0.0
133,Universidade Federal da Bahia,0.925223371147,0.0,0.0
134,Universidade Federal do Amazonas,8.94620520028,0.043758853954,405.77504227
135,Universidade Federal de Minas Gerais,43.3540466151,0.666857585177,8440.28271377
136,Universidade Federal do Espírito Santo,5.75392363551,0.0,0.0
137,Universidade Federal de Pernambuco,26.4750292809,0.0343629630138,45.4564903892
138,Universidade Federal de Mato Grosso do Sul,0.758304052471,0.0,0.0
139,Universidade Federal de São Carlos,9.01508048054,0.0193109316857,61.2349643754
140,Universidade Federal de Santa Catarina,4.59984773952,0.00526287672238,3.10509726621
141,Universidade Federal do Rio Grande de Norte,4.68026469899,0.0,0.0
142,Universidade Federal do Rio de Janeiro,13.4166967841,0.00706318795222,14.5784199334
143,Pontifícia Universidade Católica do Rio Grande do Sul,5.69665026938,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,18.3070039822,0.0440243683051,207.946769115
145,Pontifícia Universidade Católica do Paraná,5.3076832982,0.00356418768831,2.95827578129
146,Universidade Estadual de Campinas,21.0137620052,0.0368598372314,196.923480048
147,Universidade Federal do Ceará,4.16392597798,0.00973491059577,22.3318849067
148,Universidade Federal do Rio Grande do Sul,22.8655715624,0.0321718004788,75.3299991636
149,Universidade Federal do Paraná,7.38829936753,0.0,0.0
