,Name,Human-computer interaction pscore,Human-computer interaction year,Human-computer interaction year combined
105,Old Dominion University,8282.55,0.0,0.0
106,Texas Tech University,3607.86666667,0.0,0.0
107,University of Kansas,21406.9583333,185.894034727,2301925.83202
108,University of Arkansas Main Campus,2598.2,0.0,0.0
109,University of Alabama,9854.63333333,14.7742567827,91836.7801611
110,Mississippi State University,8728.8,0.0,0.0
111,University of Houston,48554.775,3647.24475876,111206545.661
112,University of North Texas,10697.85,9.99294170611,42479.9951927
113,Clemson University,59774.85,1767.37968746,28416464.4666
114,State University of New York at Albany,2896.95357143,0.0,0.0
115,Brigham Young University,83074.0833333,9303.77267944,560859166.846
116,Kansas State University,3878.23333333,0.0,0.0
117,University of Alabama In Huntsville,1197.8,0.0,0.0
118,University of Memphis,14213.2833333,528.857395762,6967917.11652
119,Temple University,10704.85,14.5942198534,59295.5179189
120,University of Louisiana at Lafayette,6421.15,0.0,0.0
121,University of Alabama at Birmingham,6807.83333333,24.9807586401,124304.254993
122,Oregon Health and Science University,4220.66666667,12.9159726804,59813.8694828
123,Western Michigan University,806.75,0.0,0.0
124,Southern Methodist University,2828.58333333,0.0,0.0
125,University of Southern Mississippi,5960.33333333,28.8739035088,128171.257675
126,Universidade de Brasília,776.5,0.0,0.0
127,Universidade Federal de Uberlândia,1014.41666667,0.0,0.0
128,USP - São Carlos,10649.7142857,26.8356481481,147542.393519
129,Universidade de São Paulo,15795.35,41.839292517,177816.993197
130,Universidade do Vale do Rio dos Sinos,819.333333333,0.0,0.0
131,Universidade de Fortaleza,948.125,0.0,0.0
132,Universidade Federal de Campina Grande,3163.33333333,0.0,0.0
133,Universidade Federal da Bahia,704.732142857,0.0,0.0
134,Universidade Federal do Amazonas,2869.23333333,0.0,0.0
135,Universidade Federal de Minas Gerais,31228.85,679.719123155,8174769.26512
136,Universidade Federal do Espírito Santo,1204.41666667,0.0,0.0
137,Universidade Federal de Pernambuco,9155.50833333,5.38543611084,1954.91330824
138,Universidade Federal de Mato Grosso do Sul,368.033333333,0.0,0.0
139,Universidade Federal de São Carlos,38299.1488095,1599.67003764,26264449.0411
140,Universidade Federal de Santa Catarina,1630.0,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1437.16666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,4012.37380952,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,5201.08333333,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,38091.6916667,143.827579699,1804109.93788
145,Pontifícia Universidade Católica do Paraná,1064.41666667,0.0,0.0
146,Universidade Estadual de Campinas,13159.4083333,12.658028181,86504.9645891
147,Universidade Federal do Ceará,968.416666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,16283.1666667,30.7715361672,157126.07949
149,Universidade Federal do Paraná,2408.45,0.0,0.0
150,Universidade Federal Fluminense,8085.06666667,39.4728843416,219311.345402
151,Imperial College London,49605.4081807,276.122436533,1406055.31449
152,University of Oxford,67557.1,1366.98218643,19650543.1046
153,University of Cambridge,104063.233333,4074.41601545,160866560.392
154,ETH Zurich,108063.177918,7263.50129539,250280249.001
155,École Polytechnique ParisTech,2362.45,0.0,0.0
156,University of Texas at Arlington,13940.3285714,4.80828340672,32571.3117971
157,Ecole Normale Superieure,5593.4,0.0,0.0
158,IIIT Bangalore,6631.16666667,0.0,0.0
159,Nanyang Technological University,81596.25,3079.14012889,82641089.8329
160,University of Waterloo,144454.25293,19495.6541014,898134472.203
161,Western University,10228.2833333,34.79096755,113477.031054
162,University of Nebraska,21022.1463203,202.7226334,1255570.97408
163,Victoria University of Wellington,13509.6666667,19.3234344247,112539.682089
164,University of Queensland,41301.8333333,710.753125084,11606183.2041
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,399.0,0.0,0.0
167,University of Pittsburgh,52206.2388889,7572.23792174,369604491.628
168,University of Michigan,268818.540551,28254.2639933,1987792996.01
169,IIT Madras,4329.66666667,0.0,0.0
170,City University of New York,,,
171,University of British Columbia,216583.696499,15457.2466354,982204687.961
172,Queen’s University,210472.219048,30134.7311124,4936726333.58
173,Virginia Commonwealth University,1749.16666667,0.0,0.0
174,Polytechnic University of Catalonia,3665.25,0.0,0.0
175,Emory University,16161.3166667,176.031106977,2505274.71449
176,Ecole Normale Superieure de Cachan,2094.50532581,0.0,0.0
177,Georgetown University,4459.65,0.0,0.0
178,Binghamton University,3515.5,0.0,0.0
179,University of Otago,1746.66666667,0.0,0.0
180,VU Amsterdam,78615.6,1151.98148081,42015500.3021
181,McMaster University,2854.25,0.0,0.0
182,Monash University,23501.2666667,35.3675401622,165183.525665
183,Tel Aviv University,17932.2,49.1327044025,687906.99434
184,Boise State University,16253.8833333,1048.02405981,19965906.3635
185,Drexel University,81619.5699467,11167.2655263,645568453.794
186,Boston College,13353.5833333,87.4529553837,1589282.55819
187,University of Bristol,116690.266667,15334.9661899,518376976.36
188,University of Kent,19510.0628205,203.541583752,1299002.5665
189,Politecnico di Milano,40434.0014797,198.716308335,2948216.76709
190,Australian National University,59636.7666667,1922.93041793,38294072.2296
191,Toyota Technological Institute at Chicago,1936.91666667,0.0,0.0
192,Technion-Israel Institute of Technology,22426.802381,0.0,0.0
193,TU Delft,54308.8690476,416.131024051,7466061.74597
194,University of Minnesota,246945.916667,25070.3920556,1983260190.23
195,New Mexico State University,15610.0833333,26.0149819024,90334.6381688
196,Pennsylvania State University,163328.454113,8292.59304628,1294932129.45
197,TU Dresden,96314.15,6725.2962984,547308251.856
198,University of Salerno,27056.1833333,275.748108747,2514122.25851
199,Washington University in St. Louis,30500.5166667,2728.22845016,82073296.4661
200,McGill University,11215.5457875,0.0,0.0
201,Naval Postgraduate School,39456.25,512.603953526,4277009.50272
202,University of Edinburgh,90195.5257937,2177.53914197,40602516.9549
203,RWTH Aachen,243217.75,39487.4367544,8608631502.33
204,University of Bath,105554.3,5327.99259548,179680900.135
205,IIT Kharagpur,15338.0833333,222.215775603,1469735.61639
206,University of Melbourne,159032.7,12701.8440054,652878051.508
207,IMDEA Software Institute,2822.16282051,0.0,0.0
208,University of Sydney,47415.9333333,351.489345402,8166633.73531
209,University of North Carolina,61682.5990196,461.872971671,8172378.28379
210,IIIT Delhi,24399.7916667,895.063812197,10608808.0377
211,University of Nevada,23062.2333333,922.292966232,13462722.9126
212,Concordia University,9075.31666667,39.1415187044,191636.875577
213,IISc Bangalore,4760.41666667,0.0,0.0
214,Rochester Institute of Technology,87410.4880952,7412.86156565,291192377.582
215,DIKU,200296.916667,34371.2045029,3114927727.37
216,Chulalongkorn Uniersity,47.0,0.0,0.0
217,Worcester Polytechnic Institute,30478.3722222,413.091237535,3747439.79382
218,IST Austria,3517.41078431,0.0,0.0
219,University College London,535456.033333,70751.165612,6709211938.65
220,Columbia University,132526.763095,5195.27207504,449370170.184
221,Massey University,7479.40401265,704.884401699,9084550.1691
222,University of Miami,1905.25,0.0,0.0
223,IIT Roorkee,763.5,0.0,0.0
224,University of Tartu,2387.41666667,0.0,0.0
225,University of Victoria,17093.2544872,29.0967937001,401448.46268
226,Carleton University,40043.0833333,679.000846354,14408205.514
227,Athens University of Economics and Business,5582.28333333,0.0,0.0
228,Texas A&M University,179855.455013,12278.1550373,733794721.487
229,EPFL,72574.2390756,615.512251749,8452063.88834
230,Bar-Ilan University,17686.7,18.0423209403,192728.072285
231,University of Maryland-College Park,360552.546682,24782.7862281,2731599519.93
232,IIT Kanpur,2598.1,0.0,0.0
233,University of Adelaide,8295.15,0.0,0.0
234,University of Warsaw,2153.71666667,0.0,0.0
235,Stony Brook University,108863.1,30191.3584112,1541545981.37
236,University of Notre Dame,26094.8166667,613.636221426,7642390.80359
237,University of Western Australia,2967.75,0.0,0.0
238,IIT Hyderabad,690.0,0.0,0.0
239,IIT Bombay,6031.29859944,0.0,0.0
240,IIIT Hyderabad,21199.9166667,272.277059054,2216300.72566
241,University of Maryland-Baltimore County,27347.0499223,322.599511849,1476718.23187
242,University of New South Wales,,,
243,University of Alberta,48724.8128205,346.178288892,7514054.68776
244,Aarhus University,161666.988095,16113.0744715,636645107.06
245,University of Zurich,116488.111905,23308.1330731,1488201746.17
246,Max Planck Institute,38897.3479729,184.399390404,1112728.86987
247,TU Darmstadt,93699.3833333,2737.46875632,221827787.14
248,University of Athens,21074.1372586,238.614309652,2039305.75061
249,Stevens Institute of Technology,4344.72083333,12.0076084997,51404.5719873
250,University of Calgary,362742.75,46735.5000465,4825289730.59
251,University of Massachusetts Lowell,48408.4333333,2600.47468813,60602187.3389
252,Rutgers University,17440.4882353,17.3773124781,78997.2625254
253,Ecole Normale Superieure de Lyon,4048.76666667,0.0,0.0
254,Colorado State University,18746.3,2805.03775316,61924013.4388
255,IIT Delhi,3751.86666667,6.78462905787,12381.9480306
256,BITS Pilani,3327.5,0.0,0.0
257,University of Auckland,36487.7,820.625559624,23347110.3209
258,National University of Singapore,152961.522409,31683.2905952,3638721290.7
259,University of Canterbury,139460.583333,17580.8674562,2395868483.97
260,Chennai Mathematical Institute,,,
261,University of Montreal,15471.0583333,17.8897263763,108662.198009
262,George Mason University,18723.575,192.884831002,1010689.83345
263,University of Luxembourg,10142.0,0.0,0.0
264,Hebrew University of Jerusalem,49284.3111111,12436.8312382,428765592.0
265,Simon Fraser University,35419.1439394,6224.50867739,249602797.963
266,Indiana University,378823.819048,67298.5996565,6866241778.53
267,University of Toronto,536802.773427,81096.8947001,12245461707.1
268,University at Buffalo,16288.649359,30.691227346,131818.821451
269,TU Munich,45079.8333333,85.8995632454,954859.423563
270,University of Waikato,40454.9166667,626.911129416,12831964.002
