,Name,Information retrieval pscore norm,Information retrieval year norm,Information retrieval year combined norm
100,New Jersey Institute of Technology,0.0915567282322,0.0,0.0
101,University of South Carolina Columbia,18.2122192905,0.278305123481,3889.35477557
102,College of William and Mary,5.82027892951,0.0,0.0
103,Florida International University,51.3420316623,0.49385228046,40935.0202579
104,George Washington University,12.6040985048,0.0190656042962,127.378142239
105,Old Dominion University,25.6457519789,0.338667967638,7188.68368373
106,Texas Tech University,5.49499120493,0.0,0.0
107,University of Kansas,31.4133318675,0.332465716621,4706.11588323
108,University of Arkansas Main Campus,9.33760773967,0.163322548293,2491.01262549
109,University of Alabama,4.88546174142,0.00350852771838,1.62093980589
110,Mississippi State University,5.5472119613,0.0,0.0
111,University of Houston,22.614467898,0.00687533791098,18.150892085
112,University of North Texas,9.99359718558,0.0,0.0
113,Clemson University,6.32070067429,0.0,0.0
114,State University of New York at Albany,15.976106923,0.426436174771,8306.12381218
115,Brigham Young University,14.7324318382,0.0531249776742,584.534129349
116,Kansas State University,4.43562005277,0.0,0.0
117,University of Alabama In Huntsville,1.97659630607,0.0,0.0
118,University of Memphis,4.84240105541,0.0114411428262,48.9537355411
119,Temple University,14.8639753738,0.0,0.0
120,University of Louisiana at Lafayette,22.3684432718,0.477035349276,16098.3742403
121,University of Alabama at Birmingham,7.13315743184,0.0,0.0
122,Oregon Health and Science University,8.90439753738,0.0427830930799,326.401584095
123,Western Michigan University,1.33509234828,0.0,0.0
124,Southern Methodist University,4.1055408971,0.0,0.0
125,University of Southern Mississippi,3.69415127529,0.0,0.0
126,Universidade de Brasília,1.85576077397,0.00595871660957,3.01497210813
127,Universidade Federal de Uberlândia,2.35,0.0,0.0
128,USP - São Carlos,18.6561446162,0.00405867195281,7.61118818558
129,Universidade de São Paulo,4.4817766051,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,1.00501319261,0.0,0.0
131,Universidade de Fortaleza,2.53756596306,0.0,0.0
132,Universidade Federal de Campina Grande,3.1991644679,0.0,0.0
133,Universidade Federal da Bahia,0.598872659882,0.0,0.0
134,Universidade Federal do Amazonas,16.0891380827,1.31802793602,34367.9942112
135,Universidade Federal de Minas Gerais,53.8219613017,2.16796843727,78929.8581864
136,Universidade Federal do Espírito Santo,2.60026385224,0.0,0.0
137,Universidade Federal de Pernambuco,11.7594349164,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,0.436587510994,0.00147717278324,0.518487646918
139,Universidade Federal de São Carlos,4.81417608996,0.00484419844385,11.2336961913
140,Universidade Federal de Santa Catarina,2.26363236588,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,2.11132805629,0.0,0.0
142,Universidade Federal do Rio de Janeiro,7.63612639779,0.0157748460862,12.635651715
143,Pontifícia Universidade Católica do Rio Grande do Sul,4.43786279683,0.00686985876145,12.3657457706
144,Pontifícia Universidade Católica do Rio de Janeiro,13.4122141601,0.0464081646875,144.069482549
145,Pontifícia Universidade Católica do Paraná,2.68082673703,0.0,0.0
146,Universidade Estadual de Campinas,14.1024824099,0.0200675782256,108.8851779
147,Universidade Federal do Ceará,3.35584872471,0.0153118485832,52.4890169431
148,Universidade Federal do Rio Grande do Sul,13.9225373791,0.0263459605478,106.674794258
149,Universidade Federal do Paraná,3.4855760774,0.0,0.0
150,Universidade Federal Fluminense,4.56935795954,0.00127780462617,1.18580269309
151,Imperial College London,35.5417649911,0.0989132123743,591.425712756
152,University of Oxford,53.4596745822,0.175214488067,1532.53112945
153,University of Cambridge,21.2774318382,0.0672058981557,375.851967458
154,ETH Zurich,53.8888706664,0.318677611217,4266.71002814
155,École Polytechnique ParisTech,4.73972735268,0.00175623645488,0.97119875955
156,University of Texas at Arlington,49.163360975,0.330042432286,10322.2540151
157,Ecole Normale Superieure,11.7181794195,0.0,0.0
158,IIIT Bangalore,4.31653474055,0.00836273186517,22.0525239284
159,Nanyang Technological University,107.393403694,2.88392327013,146647.168953
160,University of Waterloo,137.069108508,15.9547679916,1289787.11298
161,Western University,11.703289358,0.0037054442484,3.77503109405
162,University of Nebraska,11.6957479811,0.012792217895,116.440707109
163,Victoria University of Wellington,9.57585751979,0.0,0.0
164,University of Queensland,40.4304485488,0.290522971605,5286.99514615
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1.5654353562,0.0,0.0
167,University of Pittsburgh,24.2643125183,0.0669590200996,735.843119358
168,University of Michigan,82.6066681193,0.68534873424,15440.7437093
169,IIT Madras,16.6004485488,0.292938189406,2015.51587945
170,City University of New York,,,
171,University of British Columbia,34.3889816929,0.0532035837347,724.266048324
172,Queen’s University,16.368263601,0.00896499942181,42.1609118439
173,Virginia Commonwealth University,4.1073878628,0.0,0.0
174,Polytechnic University of Catalonia,8.88389621812,0.0,0.0
175,Emory University,41.6672647318,5.73509806652,389214.380011
176,Ecole Normale Superieure de Cachan,7.26163882662,0.00497219582521,55.4797610177
177,Georgetown University,54.9547581354,3.71541636894,207862.687681
178,Binghamton University,18.415769569,0.155941881841,2678.91904701
179,University of Otago,15.5206860158,2.21198509668,61917.7759915
180,VU Amsterdam,120.673966579,13.8264737903,2607340.41745
181,McMaster University,4.58941952507,0.0,0.0
182,Monash University,37.4030870712,1.99957524359,38778.3423342
183,Tel Aviv University,21.831736399,0.00699260599785,22.579124767
184,Boise State University,4.0907299912,0.02244959212,150.524515164
185,Drexel University,9.6414354467,0.0,0.0
186,Boston College,4.16583113456,0.00454014802685,8.36749281348
187,University of Bristol,9.38473175022,0.0159241864873,22.0072257254
188,University of Kent,4.27511805697,0.0,0.0
189,Politecnico di Milano,40.125482226,0.063272873695,427.184147741
190,Australian National University,46.5583773087,0.161264873835,653.982768027
191,Toyota Technological Institute at Chicago,5.07636763412,0.0,0.0
192,Technion-Israel Institute of Technology,45.7842894836,0.100403513703,655.544457231
193,TU Delft,61.8574274406,3.45459291738,106909.127229
194,University of Minnesota,62.9843742933,0.201924117315,2700.52211651
195,New Mexico State University,6.19555848725,0.0,0.0
196,Pennsylvania State University,82.8505179956,0.892041828234,61957.4688591
197,TU Dresden,19.4647757256,0.0,0.0
198,University of Salerno,13.2274494283,0.0,0.0
199,Washington University in St. Louis,12.9562972735,0.0,0.0
200,McGill University,16.4158838567,0.0156800498175,29.9953113541
201,Naval Postgraduate School,8.6689533861,0.0164936080614,76.1015075953
202,University of Edinburgh,60.9653245801,0.209332217242,1919.4544329
203,RWTH Aachen,32.6141512753,0.0143831141179,237.883408829
204,University of Bath,5.53971855761,0.0184755583221,51.0294920858
205,IIT Kharagpur,17.2105101143,0.148654365428,1359.32328315
206,University of Melbourne,120.714863676,9.70791637674,676913.667884
207,IMDEA Software Institute,0.886138285637,0.0,0.0
208,University of Sydney,23.397299912,0.124888801963,1027.87274759
209,University of North Carolina,14.2786802214,0.00555022988372,7.59135959647
210,IIIT Delhi,4.35718997361,0.00822344742108,32.1207856267
211,University of Nevada,2.45528583993,0.0,0.0
212,Concordia University,17.8672295515,0.0950321787866,723.848392494
213,IISc Bangalore,14.9627704485,0.146812492494,1033.21834388
214,Rochester Institute of Technology,11.0133999246,0.0738961469466,320.192004719
215,DIKU,16.259533861,1.86349791255,31228.2491079
216,Chulalongkorn Uniersity,0.0274406332454,0.0,0.0
217,Worcester Polytechnic Institute,33.8564849018,0.0734878566536,539.730416066
218,IST Austria,4.11068039881,0.0,0.0
219,University College London,83.6777748461,5.39987054334,240555.465148
220,Columbia University,73.4834520668,0.301718774983,5632.46296353
221,Massey University,2.94196542244,0.0,0.0
222,University of Miami,7.76987686895,0.076325600162,1560.55322091
223,IIT Roorkee,1.83056288478,0.0,0.0
224,University of Tartu,5.5864116095,0.0,0.0
225,University of Victoria,10.5909316014,0.0145421114218,70.2098649782
226,Carleton University,15.5339577836,0.00287368098997,23.1848582271
227,Athens University of Economics and Business,27.8118381706,0.395121931677,4186.04706205
228,Texas A&M University,53.2422724026,1.01699037348,27928.3211701
229,EPFL,48.4526029726,0.113426668255,3689.65609166
230,Bar-Ilan University,45.7555189094,0.957926402824,18283.674593
231,University of Maryland-College Park,63.5424571489,0.0878632630776,1289.12241608
232,IIT Kanpur,8.02834652595,0.00348598206647,2.76089779664
233,University of Adelaide,18.6292436236,0.0629828836575,926.546559063
234,University of Warsaw,9.62383465259,0.0437527030983,88.5781210936
235,Stony Brook University,34.0330518909,0.431565397569,3828.23128207
236,University of Notre Dame,22.7722867194,0.126882228541,1315.1030289
237,University of Western Australia,5.03654353562,0.0,0.0
238,IIT Hyderabad,1.64729111697,0.0,0.0
239,IIT Bombay,31.9528052593,0.381485646428,5442.42163276
240,IIIT Hyderabad,30.8626649077,1.01619907212,29437.2547213
241,University of Maryland-Baltimore County,27.5488711347,0.0159143471734,214.158122224
242,University of New South Wales,,,
243,University of Alberta,69.1087284352,0.175353166569,1787.22810702
244,Aarhus University,12.3568073879,0.0,0.0
245,University of Zurich,10.7102387235,0.0,0.0
246,Max Planck Institute,58.7763532454,1.0150809136,80127.0337943
247,TU Darmstadt,22.3261477573,0.0435680854426,598.015540785
248,University of Athens,27.5965951099,0.0804758453724,973.452856904
249,Stevens Institute of Technology,5.00298372911,0.0,0.0
250,University of Calgary,17.4489665787,0.0,0.0
251,University of Massachusetts Lowell,8.21122251539,0.0,0.0
252,Rutgers University,33.0018627451,0.137578707254,1180.16720508
253,Ecole Normale Superieure de Lyon,8.31273526825,0.0,0.0
254,Colorado State University,5.95197009675,0.0,0.0
255,IIT Delhi,11.8971943712,0.176925941111,1313.92139722
256,BITS Pilani,2.1562005277,0.0,0.0
257,University of Auckland,12.6776605101,0.0199177248869,83.4967758124
258,National University of Singapore,171.075021618,3.06369501646,170459.91411
259,University of Canterbury,5.16684256816,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,57.2158091469,4.82027137048,402948.462759
262,George Mason University,27.9142568162,0.027074872975,116.778268714
263,University of Luxembourg,8.10853122252,0.0,0.0
264,Hebrew University of Jerusalem,36.4028393433,0.125073243399,985.822412617
265,Simon Fraser University,63.431025026,0.496386892293,13258.8603214
266,Indiana University,26.9673321607,0.0350142891959,149.217800143
267,University of Toronto,56.5892565394,0.0806579081279,1145.5574006
268,University at Buffalo,44.2506193762,0.372708313824,6947.32202169
269,TU Munich,29.7596745822,0.0482305517989,597.984375345
270,University of Waikato,21.6157871592,0.051884961965,731.660029794
