,Name,Computer network pscore norm,Computer network year norm,Computer network year combined norm
98,Syracuse University Main Campus,64.1094479167,0.857098429212,54838.2567197
99,New Mexico State University Main Campus,0.10265625,0.0,0.0
100,New Jersey Institute of Technology,0.0240625,0.0,0.0
101,University of South Carolina Columbia,16.0535564236,1.19637261522,35939.4847904
102,College of William and Mary,50.3931123512,4.32441857621,316560.994041
103,Florida International University,36.7917682292,0.451251551515,15994.9959587
104,George Washington University,48.403359375,3.14095228898,299907.525578
105,Old Dominion University,26.2294895833,0.518573649763,11066.8530232
106,Texas Tech University,3.15833072917,0.0116001388889,52.8270325
107,University of Kansas,47.921140625,0.872564150614,15624.8273998
108,University of Arkansas Main Campus,1.91523958333,0.0,0.0
109,University of Alabama,44.4878177083,0.406664194231,40652.8794192
110,Mississippi State University,6.06775,0.00336052471739,7.34610703221
111,University of Houston,9.744,0.049548584865,324.341216204
112,University of North Texas,8.61335416667,0.0289319227152,319.285612033
113,Clemson University,12.1372482639,0.117647794304,805.372560986
114,State University of New York at Albany,3.34599404762,0.0,0.0
115,Brigham Young University,8.2766015625,0.0960906516635,1409.16940664
116,Kansas State University,3.88766666667,0.0137058650763,52.0024814185
117,University of Alabama In Huntsville,1.15325,0.0,0.0
118,University of Memphis,16.1401388889,0.490609171177,9485.79332455
119,Temple University,25.2791979167,0.799961028168,52193.117883
120,University of Louisiana at Lafayette,27.9749739583,1.04045491829,28428.1937178
121,University of Alabama at Birmingham,2.82096354167,0.0223954050228,161.8515921
122,Oregon Health and Science University,1.23779017857,0.0,0.0
123,Western Michigan University,10.5,0.00559794817413,12.0411865226
124,Southern Methodist University,14.516875,0.386289555116,3199.99289477
125,University of Southern Mississippi,4.251328125,0.0,0.0
126,Universidade de Brasília,2.09291666667,0.0,0.0
127,Universidade Federal de Uberlândia,1.96291666667,0.0,0.0
128,USP - São Carlos,7.01905766369,0.00967224278323,41.4949472358
129,Universidade de São Paulo,1.99796875,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,0.600416666667,0.0,0.0
131,Universidade de Fortaleza,0.953157552083,0.0,0.0
132,Universidade Federal de Campina Grande,2.77453645833,0.0,0.0
133,Universidade Federal da Bahia,2.12224237351,0.0157395403268,96.420424042
134,Universidade Federal do Amazonas,4.65734895833,0.0,0.0
135,Universidade Federal de Minas Gerais,20.894015625,0.151807285558,1899.61182503
136,Universidade Federal do Espírito Santo,2.41236979167,0.0,0.0
137,Universidade Federal de Pernambuco,9.61813411458,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,0.73084375,0.0,0.0
139,Universidade Federal de São Carlos,6.37290904018,0.0150225558363,27.706706156
140,Universidade Federal de Santa Catarina,4.81510416667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,2.59988541667,0.00754177605319,27.5350243702
142,Universidade Federal do Rio de Janeiro,15.7417098214,0.483570479371,7704.05765305
143,Pontifícia Universidade Católica do Rio Grande do Sul,2.08223958333,0.00300112555758,2.84848425832
144,Pontifícia Universidade Católica do Rio de Janeiro,4.53341015625,0.00267092272936,13.3519427241
145,Pontifícia Universidade Católica do Paraná,4.26166666667,0.0,0.0
146,Universidade Estadual de Campinas,36.5715742187,0.0941136882411,673.854007806
147,Universidade Federal do Ceará,2.50663020833,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,11.8348307292,0.0,0.0
149,Universidade Federal do Paraná,3.38519270833,0.0,0.0
150,Universidade Federal Fluminense,5.619421875,0.0294401045384,147.27007635
151,Imperial College London,49.1274129941,1.21140088743,91299.9242843
152,University of Oxford,15.3285260417,0.160042656713,861.885558015
153,University of Cambridge,56.1345572917,2.75502205992,81926.6042512
154,ETH Zurich,35.3092595022,0.824664479902,16565.7332139
155,École Polytechnique ParisTech,16.047703125,0.435087189411,15495.2266115
156,University of Texas at Arlington,35.1506979167,0.709377034993,16358.0205036
157,Ecole Normale Superieure,57.6226041667,5.491435273,489232.861551
158,IIIT Bangalore,12.7864583333,0.327869226986,9851.87175591
159,Nanyang Technological University,139.209572917,5.62287918442,363239.592642
160,University of Waterloo,65.3225508242,2.12549005623,121243.574787
161,Western University,5.79715625,0.00113677307311,2.31560674993
162,University of Nebraska,54.6465053436,2.14589082518,85824.2461586
163,Victoria University of Wellington,27.3400260417,0.206789169268,6115.48169872
164,University of Queensland,18.8849791667,0.0253812037976,340.987631395
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,0.48265625,0.0,0.0
167,University of Pittsburgh,35.0322447917,0.513726731031,24386.6974914
168,University of Michigan,145.653235566,11.2323125058,1719478.82486
169,IIT Madras,37.8159404762,0.786409781143,42090.5253899
170,City University of New York,,,
171,University of British Columbia,12.029404988,0.0689302318378,261.813411574
172,Queen’s University,47.2637269345,0.229251247846,29018.8994953
173,Virginia Commonwealth University,13.1144010417,0.63413853196,10947.2932047
174,Polytechnic University of Catalonia,44.1600833333,0.700865099389,12459.9457416
175,Emory University,11.5288802083,0.30204050447,6033.53393597
176,Ecole Normale Superieure de Cachan,3.72357287751,0.0,0.0
177,Georgetown University,11.8181979167,0.300220550386,6731.15339229
178,Binghamton University,16.42125,0.966775699999,18476.2926345
179,University of Otago,3.59145833333,0.112695937225,509.910816516
180,VU Amsterdam,15.310484375,0.0384406729134,477.060084343
181,McMaster University,26.7570416667,1.904134548,109116.970106
182,Monash University,6.348359375,0.0,0.0
183,Tel Aviv University,55.5743928571,2.38204539408,172079.836277
184,Boise State University,2.314828125,0.00131057121933,1.52681547052
185,Drexel University,1.99250169015,0.0482139673291,59.6954591392
186,Boston College,2.339609375,0.0135651155174,147.249328941
187,University of Bristol,4.06878645833,0.0,0.0
188,University of Kent,6.22838141026,0.0212906327874,36.8115040895
189,Politecnico di Milano,102.255242978,3.12347922745,215418.086115
190,Australian National University,65.1459661458,0.274149221239,9339.77515044
191,Toyota Technological Institute at Chicago,1.34752604167,0.0,0.0
192,Technion-Israel Institute of Technology,260.920089286,23.491013806,2887132.44068
193,TU Delft,42.3765290179,0.938048878533,22348.8280533
194,University of Minnesota,87.0053493304,7.01972738676,892925.586153
195,New Mexico State University,6.26192708333,0.30338025919,8785.89230614
196,Pennsylvania State University,113.480764949,8.23136832631,867645.884411
197,TU Dresden,13.8649739583,0.0946699283772,1333.20819935
198,University of Salerno,13.1274114583,0.00454136827076,14.5142129933
199,Washington University in St. Louis,55.6762760417,4.79491106331,531376.130035
200,McGill University,40.845376345,2.21791483212,254631.292362
201,Naval Postgraduate School,4.372578125,0.0748786291344,173.71185331
202,University of Edinburgh,24.9389657738,1.84180220754,39340.4453791
203,RWTH Aachen,14.6058072917,0.179001125262,3102.44750304
204,University of Bath,1.327046875,0.0,0.0
205,IIT Kharagpur,13.65128125,0.239690919054,2375.3321482
206,University of Melbourne,15.062421875,0.0105911728979,78.6756521061
207,IMDEA Software Institute,1.60582932692,0.0039415652232,5.24622331208
208,University of Sydney,23.4273266369,0.436920182239,6286.42602064
209,University of North Carolina,19.759073223,0.482830967612,6972.50841256
210,IIIT Delhi,3.14701388889,0.00317579677139,4.36036896711
211,University of Nevada,9.484203125,0.210407605234,4255.78746713
212,Concordia University,16.4598645833,0.117558330099,3981.33484377
213,IISc Bangalore,15.2036041667,0.0392967061523,91.4560486441
214,Rochester Institute of Technology,14.5655394345,0.0853288572474,318.767813195
215,DIKU,7.73390625,0.120213460957,2107.72591741
216,Chulalongkorn Uniersity,0.01359375,0.0,0.0
217,Worcester Polytechnic Institute,16.9803125,0.55837319486,7636.80669348
218,IST Austria,2.30913130252,0.0,0.0
219,University College London,29.5344010417,0.994907997264,20218.5718995
220,Columbia University,95.1088761161,6.17352921684,406063.131139
221,Massey University,1.69698945152,0.0,0.0
222,University of Miami,7.83690104167,0.0950484948744,2082.67188162
223,IIT Roorkee,1.95994791667,0.0,0.0
224,University of Tartu,3.0190625,0.0,0.0
225,University of Victoria,42.6056626603,3.2283136585,299111.070064
226,Carleton University,16.4902604167,0.0404661606513,308.513604653
227,Athens University of Economics and Business,52.5743489583,2.7368895502,86036.0496327
228,Texas A&M University,65.793902471,5.16555111746,431679.979133
229,EPFL,136.224036575,10.2207949847,688672.871382
230,Bar-Ilan University,11.7205755208,0.148139418316,2537.46649784
231,University of Maryland-College Park,64.5562127757,2.61850510968,75873.0030584
232,IIT Kanpur,6.55309895833,0.0433493098589,298.238174598
233,University of Adelaide,12.0360625,0.0118441652847,322.410023214
234,University of Warsaw,5.39605208333,0.00728273088468,17.6242087409
235,Stony Brook University,47.12634375,3.61423610694,215986.378282
236,University of Notre Dame,24.6496041667,0.184778550596,2618.01981532
237,University of Western Australia,5.961796875,0.0178165760838,168.859229342
238,IIT Hyderabad,5.59316666667,0.0688053179378,717.742281585
239,IIT Bombay,18.2810154937,0.522113665069,7014.08481029
240,IIIT Hyderabad,7.50739583333,0.00574053405074,11.8312406786
241,University of Maryland-Baltimore County,33.557121892,0.0852206150813,946.853238987
242,University of New South Wales,,,
243,University of Alberta,31.462080443,0.156024746413,2023.50932639
244,Aarhus University,5.09850520833,0.0,0.0
245,University of Zurich,7.10629166667,0.00806007194446,122.582066661
246,Max Planck Institute,16.3064797403,1.13987150844,22457.0822688
247,TU Darmstadt,17.4448072917,0.16989772153,1503.58279436
248,University of Athens,66.8966185051,1.36683447605,99114.1110499
249,Stevens Institute of Technology,7.46835026042,0.0611103581856,499.037684489
250,University of Calgary,48.2880703125,5.58137346663,439827.968841
251,University of Massachusetts Lowell,28.0224010417,2.15748192568,123269.843554
252,Rutgers University,32.8671275604,0.661167478588,10337.7051814
253,Ecole Normale Superieure de Lyon,39.691109375,1.38403173982,62929.2425258
254,Colorado State University,15.0597899306,0.983326244773,33946.5165772
255,IIT Delhi,16.6644895833,0.464517721337,6475.67306189
256,BITS Pilani,2.44916666667,0.022989504107,63.5669145313
257,University of Auckland,5.69003472222,0.0688884255813,294.885684005
258,National University of Singapore,51.5029046306,2.28864647936,67710.2147115
259,University of Canterbury,6.412109375,0.0207501284139,190.970423717
260,Chennai Mathematical Institute,,,
261,University of Montreal,18.48328125,0.0,0.0
262,George Mason University,37.1348107639,1.38584984417,47820.5353704
263,University of Luxembourg,30.4123020833,0.0640584146669,666.63203181
264,Hebrew University of Jerusalem,28.7584053819,1.86106205538,74795.734376
265,Simon Fraser University,60.3389086174,3.64002544684,477380.177196
266,Indiana University,18.2946324405,0.394703811121,6492.1922077
267,University of Toronto,29.9021632916,2.76038086214,111311.342932
268,University at Buffalo,139.564346955,8.20111354227,1002399.22774
269,TU Munich,24.1176822917,0.500685773945,11669.7972601
270,University of Waikato,2.70247395833,0.195605686198,683.845397611
