,Name,Computer security pscore,Computer security year,Computer security year combined
92,North Dakota State University Main Campus,8153.98333333,0.0,0.0
93,City University of New York Grad. Center,1715.66666667,0.0,0.0
94,State University of New York at Binghamton,6265.66666667,39.6143436599,169113.633084
95,University of North Carolina at Charlotte,56397.247619,1067.99777698,8731218.23765
96,Case Western Reserve University,22430.8321429,14.044011544,56204.1341991
97,University of New Mexico Main Campus,5873.98333333,43.118892638,115729.653404
98,Syracuse University Main Campus,37017.6166667,544.656811679,6066304.91967
99,New Mexico State University Main Campus,121.166666667,0.0,0.0
100,New Jersey Institute of Technology,79.5,0.0,0.0
101,University of South Carolina Columbia,20586.4194444,997.221441851,8423805.23021
102,College of William and Mary,40305.597619,2369.17354576,36729102.7954
103,Florida International University,29475.2833333,347.162169837,2131459.75038
104,George Washington University,30619.3833333,893.208128336,6071907.49127
105,Old Dominion University,21264.7333333,58.0152787043,295181.738048
106,Texas Tech University,4969.05,0.0,0.0
107,University of Kansas,27719.3583333,156.363083969,415092.535038
108,University of Arkansas Main Campus,7108.23333333,0.0,0.0
109,University of Alabama,16599.1333333,65.0557183191,90594.762594
110,Mississippi State University,12419.8666667,0.0,0.0
111,University of Houston,15440.2333333,88.8790235803,55360.6247963
112,University of North Texas,18545.1833333,117.672499831,2079979.10702
113,Clemson University,20181.15,979.13717567,11772249.7207
114,State University of New York at Albany,13207.5869048,24.4233726242,94249.794957
115,Brigham Young University,17449.3333333,640.115256537,6905145.7123
116,Kansas State University,12050.4333333,487.286778351,3149543.75504
117,University of Alabama In Huntsville,2984.1,6.44700994626,6318.06974733
118,University of Memphis,7667.07777778,18.5518018018,13561.3671171
119,Temple University,12077.45,0.0,0.0
120,University of Louisiana at Lafayette,25697.7333333,93.7123196497,289419.25309
121,University of Alabama at Birmingham,23173.5,2492.22906948,40513049.9633
122,Oregon Health and Science University,1093.16666667,0.0,0.0
123,Western Michigan University,3416.0,0.0,0.0
124,Southern Methodist University,19744.3333333,1091.87580568,7578635.80309
125,University of Southern Mississippi,3201.33333333,3.0711564053,8083.28365876
126,Universidade de Brasília,2994.16666667,0.0,0.0
127,Universidade Federal de Uberlândia,2136.41666667,0.0,0.0
128,USP - São Carlos,13278.8595238,0.0,0.0
129,Universidade de São Paulo,7988.45,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,887.666666667,0.0,0.0
131,Universidade de Fortaleza,1910.25,0.0,0.0
132,Universidade Federal de Campina Grande,5738.38333333,0.0,0.0
133,Universidade Federal da Bahia,2373.02142857,0.0,0.0
134,Universidade Federal do Amazonas,3281.63333333,0.0,0.0
135,Universidade Federal de Minas Gerais,14738.65,4.05627548732,6688.73415724
136,Universidade Federal do Espírito Santo,4096.91666667,0.0,0.0
137,Universidade Federal de Pernambuco,16275.4833333,17.4421383075,22779.4326296
138,Universidade Federal de Mato Grosso do Sul,698.966666667,0.0,0.0
139,Universidade Federal de São Carlos,5372.5547619,0.0,0.0
140,Universidade Federal de Santa Catarina,8021.16666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4649.96666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,13710.5714286,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,5801.0,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,13854.35,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,4165.08333333,0.0,0.0
146,Universidade Estadual de Campinas,30997.0833333,25.1976708438,16846.054494
147,Universidade Federal do Ceará,3448.31666667,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,17013.8333333,0.0,0.0
149,Universidade Federal do Paraná,4492.36666667,0.0,0.0
150,Universidade Federal Fluminense,5127.36666667,0.0,0.0
151,Imperial College London,76119.3616606,1161.99177624,5416678.53538
152,University of Oxford,100222.5,4561.79510915,43848592.035
153,University of Cambridge,71476.65,1400.81028578,14818848.6697
154,ETH Zurich,193334.561485,12151.3924657,494635573.071
155,École Polytechnique ParisTech,47494.0833333,660.974345383,5890603.36605
156,University of Texas at Arlington,29509.0547619,13.3780734429,7625.50186246
157,Ecole Normale Superieure,229789.738889,7008.78822318,347475122.368
158,IIIT Bangalore,24826.0833333,426.815533837,10135333.8184
159,Nanyang Technological University,86736.15,178.499672031,1107856.65652
160,University of Waterloo,202912.330952,10861.2052134,322130040.867
161,Western University,14102.1,315.230658788,1458257.02755
162,University of Nebraska,21133.8166667,13.2273742995,11812.0452495
163,Victoria University of Wellington,16119.5833333,26.9849343159,36007.879035
164,University of Queensland,35072.2833333,0.0,0.0
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,1210.5,0.0,0.0
167,University of Pittsburgh,37183.2,1748.69771301,28386861.4918
168,University of Michigan,176077.149478,5137.99912361,90604175.874
169,IIT Madras,97387.0,403.500582119,32799754.5873
170,City University of New York,,,
171,University of British Columbia,35485.1522409,260.657111109,2520176.21361
172,Queen’s University,31585.0404762,33.3751721105,155888.789003
173,Virginia Commonwealth University,20897.6547619,221.729234987,6303316.23725
174,Polytechnic University of Catalonia,22822.1833333,4.47819195709,12082.1619002
175,Emory University,9624.78333333,3.33391636168,5947.70678925
176,Ecole Normale Superieure de Cachan,38133.4702381,492.005385336,3133849.42651
177,Georgetown University,38539.65,1409.22381221,16211734.3637
178,Binghamton University,17566.7166667,483.172976597,4122369.94277
179,University of Otago,4291.83333333,21.1670291122,49234.5097149
180,VU Amsterdam,38798.1666667,1491.14381703,7738302.1859
181,McMaster University,54648.2166667,4066.02180342,170120685.608
182,Monash University,92806.1,3922.90446694,181038160.223
183,Tel Aviv University,109903.77619,849.707174612,24223407.9399
184,Boise State University,5656.56666667,20.493640848,12752.3118152
185,Drexel University,13359.7131868,902.313271128,8117210.18707
186,Boston College,4168.58333333,0.0,0.0
187,University of Bristol,188994.866667,4456.5795588,275652637.974
188,University of Kent,23441.3705128,328.611709449,887189.74626
189,Politecnico di Milano,69159.0336081,623.73628345,3682569.64398
190,Australian National University,38423.9333333,5.35356629432,7591.35700535
191,Toyota Technological Institute at Chicago,4497.3,0.0,0.0
192,Technion-Israel Institute of Technology,203689.652381,205.498758414,6871055.41556
193,TU Delft,32454.55,337.584635678,996933.496911
194,University of Minnesota,78576.7238095,4714.78333217,103154984.763
195,New Mexico State University,4883.33333333,0.0,0.0
196,Pennsylvania State University,131879.838961,8115.01663874,175229993.504
197,TU Dresden,28655.7166667,109.268846226,506068.04262
198,University of Salerno,81554.6166667,1521.31257801,31836803.462
199,Washington University in St. Louis,21319.5166667,20.5289855072,16649.0072464
200,McGill University,42443.5738095,81.5119135262,1242721.10257
201,Naval Postgraduate School,23986.1666667,629.639578514,6293063.09017
202,University of Edinburgh,99764.4452381,3234.99050422,141696251.495
203,RWTH Aachen,38023.6166667,188.414249644,1099206.99653
204,University of Bath,10059.0333333,0.0,0.0
205,IIT Kharagpur,58253.8666667,168.802042905,625846.321666
206,University of Melbourne,32736.45,437.896384619,1697149.27477
207,IMDEA Software Institute,80629.4038462,6289.17161226,133129517.53
208,University of Sydney,24014.7333333,28.4884258094,24384.8916642
209,University of North Carolina,69164.8852941,7068.08933037,293805901.788
210,IIIT Delhi,57637.9027778,582.886454604,14552673.1034
211,University of Nevada,3933.4,0.0,0.0
212,Concordia University,11622.75,2.70565884676,965.920208292
213,IISc Bangalore,64228.6333333,699.875911961,34013171.5378
214,Rochester Institute of Technology,17600.8928571,95.1988304094,221729.982456
215,DIKU,14592.4666667,1.20051911443,164.471118678
216,Chulalongkorn Uniersity,61.5,0.0,0.0
217,Worcester Polytechnic Institute,28931.0,703.681926289,5621759.1977
218,IST Austria,42550.5879552,5.08687113817,22951.9625754
219,University College London,171212.716667,8681.94162788,180160799.36
220,Columbia University,163916.207143,7055.11231926,212279607.349
221,Massey University,1929.33333333,0.0,0.0
222,University of Miami,5904.41666667,0.0,0.0
223,IIT Roorkee,27520.9166667,0.0,0.0
224,University of Tartu,118077.166667,6078.56023997,289495443.909
225,University of Victoria,24398.9538462,49.6643432938,307273.291958
226,Carleton University,66516.0,4315.36531527,114328759.577
227,Athens University of Economics and Business,30679.3,242.809433893,2003436.82394
228,Texas A&M University,58096.0055138,3682.83306449,88283523.6094
229,EPFL,165910.065453,3129.92812176,68093458.1892
230,Bar-Ilan University,172766.216667,5899.37374841,310900254.575
231,University of Maryland-College Park,160869.559384,3300.56103649,370576329.417
232,IIT Kanpur,13676.7833333,0.0,0.0
233,University of Adelaide,17123.5833333,4.79315068493,29449.1178082
234,University of Warsaw,52160.35,712.17084325,21558123.596
235,Stony Brook University,91736.85,7505.13762648,94671573.5422
236,University of Notre Dame,19043.7166667,8.61956767815,17127.0809765
237,University of Western Australia,6440.41666667,0.0,0.0
238,IIT Hyderabad,2406.13333333,0.0,0.0
239,IIT Bombay,24136.4733894,0.0,0.0
240,IIIT Hyderabad,25175.9166667,93.0069887542,1522006.19957
241,University of Maryland-Baltimore County,27930.8393162,515.683940655,5200087.26047
242,University of New South Wales,,,
243,University of Alberta,32177.0228938,16.6342235956,26015.9257035
244,Aarhus University,181597.959524,4205.51051088,318336325.665
245,University of Zurich,11241.6214286,0.0,0.0
246,Max Planck Institute,41782.7971989,625.309456485,3337552.95584
247,TU Darmstadt,267435.35,19284.8609316,1468948490.53
248,University of Athens,39916.2352941,31.7922568268,141475.542879
249,Stevens Institute of Technology,69737.5166667,5813.53102335,207729581.408
250,University of Calgary,131172.133333,7757.95446261,458889166.21
251,University of Massachusetts Lowell,18107.1333333,318.720410643,2900732.16509
252,Rutgers University,71524.7981326,1582.42696945,22682255.3063
253,Ecole Normale Superieure de Lyon,105023.55,1268.69643279,27549431.4427
254,Colorado State University,24147.0888889,486.62051981,4172385.00203
255,IIT Delhi,13286.5166667,8.81989701221,9463.7494941
256,BITS Pilani,1966.0,2.57561471005,855.104083736
257,University of Auckland,28772.1166667,1175.36709911,13541547.1658
258,National University of Singapore,123140.854342,4731.0819048,71548882.8861
259,University of Canterbury,6591.08333333,0.0,0.0
260,Chennai Mathematical Institute,,,
261,University of Montreal,38755.2333333,282.974647128,3745755.08831
262,George Mason University,89106.7380952,4065.02432228,47140995.0642
263,University of Luxembourg,135736.083333,2291.06496527,80651823.0592
264,Hebrew University of Jerusalem,74942.8111111,42.7506042283,254289.900525
265,Simon Fraser University,40327.0333333,23.2750416426,126262.612142
266,Indiana University,64351.2130952,6527.62628683,127149215.471
267,University of Toronto,61720.5371795,155.822781673,2076269.78486
268,University at Buffalo,96858.875,2962.79117151,87982279.6205
269,TU Munich,46143.0833333,655.752053905,4344812.39062
270,University of Waikato,6923.75,0.0,0.0
