,Name,Machine learning pscore 5 years,Machine learning year 5 years,Machine learning year combined 5 years
90,University of Illinois at Chicago,57300.6833333,1783.52472122,48898494.9584
91,Brandeis University,8624.7,97.896109885,1451407.72516
92,North Dakota State University Main Campus,5094.65,2.56190027913,4480.76358821
93,City University of New York Grad. Center,1656.5,0.0,0.0
94,State University of New York at Binghamton,3286.58333333,15.8110768952,145114.063744
95,University of North Carolina at Charlotte,14264.5333333,35.5533133119,240463.710154
96,Case Western Reserve University,23766.0833333,1591.66575567,37814941.4485
97,University of New Mexico Main Campus,7453.23333333,193.565669066,3192651.18886
98,Syracuse University Main Campus,22576.4833333,24.3734661441,92010.5398602
99,New Mexico State University Main Campus,137.0,0.0,0.0
100,New Jersey Institute of Technology,56.0,0.0,0.0
101,University of South Carolina Columbia,12306.8,128.928653125,1146932.24767
102,College of William and Mary,4527.26666667,39.6253442226,125929.343939
103,Florida International University,15837.1833333,47.2870343521,1727631.80005
104,George Washington University,11034.75,865.366232114,12273489.2701
105,Old Dominion University,4155.13888889,4.7048128174,26196.3977673
106,Texas Tech University,6526.0,19.3485124429,24185.6405536
107,University of Kansas,15315.7833333,187.160482813,1144608.30968
108,University of Arkansas Main Campus,1108.93333333,0.0,0.0
109,University of Alabama,3098.8,0.0,0.0
110,Mississippi State University,7214.9047619,238.768369304,4859891.38881
111,University of Houston,14675.3666667,48.6574352683,364189.086864
112,University of North Texas,7538.75,21.774591645,114147.510669
113,Clemson University,3009.91666667,0.0,0.0
114,State University of New York at Albany,9218.53333333,375.601592151,5668954.83033
115,Brigham Young University,21399.0,1317.03482461,23195477.7629
116,Kansas State University,3135.43333333,8.93450025389,36079.0574981
117,University of Alabama In Huntsville,1507.75,0.0,0.0
118,University of Memphis,5425.26666667,19.2730738005,124812.425932
119,Temple University,25509.5833333,378.824427354,6370460.18767
120,University of Louisiana at Lafayette,8013.66666667,21.3010424276,147636.948283
121,University of Alabama at Birmingham,2282.16666667,0.0,0.0
122,Oregon Health and Science University,19559.5666667,1786.87688626,60199907.8091
123,Western Michigan University,774.75,0.0,0.0
124,Southern Methodist University,4325.33333333,14.5760611297,38218.4322822
125,University of Southern Mississippi,4642.33333333,15.9221986539,154938.915101
126,Universidade de Brasília,491.666666667,0.0,0.0
127,Universidade Federal de Uberlândia,705.75,0.0,0.0
128,USP - São Carlos,9625.29404762,19.9450598737,48304.5086393
129,Universidade de São Paulo,4331.91666667,15.4583371261,44860.0943399
130,Universidade do Vale do Rio dos Sinos,587.833333333,0.0,0.0
131,Universidade de Fortaleza,874.895833333,9.65322522964,19123.0391799
132,Universidade Federal de Campina Grande,631.166666667,0.0,0.0
133,Universidade Federal da Bahia,121.738690476,0.0,0.0
134,Universidade Federal do Amazonas,1016.2,0.0,0.0
135,Universidade Federal de Minas Gerais,6562.16666667,4.83960112904,5697.54745162
136,Universidade Federal do Espírito Santo,730.333333333,0.0,0.0
137,Universidade Federal de Pernambuco,9006.47083333,2.41500720324,15683.0567778
138,Universidade Federal de Mato Grosso do Sul,165.333333333,0.0,0.0
139,Universidade Federal de São Carlos,2019.55535714,0.0,0.0
140,Universidade Federal de Santa Catarina,577.583333333,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1626.28333333,0.0,0.0
142,Universidade Federal do Rio de Janeiro,4112.97619048,10.0617386813,27166.6944396
143,Pontifícia Universidade Católica do Rio Grande do Sul,749.5,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,3375.05416667,9.16181092862,30124.0343333
145,Pontifícia Universidade Católica do Paraná,1657.33333333,0.0,0.0
146,Universidade Estadual de Campinas,6485.22916667,5.03988354195,17473.2762399
147,Universidade Federal do Ceará,412.65,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,8202.53333333,27.4732721847,242909.60822
149,Universidade Federal do Paraná,2382.41666667,0.0,0.0
150,Universidade Federal Fluminense,6511.68333333,312.293590414,4621632.84454
151,Imperial College London,51211.3666667,625.634012897,10832825.3358
152,University of Oxford,58889.6333333,4641.06704718,218163925.437
153,University of Cambridge,14798.3619048,342.984999934,2532819.86623
154,ETH Zurich,93629.65,5875.65175132,298996092.496
155,École Polytechnique ParisTech,9055.08333333,33.0397222664,272268.522876
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
