,entity/cn,,entity/dcn,entity/f/0/fId,entity/f/0/fn,entity/f/1/fId,entity/f/1/fn,entity/f/2/fId,entity/f/2/fn,entity/f/3/fId,entity/f/3/fn,entity/f/4/fId,entity/f/4/fn,entity/f/5/fId,entity/f/5/fn,entity/f/6/fId,entity/f/6/fn,entity/f/7/fId,entity/f/7/fn,entity/f/8/fId,entity/f/8/fn,entity/f/9/fId,entity/f/9/fn,entity/f/10/fId,entity/f/10/fn,entity/f/11/fId,entity/f/11/fn,entity/f/12/fId,entity/f/12/fn,entity/f/13/fId,entity/f/13/fn,entity/f/14/fId,entity/f/14/fn,entity/f/15/fId,entity/f/15/fn,entity/f/16/fId,entity/f/16/fn,entity/f/17/fId,entity/f/17/fn,entity/f/18/fId,entity/f/18/fn,entity/e,entity/extended/dn,entity/extended/sn,entity/extended/pc,entity/ty,entity/id,entity/cc,entity/ecc,displayedTitle,publicationCount,citationCount,entity/f/19/fId,entity/f/19/fn
conf/,icassp,conf/icassp,"ICASSP: International Conference on Acoustics, Speech, and Signal Processing",104267543,Signal processing,46312422,Communication,11413529,Algorithm,49774154,Multimedia,9417928,Image processing,41008148,Computer Science,178980831,Pattern recognition,31972630,Computer vision,45374587,Computation,28490314,Speech recognition,119599485,Electrical engineering,77088390,Database,87868495,Information processing,115901376,Automation,119857082,Machine learning,154945302,Artificial intelligence,76155785,Telecommunications,52622258,Information theory,121017731,Information technology,"{""DN"":""International Conference on Acoustics, Speech, and Signal Processing"",""SN"":""ICASSP"",""PC"":38732}","International Conference on Acoustics, Speech, and Signal Processing",ICASSP,38732,3,1121227772,367565,367565,"ICASSP: International Conference on Acoustics, Speech, and Signal Processing",0,0,84462506,Digital signal processing
conf/,icpr,conf/icpr,ICPR: International Conference on Pattern Recognition,178980831,Pattern recognition,31972630,Computer vision,11413529,Algorithm,9417928,Image processing,41008148,Computer Science,104267543,Signal processing,49774154,Multimedia,46312422,Communication,154945302,Artificial intelligence,21442007,Graphics,115901376,Automation,77088390,Database,119857082,Machine learning,34413123,Robotics,45374587,Computation,90509273,Robot,115286129,Cybernetics,121017731,Information technology,36464697,Visualization,"{""DN"":""International Conference on Pattern Recognition"",""SN"":""ICPR"",""PC"":11697}",International Conference on Pattern Recognition,ICPR,11697,3,1131605622,118899,118899,ICPR: International Conference on Pattern Recognition,0,0,5339829,Machine vision
conf/,ismir,conf/ismir,ISMIR: International Symposium/Conference on Music Information Retrieval,23123220,Information retrieval,104267543,Signal processing,49774154,Multimedia,11413529,Algorithm,41008148,Computer Science,119857082,Machine learning,46312422,Communication,77088390,Database,154945302,Artificial intelligence,34259666,Computer music,45374587,Computation,178980831,Pattern recognition,87868495,Information processing,124101348,Data mining,36464697,Visualization,28490314,Speech recognition,121017731,Information technology,195324797,Natural language,95831776,Information science,"{""DN"":""International Symposium/Conference on Music Information Retrieval"",""SN"":""ISMIR"",""PC"":1550}",International Symposium/Conference on Music Information Retrieval,ISMIR,1550,3,1144674403,23388,23388,ISMIR: International Symposium/Conference on Music Information Retrieval,0,0,,
conf/,webdb,conf/webdb,WebDB: International Workshop on the Web and Databases,77088390,Database,41008148,Computer Science,1668388,Data management,136764020,World Wide Web,124246873,Semantics,124101348,Data mining,56739046,Knowledge management,11413529,Algorithm,72634772,Data integration,23123220,Information retrieval,45374587,Computation,2129575,Semantic Web,154945302,Artificial intelligence,49774154,Multimedia,46312422,Communication,128487930,Information management,75684735,Big data,119857082,Machine learning,518677369,Social media,"{""DN"":""International Workshop on the Web and Databases"",""SN"":""WebDB"",""PC"":286}",International Workshop on the Web and Databases,WebDB,286,3,1193254108,7019,7019,WebDB: International Workshop on the Web and Databases,0,0,,
conf/,edbt,conf/edbt,EDBT: Extending Database Technology,77088390,Database,41008148,Computer Science,1668388,Data management,124101348,Data mining,11413529,Algorithm,56739046,Knowledge management,49774154,Multimedia,45374587,Computation,124246873,Semantics,136764020,World Wide Web,23123220,Information retrieval,46312422,Communication,154945302,Artificial intelligence,84685590,Knowledge engineering,2129575,Semantic Web,115903868,Software Engineering,95831776,Information science,75684735,Big data,36464697,Visualization,"{""DN"":""Extending Database Technology"",""SN"":""EDBT"",""PC"":1552}",Extending Database Technology,EDBT,1552,3,1132593990,27421,27421,EDBT: Extending Database Technology,0,0,,
conf/,widm,conf/widm,WIDM: Web Information and Data Management,1668388,Data management,77088390,Database,41008148,Computer Science,124101348,Data mining,56739046,Knowledge management,154945302,Artificial intelligence,124246873,Semantics,136764020,World Wide Web,23123220,Information retrieval,11413529,Algorithm,49774154,Multimedia,45374587,Computation,128487930,Information management,2129575,Semantic Web,84685590,Knowledge engineering,87868495,Information processing,46312422,Communication,95831776,Information science,119857082,Machine learning,"{""DN"":""Web Information and Data Management"",""SN"":""WIDM"",""PC"":215}",Web Information and Data Management,WIDM,215,3,1175548354,3934,3934,WIDM: Web Information and Data Management,0,0,,
conf/,eacl,conf/eacl,EACL: Conference of the European Chapter of the Association for Computational Linguistics,195324797,Natural language,155092808,Computational linguistics,204321447,Natural language processing,124246873,Semantics,46312422,Communication,41008148,Computer Science,119857082,Machine learning,154945302,Artificial intelligence,23123220,Information retrieval,77088390,Database,11413529,Algorithm,203005215,Machine translation,195807954,Information extraction,49774154,Multimedia,71472368,Text mining,45374587,Computation,2129575,Semantic Web,36464697,Visualization,121017731,Information technology,"{""DN"":""Conference of the European Chapter of the Association for Computational Linguistics"",""SN"":""EACL"",""PC"":1280}",Conference of the European Chapter of the Association for Computational Linguistics,EACL,1280,3,1188587990,19601,19601,EACL: Conference of the European Chapter of the Association for Computational Linguistics,0,0,66402592,Sentiment analysis
conf/,hicss,conf/hicss,HICSS: Hawaii International Conference on System Sciences,46312422,Communication,41008148,Computer Science,121017731,Information technology,77088390,Database,49774154,Multimedia,11413529,Algorithm,115903868,Software Engineering,87868495,Information processing,45374587,Computation,95831776,Information science,154945302,Artificial intelligence,128487930,Information management,56739046,Knowledge management,76155785,Telecommunications,115901376,Automation,36464697,Visualization,124101348,Data mining,115286129,Cybernetics,120314980,Distributed computing,"{""DN"":""Hawaii International Conference on System Sciences"",""SN"":""HICSS"",""PC"":13517}",Hawaii International Conference on System Sciences,HICSS,13517,3,1164519180,125791,125791,HICSS: Hawaii International Conference on System Sciences,0,0,,
conf/,fois,conf/fois,FOIS: Formal Ontology in Information Systems,46312422,Communication,154945302,Artificial intelligence,124246873,Semantics,41008148,Computer Science,2129575,Semantic Web,45374587,Computation,77088390,Database,49774154,Multimedia,56739046,Knowledge management,195324797,Natural language,84685590,Knowledge engineering,23123220,Information retrieval,136764020,World Wide Web,87868495,Information processing,161301231,Knowledge representation and reasoning,115903868,Software Engineering,4554734,Knowledge base,124101348,Data mining,121017731,Information technology,"{""DN"":""Formal Ontology in Information Systems"",""SN"":""FOIS"",""PC"":226}",Formal Ontology in Information Systems,FOIS,226,3,1131777435,6251,6251,FOIS: Formal Ontology in Information Systems,0,0,,
conf/,gis,conf/gis,GIS: Advances in Geographic Information Systems,77088390,Database,62649853,Remote sensing,41008148,Computer Science,95831776,Information science,46312422,Communication,36464697,Visualization,11413529,Algorithm,49774154,Multimedia,124101348,Data mining,159620131,Spatial analysis,45374587,Computation,21442007,Graphics,1668388,Data management,121017731,Information technology,154945302,Artificial intelligence,41856607,Geographic information system,9417928,Image processing,128487930,Information management,136764020,World Wide Web,"{""DN"":""Advances in Geographic Information Systems"",""SN"":""GIS"",""PC"":1252}",Advances in Geographic Information Systems,GIS,1252,3,1140348717,14336,14336,GIS: Advances in Geographic Information Systems,0,0,,
conf/,doceng,conf/doceng,DocEng: Document Engineering,41008148,Computer Science,49774154,Multimedia,46312422,Communication,154945302,Artificial intelligence,56739046,Knowledge management,77088390,Database,11413529,Algorithm,23123220,Information retrieval,124101348,Data mining,124246873,Semantics,95831776,Information science,36464697,Visualization,136764020,World Wide Web,121017731,Information technology,115903868,Software Engineering,45374587,Computation,119857082,Machine learning,178980831,Pattern recognition,21442007,Graphics,"{""DN"":""Document Engineering"",""SN"":""DocEng"",""PC"":686}",Document Engineering,DocEng,686,3,1187420394,4933,4933,DocEng: Document Engineering,0,0,,
conf/,iui,conf/iui,IUI: Intelligent User Interfaces,41008148,Computer Science,154945302,Artificial intelligence,46312422,Communication,49774154,Multimedia,36464697,Visualization,119857082,Machine learning,11413529,Algorithm,23123220,Information retrieval,21442007,Graphics,77088390,Database,121017731,Information technology,124101348,Data mining,45374587,Computation,87868495,Information processing,172195944,Ubiquitous computing,195324797,Natural language,136764020,World Wide Web,124246873,Semantics,90509273,Robot,"{""DN"":""Intelligent User Interfaces"",""SN"":""IUI"",""PC"":1583}",Intelligent User Interfaces,IUI,1583,3,1170221290,25489,25489,IUI: Intelligent User Interfaces,0,0,,
conf/,k-cap,conf/k-cap,K-CAP: International Conference on Knowledge Capture,2129575,Semantic Web,154945302,Artificial intelligence,124246873,Semantics,41008148,Computer Science,56739046,Knowledge management,84685590,Knowledge engineering,136764020,World Wide Web,23123220,Information retrieval,49774154,Multimedia,77088390,Database,46312422,Communication,195324797,Natural language,119857082,Machine learning,124101348,Data mining,115903868,Software Engineering,87868495,Information processing,11413529,Algorithm,36464697,Visualization,121017731,Information technology,"{""DN"":""International Conference on Knowledge Capture"",""SN"":""K-CAP"",""PC"":346}",International Conference on Knowledge Capture,K-CAP,346,3,1166500626,5395,5395,K-CAP: International Conference on Knowledge Capture,0,0,,
conf/,icsc,conf/icsc,ICSC: International Conference on Semantic Computing,41008148,Computer Science,511149849,Semantic computing,49774154,Multimedia,46312422,Communication,11413529,Algorithm,77088390,Database,154945302,Artificial intelligence,23123220,Information retrieval,45374587,Computation,56739046,Knowledge management,124246873,Semantics,124101348,Data mining,115903868,Software Engineering,136764020,World Wide Web,121017731,Information technology,36464697,Visualization,2129575,Semantic Web,95831776,Information science,84685590,Knowledge engineering,"{""DN"":""International Conference on Semantic Computing"",""SN"":""ICSC"",""PC"":1503}",International Conference on Semantic Computing,ICSC,1503,3,1134101006,5906,5906,ICSC: International Conference on Semantic Computing,0,0,,
conf/,wise,conf/wise,WISE: Web Information Systems Engineering,41008148,Computer Science,46312422,Communication,77088390,Database,49774154,Multimedia,201995342,Systems engineering,121017731,Information technology,136764020,World Wide Web,11413529,Algorithm,45374587,Computation,56739046,Knowledge management,124101348,Data mining,115903868,Software Engineering,154945302,Artificial intelligence,1668388,Data management,95831776,Information science,2129575,Semantic Web,124246873,Semantics,87868495,Information processing,128487930,Information management,"{""DN"":""Web Information Systems Engineering"",""SN"":""WISE"",""PC"":1515}",Web Information Systems Engineering,WISE,1515,3,1128202388,15769,15769,WISE: Web Information Systems Engineering,0,0,,
conf/,icwsm,conf/icwsm,ICWSM: International Conference on Weblogs and Social Media,518677369,Social media,41008148,Computer Science,124101348,Data mining,46312422,Communication,23123220,Information retrieval,154945302,Artificial intelligence,119857082,Machine learning,86256295,Social network,136764020,World Wide Web,56739046,Knowledge management,49774154,Multimedia,11413529,Algorithm,195324797,Natural language,77088390,Database,87868495,Information processing,155092808,Computational linguistics,74216064,Social computing,45374587,Computation,124246873,Semantics,"{""DN"":""International Conference on Weblogs and Social Media"",""SN"":""ICWSM"",""PC"":808}",International Conference on Weblogs and Social Media,ICWSM,808,3,1124713781,20229,20229,ICWSM: International Conference on Weblogs and Social Media,0,0,,
conf/,soda,conf/soda,SODA: Symposium on Discrete Algorithms,41008148,Computer Science,11413529,Algorithm,45374587,Computation,80444323,Theoretical computer science,46312422,Communication,87868495,Information processing,29123130,Computational geometry,120314980,Distributed computing,154945302,Artificial intelligence,177142836,Game theory,68859911,Pattern matching,52622258,Information theory,88230418,Graph theory,77088390,Database,115903868,Software Engineering,115901376,Automation,49774154,Multimedia,69663246,Algorithmic game theory,34413123,Robotics,"{""DN"":""Symposium on Discrete Algorithms"",""SN"":""SODA"",""PC"":3292}",Symposium on Discrete Algorithms,SODA,3292,3,1130177464,80214,80214,SODA: Symposium on Discrete Algorithms,0,0,24858836,Theory of computation
conf/,icws,conf/icws,ICWS: International Conference on Web Services,41008148,Computer Science,115903868,Software Engineering,77088390,Database,46312422,Communication,11413529,Algorithm,542858634,Services computing,49774154,Multimedia,124246873,Semantics,2129575,Semantic Web,45374587,Computation,136764020,World Wide Web,121017731,Information technology,79974875,Cloud computing,154945302,Artificial intelligence,84685590,Knowledge engineering,95831776,Information science,120314980,Distributed computing,124101348,Data mining,201995342,Systems engineering,"{""DN"":""International Conference on Web Services"",""SN"":""ICWS"",""PC"":1764}",International Conference on Web Services,ICWS,1764,3,1202201565,23130,23130,ICWS: International Conference on Web Services,0,0,,
conf/,ekaw,conf/ekaw,"EKAW: Knowledge Acquisition, Modeling and Management",84685590,Knowledge engineering,154945302,Artificial intelligence,2129575,Semantic Web,56739046,Knowledge management,41008148,Computer Science,124246873,Semantics,136764020,World Wide Web,77088390,Database,46312422,Communication,49774154,Multimedia,23123220,Information retrieval,195324797,Natural language,115903868,Software Engineering,119857082,Machine learning,121017731,Information technology,87868495,Information processing,124101348,Data mining,45374587,Computation,11413529,Algorithm,"{""DN"":""Knowledge Acquisition, Modeling and Management"",""SN"":""EKAW"",""PC"":512}","Knowledge Acquisition, Modeling and Management",EKAW,512,3,1148330047,8667,8667,"EKAW: Knowledge Acquisition, Modeling and Management",0,0,,
conf/,airweb,conf/airweb,AIRWeb: Adversarial Information Retrieval on the Web,23123220,Information retrieval,136764020,World Wide Web,124101348,Data mining,41008148,Computer Science,11413529,Algorithm,119857082,Machine learning,518677369,Social media,56739046,Knowledge management,86256295,Social network,154945302,Artificial intelligence,49774154,Multimedia,45374587,Computation,87868495,Information processing,46312422,Communication,77088390,Database,124246873,Semantics,1173588,Link analysis,44291984,Question answering,195324797,Natural language,"{""DN"":""Adversarial Information Retrieval on the Web"",""SN"":""AIRWeb"",""PC"":52}",Adversarial Information Retrieval on the Web,AIRWeb,52,3,1144492286,2338,2338,AIRWeb: Adversarial Information Retrieval on the Web,0,0,,
conf/,embc,conf/embc,EMBC: International Conference of the IEEE Engineering in Medicine and Biology Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""DN"":""International Conference of the IEEE Engineering in Medicine and Biology Society"",""SN"":""EMBC"",""PC"":42991}",International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,42991,3,2232857946,231590,231590,EMBC: International Conference of the IEEE Engineering in Medicine and Biology Society,0,0,,
conf/,ictai,conf/ictai,ICTAI: International Conference on Tools with Artificial Intelligence,154945302,Artificial intelligence,41008148,Computer Science,11413529,Algorithm,45374587,Computation,124101348,Data mining,119857082,Machine learning,46312422,Communication,77088390,Database,49774154,Multimedia,139502532,Computational intelligence,121017731,Information technology,115286129,Cybernetics,115903868,Software Engineering,87868495,Information processing,115901376,Automation,124246873,Semantics,178980831,Pattern recognition,60644358,Bioinformatics,56739046,Knowledge management,"{""DN"":""International Conference on Tools with Artificial Intelligence"",""SN"":""ICTAI"",""PC"":2775}",International Conference on Tools with Artificial Intelligence,ICTAI,2775,3,1153494057,20665,20665,ICTAI: International Conference on Tools with Artificial Intelligence,0,0,,
conf/,ecdl,conf/ecdl,ECDL: European Conference on Research and Advanced Technology for Digital Libraries,41008148,Computer Science,49774154,Multimedia,23123220,Information retrieval,77088390,Database,46312422,Communication,154945302,Artificial intelligence,95831776,Information science,121017731,Information technology,124246873,Semantics,136764020,World Wide Web,56739046,Knowledge management,2129575,Semantic Web,87868495,Information processing,36464697,Visualization,128487930,Information management,11413529,Algorithm,124101348,Data mining,119857082,Machine learning,195324797,Natural language,"{""DN"":""European Conference on Research and Advanced Technology for Digital Libraries"",""SN"":""ECDL"",""PC"":770}",European Conference on Research and Advanced Technology for Digital Libraries,ECDL,770,3,1125048215,6453,6453,ECDL: European Conference on Research and Advanced Technology for Digital Libraries,0,0,,
conf/,sdm,conf/sdm,SDM: SIAM International Conference on Data Mining,124101348,Data mining,41008148,Computer Science,119857082,Machine learning,77088390,Database,11413529,Algorithm,154945302,Artificial intelligence,60644358,Bioinformatics,45374587,Computation,56739046,Knowledge management,46312422,Communication,23123220,Information retrieval,1668388,Data management,49774154,Multimedia,87868495,Information processing,136764020,World Wide Web,36464697,Visualization,75684735,Big data,178980831,Pattern recognition,121017731,Information technology,"{""DN"":""SIAM International Conference on Data Mining"",""SN"":""SDM"",""PC"":4458}",SIAM International Conference on Data Mining,SDM,4458,3,1142743330,25907,25907,SDM: SIAM International Conference on Data Mining,0,0,,
conf/,icmr,conf/icmr,ICMR: International Conference on Multimedia Retrieval,49774154,Multimedia,41008148,Computer Science,46312422,Communication,77088390,Database,23123220,Information retrieval,31972630,Computer vision,178980831,Pattern recognition,11413529,Algorithm,9417928,Image processing,154945302,Artificial intelligence,56739046,Knowledge management,104267543,Signal processing,1667742,Image retrieval,36464697,Visualization,119857082,Machine learning,121017731,Information technology,518677369,Social media,124246873,Semantics,124101348,Data mining,"{""DN"":""International Conference on Multimedia Retrieval"",""SN"":""ICMR"",""PC"":498}",International Conference on Multimedia Retrieval,ICMR,498,3,1159717609,2762,2762,ICMR: International Conference on Multimedia Retrieval,0,0,,
conf/,cidr,conf/cidr,CIDR: Conference on Innovative Data Systems Research,77088390,Database,41008148,Computer Science,1668388,Data management,11413529,Algorithm,124101348,Data mining,46312422,Communication,45374587,Computation,75684735,Big data,79974875,Cloud computing,56739046,Knowledge management,120314980,Distributed computing,124246873,Semantics,136764020,World Wide Web,138827492,Data processing,119857082,Machine learning,72634772,Data integration,49774154,Multimedia,23123220,Information retrieval,2129575,Semantic Web,"{""DN"":""Conference on Innovative Data Systems Research"",""SN"":""CIDR"",""PC"":306}",Conference on Innovative Data Systems Research,CIDR,306,3,1201561728,11855,11855,CIDR: Conference on Innovative Data Systems Research,0,0,,
conf/,ssdbm,conf/ssdbm,SSDBM: Statistical and Scientific Database Management,77088390,Database,41008148,Computer Science,1668388,Data management,124101348,Data mining,11413529,Algorithm,56739046,Knowledge management,45374587,Computation,49774154,Multimedia,154945302,Artificial intelligence,46312422,Communication,124246873,Semantics,36464697,Visualization,23123220,Information retrieval,119857082,Machine learning,136764020,World Wide Web,60644358,Bioinformatics,2129575,Semantic Web,121017731,Information technology,84685590,Knowledge engineering,"{""DN"":""Statistical and Scientific Database Management"",""SN"":""SSDBM"",""PC"":1105}",Statistical and Scientific Database Management,SSDBM,1105,3,1156109491,11418,11418,SSDBM: Statistical and Scientific Database Management,0,0,,
conf/,spire,conf/spire,SPIRE: String Processing and Information Retrieval,41008148,Computer Science,23123220,Information retrieval,11413529,Algorithm,45374587,Computation,77088390,Database,68859911,Pattern matching,87868495,Information processing,80444323,Theoretical computer science,124101348,Data mining,60644358,Bioinformatics,46312422,Communication,154945302,Artificial intelligence,49774154,Multimedia,56739046,Knowledge management,119857082,Machine learning,70721500,Computational biology,95831776,Information science,78548338,Data compression,36464697,Visualization,"{""DN"":""String Processing and Information Retrieval"",""SN"":""SPIRE"",""PC"":677}",String Processing and Information Retrieval,SPIRE,677,3,1177515820,5934,5934,SPIRE: String Processing and Information Retrieval,0,0,,
conf/,icdt,conf/icdt,ICDT: International Conference on Database Theory,77088390,Database,41008148,Computer Science,12439846,Database theory,45374587,Computation,11413529,Algorithm,124246873,Semantics,154945302,Artificial intelligence,46312422,Communication,124101348,Data mining,1668388,Data management,49774154,Multimedia,80444323,Theoretical computer science,72634772,Data integration,56739046,Knowledge management,87868495,Information processing,76155785,Telecommunications,2129575,Semantic Web,121017731,Information technology,136764020,World Wide Web,"{""DN"":""International Conference on Database Theory"",""SN"":""ICDT"",""PC"":842}",International Conference on Database Theory,ICDT,842,3,1165285842,16008,16008,ICDT: International Conference on Database Theory,0,0,,
conf/,interspeech,conf/interspeech,INTERSPEECH: Conference of the International Speech Communication Association,46312422,Communication,104267543,Signal processing,28490314,Speech recognition,41008148,Computer Science,61328038,Speech processing,11413529,Algorithm,49774154,Multimedia,77088390,Database,154945302,Artificial intelligence,178980831,Pattern recognition,195324797,Natural language,119857082,Machine learning,121017731,Information technology,14999030,Speech synthesis,155092808,Computational linguistics,9417928,Image processing,119599485,Electrical engineering,90509273,Robot,45374587,Computation,"{""DN"":""Conference of the International Speech Communication Association"",""SN"":""INTERSPEECH"",""PC"":15682}",Conference of the International Speech Communication Association,INTERSPEECH,15682,3,1177287137,84957,84957,INTERSPEECH: Conference of the International Speech Communication Association,0,0,87868495,Information processing
conf/,gir,conf/gir,GIR: Geographic Information Retrieval,23123220,Information retrieval,41008148,Computer Science,77088390,Database,46312422,Communication,95831776,Information science,49774154,Multimedia,56739046,Knowledge management,195324797,Natural language,124101348,Data mining,11413529,Algorithm,136764020,World Wide Web,119857082,Machine learning,36464697,Visualization,154945302,Artificial intelligence,204321447,Natural language processing,124246873,Semantics,155092808,Computational linguistics,2129575,Semantic Web,87868495,Information processing,"{""DN"":""Geographic Information Retrieval"",""SN"":""GIR"",""PC"":159}",Geographic Information Retrieval,GIR,159,3,1204605585,1535,1535,GIR: Geographic Information Retrieval,0,0,,
conf/,eccv,conf/eccv,ECCV: European Conference on Computer Vision,31972630,Computer vision,178980831,Pattern recognition,41008148,Computer Science,9417928,Image processing,11413529,Algorithm,21442007,Graphics,119857082,Machine learning,49774154,Multimedia,104267543,Signal processing,34413123,Robotics,5339829,Machine vision,154945302,Artificial intelligence,45374587,Computation,77660652,Computer graphics,36464697,Visualization,46312422,Communication,87868495,Information processing,90509273,Robot,77088390,Database,"{""DN"":""European Conference on Computer Vision"",""SN"":""ECCV"",""PC"":3715}",European Conference on Computer Vision,ECCV,3715,3,1124077590,135074,135074,ECCV: European Conference on Computer Vision,0,0,115901376,Automation
conf/,psb,conf/psb,PSB: Pacific Symposium on Biocomputing,60644358,Bioinformatics,41008148,Computer Science,70721500,Computational biology,11413529,Algorithm,77088390,Database,124101348,Data mining,45374587,Computation,119857082,Machine learning,154945302,Artificial intelligence,46312422,Communication,87868495,Information processing,36464697,Visualization,23123220,Information retrieval,195324797,Natural language,124246873,Semantics,71472368,Text mining,95831776,Information science,204321447,Natural language processing,121017731,Information technology,"{""DN"":""Pacific Symposium on Biocomputing"",""SN"":""PSB"",""PC"":1134}",Pacific Symposium on Biocomputing,PSB,1134,3,1183637428,25650,25650,PSB: Pacific Symposium on Biocomputing,0,0,,
conf/,vast,conf/vast,VAST: Visual Analytics Science and Technology,36464697,Visualization,21442007,Graphics,77660652,Computer graphics,59732488,Visual analytics,41008148,Computer Science,46312422,Communication,194969405,Virtual reality,185578843,Information visualization,49774154,Multimedia,11413529,Algorithm,77088390,Database,124101348,Data mining,31972630,Computer vision,45374587,Computation,172367668,Data visualization,154945302,Artificial intelligence,95831776,Information science,121017731,Information technology,60644358,Bioinformatics,"{""DN"":""Visual Analytics Science and Technology"",""SN"":""VAST"",""PC"":729}",Visual Analytics Science and Technology,VAST,729,3,1161805661,6363,6363,VAST: Visual Analytics Science and Technology,0,0,,
conf/,dasfaa,conf/dasfaa,DASFAA: Database Systems for Advanced Applications,77088390,Database,41008148,Computer Science,124101348,Data mining,11413529,Algorithm,1668388,Data management,49774154,Multimedia,56739046,Knowledge management,136764020,World Wide Web,45374587,Computation,23123220,Information retrieval,46312422,Communication,95831776,Information science,84685590,Knowledge engineering,154945302,Artificial intelligence,121017731,Information technology,124246873,Semantics,75684735,Big data,128487930,Information management,36464697,Visualization,"{""DN"":""Database Systems for Advanced Applications"",""SN"":""DASFAA"",""PC"":1813}",Database Systems for Advanced Applications,DASFAA,1813,3,1184699546,9065,9065,DASFAA: Database Systems for Advanced Applications,0,0,,
conf/,dss,conf/dss,DSS: Decision Support Systems,46312422,Communication,121017731,Information technology,41008148,Computer Science,77088390,Database,11413529,Algorithm,154945302,Artificial intelligence,128487930,Information management,76155785,Telecommunications,107327155,Decision support system,87868495,Information processing,56739046,Knowledge management,45374587,Computation,49774154,Multimedia,518677369,Social media,36464697,Visualization,95831776,Information science,115901376,Automation,115286129,Cybernetics,29848774,Management information systems,"{""DN"":""Decision Support Systems"",""SN"":""DSS"",""PC"":3863}",Decision Support Systems,DSS,3863,3,1182309694,100449,100449,DSS: Decision Support Systems,0,0,,
conf/,icse,conf/icse,ICSE: International Conference on Software Engineering,115903868,Software Engineering,41008148,Computer Science,46312422,Communication,11413529,Algorithm,45374587,Computation,115901376,Automation,77088390,Database,124246873,Semantics,121017731,Information technology,35869016,Software architecture,26217847,Software Testing,117447612,Software quality,154945302,Artificial intelligence,36464697,Visualization,75606506,Formal methods,201995342,Systems engineering,49774154,Multimedia,199360897,Programming language,84685590,Knowledge engineering,"{""DN"":""International Conference on Software Engineering"",""SN"":""ICSE"",""PC"":10548}",International Conference on Software Engineering,ICSE,10548,3,1174403976,153836,153836,ICSE: International Conference on Software Engineering,0,0,,
conf/,coopis,conf/coopis,CoopIS: Cooperative Information Systems,41008148,Computer Science,77088390,Database,124246873,Semantics,115903868,Software Engineering,84685590,Knowledge engineering,11413529,Algorithm,56739046,Knowledge management,95831776,Information science,49774154,Multimedia,201995342,Systems engineering,80309976,Business process management,46312422,Communication,154945302,Artificial intelligence,124101348,Data mining,121017731,Information technology,45374587,Computation,136764020,World Wide Web,1668388,Data management,2129575,Semantic Web,"{""DN"":""Cooperative Information Systems"",""SN"":""CoopIS"",""PC"":652}",Cooperative Information Systems,CoopIS,652,3,1147734270,11249,11249,CoopIS: Cooperative Information Systems,0,0,,
conf/,colt,conf/colt,COLT: Computational Learning Theory,119857082,Machine learning,92393732,Learning theory,41008148,Computer Science,11413529,Algorithm,45374587,Computation,154945302,Artificial intelligence,87868495,Information processing,46312422,Communication,50292564,Computational learning theory,124101348,Data mining,52622258,Information theory,77088390,Database,178980831,Pattern recognition,80444323,Theoretical computer science,104267543,Signal processing,32254414,Algorithmic learning theory,60644358,Bioinformatics,97541855,Reinforcement learning,26258499,Active learning,"{""DN"":""Computational Learning Theory"",""SN"":""COLT"",""PC"":1490}",Computational Learning Theory,COLT,1490,3,1177622950,43659,43659,COLT: Computational Learning Theory,0,0,31972630,Computer vision
conf/,icmcs,conf/icmcs,ICMCS: International Conference on Multimedia Computing and Systems,49774154,Multimedia,46312422,Communication,41008148,Computer Science,11413529,Algorithm,77088390,Database,121017731,Information technology,104267543,Signal processing,154945302,Artificial intelligence,9417928,Image processing,178980831,Pattern recognition,87868495,Information processing,45374587,Computation,76155785,Telecommunications,21442007,Graphics,23123220,Information retrieval,120314980,Distributed computing,115903868,Software Engineering,115901376,Automation,36464697,Visualization,"{""DN"":""International Conference on Multimedia Computing and Systems"",""SN"":""ICMCS"",""PC"":1535}",International Conference on Multimedia Computing and Systems,ICMCS,1535,3,1203986124,13349,13349,ICMCS: International Conference on Multimedia Computing and Systems,0,0,,
conf/,pkdd,conf/pkdd,PKDD: European Conference on Principles of Data Mining and Knowledge Discovery,119857082,Machine learning,124101348,Data mining,41008148,Computer Science,154945302,Artificial intelligence,11413529,Algorithm,77088390,Database,45374587,Computation,87868495,Information processing,23123220,Information retrieval,60644358,Bioinformatics,49774154,Multimedia,56739046,Knowledge management,46312422,Communication,178980831,Pattern recognition,139502532,Computational intelligence,124246873,Semantics,36464697,Visualization,121017731,Information technology,84685590,Knowledge engineering,"{""DN"":""European Conference on Principles of Data Mining and Knowledge Discovery"",""SN"":""PKDD"",""PC"":1865}",European Conference on Principles of Data Mining and Knowledge Discovery,PKDD,1865,3,1141769385,24877,24877,PKDD: European Conference on Principles of Data Mining and Knowledge Discovery,0,0,,
