P-score (TOIS+SIGIR),,TopGroups-IRRank,,TopAuthors-Ranks,,Top Authors-Ranks,,TopAuthors-pureIRseeds-1,,TopAuthors-pureIRseeds-2,,RankingofGroups,,RankingofGroupsds0.5,
Group0,Score0,Group1,Score1,Group2,Score2,Group3,Score3,Group4,Score4,Group5,Score5,Group6,Score6,Group7,Score7
University of Massachusetts Amherst,1,University of Massachusetts Amherst,467000,University of Massachusetts Amherst,148.7209141,University of Massachusetts Amherst,117.7074676,University of Massachusetts Amherst,469522,University of Massachusetts Amherst,488640,University of Massachusetts Amherst,207126.3525,University of Massachusetts Amherst,0.4462422514
University of Illinois at Urbana-Champaign,0.776,University of Illinois at Urbana-Champaign,329339,University of Illinois at Urbana-Champaign,58.74199426,University of Illinois at Urbana-Champaign,48.58223559,University of Illinois at Urbana-Champaign,330964,University of Illinois at Urbana-Champaign,351570,University of Illinois at Urbana-Champaign,91790.95769,University of Illinois at Urbana-Champaign,0.2364933342
Carnegie Mellon University,0.614,Carnegie Mellon University,239497,Purdue University Main Campus,33.96937442,Virginia Polytechnic Institute and State University,29.68102574,Carnegie Mellon University,240222,Carnegie Mellon University,271785,University of Illinois at Chicago,49709.1163,University of Illinois at Chicago,0.1502635832
Georgia Institute of Technology,0.543,Georgia Institute of Technology,220373,Virginia Polytechnic Institute and State University,27.42710728,Purdue University Main Campus,27.60419245,Georgia Institute of Technology,223911,Georgia Institute of Technology,241404,Purdue University Main Campus,49683.89065,Purdue University Main Campus,0.1325837521
University of Southern California,0.483,University of Illinois at Chicago,199967,University of Illinois at Chicago,26.19676983,Universidade Federal de Minas Gerais,21.45880938,University of Illinois at Chicago,200450,University of Illinois at Chicago,215570,Florida International University,39603.28247,Carnegie Mellon University,0.120324119
University of Illinois at Chicago,0.476,University of Southern California,189609,Northeastern University,25.42696122,University of Illinois at Chicago,19.79554483,Purdue University Main Campus,189254,University of Southern California,208421,Virginia Polytechnic Institute and State University,38191.0786,Georgia Institute of Technology,0.1016659815
Stanford University,0.445,Purdue University Main Campus,188595,Universidade Federal de Minas Gerais,22.24093877,Northeastern University,19.69874402,University of Southern California,189138,Purdue University Main Campus,197905,Carnegie Mellon University,37226.9609,Virginia Polytechnic Institute and State University,0.09565083866
Purdue University Main Campus,0.438,Stanford University,163570,Florida International University,21.851747,Carnegie Mellon University,16.960891,Stanford University,164756,Stanford University,186497,Georgia Institute of Technology,35473.03187,Florida International University,0.09437421977
University of California-Berkeley,0.395,University of Michigan-Ann Arbor,147055,Carnegie Mellon University,21.77467174,Illinois Institute of Technology,16.41307448,University of Michigan-Ann Arbor,148287,University of Michigan-Ann Arbor,163876,Northeastern University,34983.35065,Stanford University,0.08154567746
University of Michigan-Ann Arbor,0.377,University of California-Berkeley,146820,Illinois Institute of Technology,20.36722782,Florida International University,15.30883551,University of California-Berkeley,148030,University of California-Berkeley,160726,Universidade Federal de Minas Gerais,33409.51193,Universidade Federal de Minas Gerais,0.07657550251
Massachusetts Institute of Technology,0.364,Massachusetts Institute of Technology,138843,Lehigh University,18.98653735,Lehigh University,14.49892864,Massachusetts Institute of Technology,139458,Massachusetts Institute of Technology,154174,Lehigh University,27235.59895,Northeastern University,0.07448296883
Cornell University,0.348,Cornell University,135941,Georgia Institute of Technology,16.18760067,Georgia Institute of Technology,13.61505911,Cornell University,137211,Cornell University,153259,Illinois Institute of Technology,26338.53992,Cornell University,0.07188601212
University of Maryland College Park,0.345,University of Maryland College Park,135264,Cornell University,15.17315361,Cornell University,12.87089106,University of Maryland College Park,136707,Arizona State University,147744,Cornell University,23426.14828,University of Southern California,0.06986227187
Arizona State University,0.341,Virginia Polytechnic Institute and State University,130545,University of Michigan-Ann Arbor,14.72128695,Michigan State University,11.69268218,Virginia Polytechnic Institute and State University,132040,University of Maryland College Park,146315,University of Michigan-Ann Arbor,21875.48075,University of Michigan-Ann Arbor,0.06862308782
University of Pennsylvania,0.282,Arizona State University,129711,University of California-Berkeley,14.27148886,University of Iowa,11.6482642,Arizona State University,130088,Florida International University,131744,University of California-Berkeley,20708.85748,University of California-Berkeley,0.06626406739
Florida International University,0.282,Florida International University,126730,Michigan State University,14.11325617,University of Maryland College Park,11.5722468,Florida International University,127110,Virginia Polytechnic Institute and State University,130714,Michigan State University,20165.43075,Arizona State University,0.06115030349
